Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
MSL2SRFCHSWEF20130406,Men's State League 2 South-East Reserves,6/04/2013 1:45:00 AM,Round 1,Quarries Park,FC Clifton Hill,Springvale White Eagles FC,2,1,,
MSL2SRMSKCF20130406,Men's State League 2 South-East Reserves,6/04/2013 2:00:00 AM,Round 1,Dallas Brooks Park - Pitch 1,Mornington SC,Kingston City FC,3,0,,
MSL2SRDCSNPUF20130406,Men's State League 2 South-East Reserves,6/04/2013 2:00:00 AM,Round 1,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Noble Park United FC,5,3,,
MSL2SRLSDVUS20130406,Men's State League 2 South-East Reserves,6/04/2013 2:00:00 AM,Round 1,Lawton Park Reserve - Pitch 1,Langwarrin SC,Diamond Valley United SC ,3,2,,
MSL2SRMPSMCF20130406,Men's State League 2 South-East Reserves,6/04/2013 6:00:00 AM,Round 1,Ronald Reserve,Morwell Pegasus SC,Malvern City FC,0,5,,
MSL2SRSSSDS20130406,Men's State League 2 South-East Reserves,6/04/2013 6:00:00 AM,Round 1,Warner Reserve - Springvale Pitch 1,South Springvale SC,Doveton SC,2,3,,
MSL2SRNPUFFCH20130413,Men's State League 2 South-East Reserves,13/04/2013 3:00:00 AM,Round 2,Parkfield Reserve,Noble Park United FC,FC Clifton Hill,3,2,,
MSL2SRDVUSMCF20130413,Men's State League 2 South-East Reserves,13/04/2013 3:00:00 AM,Round 2,Partingtons Flat,Diamond Valley United SC ,Malvern City FC,2,1,,
MSL2SRDSLS20130413,Men's State League 2 South-East Reserves,13/04/2013 3:00:00 AM,Round 2,Waratah Reserve - Pitch 2,Doveton SC,Langwarrin SC,1,3,,
MSL2SRSWEFMS20130413,Men's State League 2 South-East Reserves,13/04/2013 3:00:00 AM,Round 2,White Eagles Stadium - Serbian Sports Centre - Pitch 1,Springvale White Eagles FC,Mornington SC,1,6,,
MSL2SRMPSDCS20130413,Men's State League 2 South-East Reserves,13/04/2013 7:00:00 AM,Round 2,Ronald Reserve,Morwell Pegasus SC,Dandenong City SC,1,6,,
MSL2SRKCFSSS20130415,Men's State League 2 South-East Reserves,15/04/2013 8:30:00 AM,Round 2,The Grange Reserve,Kingston City FC,South Springvale SC,3,0,,
MSL2SRFCHMPS20130420,Men's State League 2 South-East Reserves,20/04/2013 2:45:00 AM,Round 3,Quarries Park,FC Clifton Hill,Morwell Pegasus SC,5,0,,
MSL2SRDCSDVUS20130420,Men's State League 2 South-East Reserves,20/04/2013 3:00:00 AM,Round 3,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Diamond Valley United SC ,1,4,,
MSL2SRMCFDS20130420,Men's State League 2 South-East Reserves,20/04/2013 3:00:00 AM,Round 3,Kooyong Park ,Malvern City FC,Doveton SC,1,5,,
MSL2SRLSKCF20130420,Men's State League 2 South-East Reserves,20/04/2013 3:00:00 AM,Round 3,Lawton Park Reserve - Pitch 1,Langwarrin SC,Kingston City FC,3,2,,
MSL2SRNPUFSWEF20130420,Men's State League 2 South-East Reserves,20/04/2013 3:00:00 AM,Round 3,Parkfield Reserve,Noble Park United FC,Springvale White Eagles FC,4,2,,
MSL2SRSSSMS20130420,Men's State League 2 South-East Reserves,20/04/2013 7:00:00 AM,Round 3,Warner Reserve - Springvale Pitch 1,South Springvale SC,Mornington SC,1,6,,
MSL2SRMSLS20130427,Men's State League 2 South-East Reserves,27/04/2013 3:00:00 AM,Round 4,Dallas Brooks Park - Pitch 1,Mornington SC,Langwarrin SC,1,1,,
MSL2SRDVUSFCH20130427,Men's State League 2 South-East Reserves,27/04/2013 3:00:00 AM,Round 4,Partingtons Flat,Diamond Valley United SC ,FC Clifton Hill,2,3,,
MSL2SRDSDCS20130427,Men's State League 2 South-East Reserves,27/04/2013 3:00:00 AM,Round 4,Waratah Reserve - Pitch 2,Doveton SC,Dandenong City SC,4,1,,
MSL2SRMPSNPUF20130427,Men's State League 2 South-East Reserves,27/04/2013 7:00:00 AM,Round 4,Ronald Reserve,Morwell Pegasus SC,Noble Park United FC,0,1,,
MSL2SRSWEFSSS20130427,Men's State League 2 South-East Reserves,27/04/2013 7:00:00 AM,Round 4,White Eagles Stadium - Serbian Sports Centre - Pitch 1,Springvale White Eagles FC,South Springvale SC,0,1,,
MSL2SRKCFMCF20130429,Men's State League 2 South-East Reserves,29/04/2013 8:30:00 AM,Round 4,The Grange Reserve,Kingston City FC,Malvern City FC,5,2,,
MSL2SRFCHDS20130511,Men's State League 2 South-East Reserves,11/05/2013 2:45:00 AM,Round 5,Quarries Park,FC Clifton Hill,Doveton SC,2,1,,
