Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
BSE1JWUSYAUS20140426,Boys' Saturday East 10 Joeys,25/04/2014 11:00:00 PM,Round 1,Terrara Park,Whitehorse United SC Yellow,Ashburton United SC,,,,
BSE1JBEFB1JPRS20140426,Boys' Saturday East 10 Joeys,25/04/2014 11:30:00 PM,Round 1,Macleay Park - Pitch 1 North,Boroondara Eagles FC Boys 10  Joeys Purple,Riversdale SC,,,,
BSE1JSYSRBEFB1JG20140426,Boys' Saturday East 10 Joeys,26/04/2014 12:00:00 AM,Round 1,Fawkner Park South Pavilion - Junior 1,South Yarra SC Red,Boroondara Eagles FC Boys 10 Joeys Gold,,,,
BSE1JELSRCFB20140426,Boys' Saturday East 10 Joeys,26/04/2014 12:00:00 AM,Round 1,Gardiners Creek Reserve - Pitch 1,Eastern Lions SC,Ringwood City FC Blue,,,,
BSE1JWUSBNCF20140426,Boys' Saturday East 10 Joeys,26/04/2014 12:00:00 AM,Round 1,Terrara Park,Whitehorse United SC Blue,Nunawading City FC,,,,
BSE1JGWUSELS20140503,Boys' Saturday East 10 Joeys,3/05/2014 12:00:00 AM,Round 2,Larpent Reserve,Glen Waverley u10 Sharks,Eastern Lions SC,,,,
BSE1JNCFWUSY20140503,Boys' Saturday East 10 Joeys,3/05/2014 12:00:00 AM,Round 2,Mahoneys Reserve,Nunawading City FC,Whitehorse United SC Yellow,,,,
BSE1JAUSSYSR20140503,Boys' Saturday East 10 Joeys,3/05/2014 12:10:00 AM,Round 2,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC,South Yarra SC Red,,,,
BSE1JRSWUSB20140503,Boys' Saturday East 10 Joeys,3/05/2014 12:15:00 AM,Round 2,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Whitehorse United SC Blue,,,,
BSE1JRCFBBEFB1JP20140503,Boys' Saturday East 10 Joeys,3/05/2014 2:00:00 AM,Round 2,Jubilee Park (S),Ringwood City FC Blue,Boroondara Eagles FC Boys 10  Joeys Purple,,,,
BSE1JWUSYRS20140510,Boys' Saturday East 10 Joeys,9/05/2014 11:00:00 PM,Round 3,Terrara Park,Whitehorse United SC Yellow,Riversdale SC,,,,
BSE1JBEFB1JPELS20140510,Boys' Saturday East 10 Joeys,9/05/2014 11:30:00 PM,Round 3,Macleay Park - Pitch 1 North,Boroondara Eagles FC Boys 10  Joeys Purple,Eastern Lions SC,,,,
BSE1JBEFB1JGGWUS20140510,Boys' Saturday East 10 Joeys,9/05/2014 11:30:00 PM,Round 3,Macleay Park - Pitch 1 North,Boroondara Eagles FC Boys 10 Joeys Gold,Glen Waverley u10 Sharks,,,,
BSE1JSYSRNCF20140510,Boys' Saturday East 10 Joeys,10/05/2014 12:00:00 AM,Round 3,Fawkner Park South Pavilion - Junior 1,South Yarra SC Red,Nunawading City FC,,,,
BSE1JWUSBRCFB20140510,Boys' Saturday East 10 Joeys,10/05/2014 12:00:00 AM,Round 3,Terrara Park,Whitehorse United SC Blue,Ringwood City FC Blue,,,,
BSE1JGWUSBEFB1JP20140524,Boys' Saturday East 10 Joeys,23/05/2014 11:00:00 PM,Round 4,Glen Waverley North Reserve,Glen Waverley u10 Sharks,Boroondara Eagles FC Boys 10  Joeys Purple,,,,
BSE1JAUSBEFB1JG20140524,Boys' Saturday East 10 Joeys,23/05/2014 11:00:00 PM,Round 4,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC,Boroondara Eagles FC Boys 10 Joeys Gold,,,,
BSE1JELSWUSB20140524,Boys' Saturday East 10 Joeys,24/05/2014 12:00:00 AM,Round 4,Gardiners Creek Reserve - Pitch 1,Eastern Lions SC,Whitehorse United SC Blue,,,,
BSE1JRCFBWUSY20140524,Boys' Saturday East 10 Joeys,24/05/2014 12:00:00 AM,Round 4,Jubilee Park (S),Ringwood City FC Blue,Whitehorse United SC Yellow,,,,
BSE1JRSSYSR20140524,Boys' Saturday East 10 Joeys,24/05/2014 12:15:00 AM,Round 4,Hartwell Reserve - SSF 1 (U11),Riversdale SC,South Yarra SC Red,,,,
BSE1JWUSYELS20140531,Boys' Saturday East 10 Joeys,30/05/2014 11:00:00 PM,Round 5,Terrara Park,Whitehorse United SC Yellow,Eastern Lions SC,,,,
BSE1JAUSGWUS20140531,Boys' Saturday East 10 Joeys,30/05/2014 11:00:00 PM,Round 5,Warner Reserve - SSF 5 (U11) Ashburton,Ashburton United SC,Glen Waverley u10 Sharks,,,,
BSE1JBEFB1JGNCF20140531,Boys' Saturday East 10 Joeys,30/05/2014 11:30:00 PM,Round 5,Macleay Park - Pitch 1 North,Boroondara Eagles FC Boys 10 Joeys Gold,Nunawading City FC,,,,
BSE1JSYSRRCFB20140531,Boys' Saturday East 10 Joeys,31/05/2014 12:00:00 AM,Round 5,Fawkner Park South Pavilion - Junior 1,South Yarra SC Red,Ringwood City FC Blue,,,,
BSE1JWUSBBEFB1JP20140531,Boys' Saturday East 10 Joeys,31/05/2014 12:00:00 AM,Round 5,Terrara Park,Whitehorse United SC Blue,Boroondara Eagles FC Boys 10  Joeys Purple,,,,
BSE1JGWUSWUSB20140607,Boys' Saturday East 10 Joeys,6/06/2014 11:00:00 PM,Round 6,Capital Reserve,Glen Waverley u10 Sharks,Whitehorse United SC Blue,,,,
BSE1JBEFB1JPWUSY20140607,Boys' Saturday East 10 Joeys,6/06/2014 11:30:00 PM,Round 6,Macleay Park - Pitch 1 North,Boroondara Eagles FC Boys 10  Joeys Purple,Whitehorse United SC Yellow,,,,
BSE1JELSSYSR20140607,Boys' Saturday East 10 Joeys,7/06/2014 12:00:00 AM,Round 6,Gardiners Creek Reserve - Pitch 1,Eastern Lions SC,South Yarra SC Red,,,,
BSE1JNCFAUS20140607,Boys' Saturday East 10 Joeys,7/06/2014 12:00:00 AM,Round 6,Mahoneys Reserve,Nunawading City FC,Ashburton United SC,,,,
BSE1JRSBEFB1JG20140607,Boys' Saturday East 10 Joeys,7/06/2014 12:15:00 AM,Round 6,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Boroondara Eagles FC Boys 10 Joeys Gold,,,,
BSE1JAUSRS20140614,Boys' Saturday East 10 Joeys,13/06/2014 11:00:00 PM,Round 7,Ashburton Park,Ashburton United SC,Riversdale SC,,,,
BSE1JWUSYWUSB20140614,Boys' Saturday East 10 Joeys,13/06/2014 11:00:00 PM,Round 7,Terrara Park,Whitehorse United SC Yellow,Whitehorse United SC Blue,,,,
BSE1JBEFB1JGRCFB20140614,Boys' Saturday East 10 Joeys,13/06/2014 11:30:00 PM,Round 7,Macleay Park - Pitch 1 North,Boroondara Eagles FC Boys 10 Joeys Gold,Ringwood City FC Blue,,,,
BSE1JSYSRBEFB1JP20140614,Boys' Saturday East 10 Joeys,14/06/2014 12:00:00 AM,Round 7,Fawkner Park South Pavilion - Junior 1,South Yarra SC Red,Boroondara Eagles FC Boys 10  Joeys Purple,,,,
BSE1JNCFGWUS20140614,Boys' Saturday East 10 Joeys,14/06/2014 12:00:00 AM,Round 7,Mahoneys Reserve,Nunawading City FC,Glen Waverley u10 Sharks,,,,
BSE1JELSBEFB1JG20140621,Boys' Saturday East 10 Joeys,21/06/2014 12:00:00 AM,Round 8,Gardiners Creek Reserve - Pitch 1,Eastern Lions SC,Boroondara Eagles FC Boys 10 Joeys Gold,,,,
