Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
BSE1WDRSYNCF20140426,Boys' Saturday East 11 Wallabies,26/04/2014 12:00:00 AM,Round 1,Anderson Park,Doncaster Rovers SC Yellow,Nunawading City FC,,,,
BSE1WRFRS20140426,Boys' Saturday East 11 Wallabies,26/04/2014 12:00:00 AM,Round 1,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Riversdale SC,,,,
BSE1WAAFDRSO20140426,Boys' Saturday East 11 Wallabies,26/04/2014 12:00:00 AM,Round 1,Rowville Football Centre Rowville Secondary College Eastern Campus (S),Aston Athletic FC,Doncaster Rovers SC Orange,,,,
BSE1WAUSYWUS20140426,Boys' Saturday East 11 Wallabies,26/04/2014 12:10:00 AM,Round 1,Warner Reserve - SSF 5 (U11) Ashburton,Ashburton United SC Yellow,Whitehorse United SC,,,,
BSE1WMJSCCASR20140426,Boys' Saturday East 11 Wallabies,26/04/2014 12:15:00 AM,Round 1,Esther Park Reserve - Junior 1,Mooroolbark Junior SC,Croydon City Arrows SC Red,,,,
BSE1WRCFOAUSG20140426,Boys' Saturday East 11 Wallabies,26/04/2014 1:00:00 AM,Round 1,Jubilee Park (S),Ringwood City FC Orange,Ashburton United SC Green,,,,
BSE1WDRSORF20140503,Boys' Saturday East 11 Wallabies,3/05/2014 12:00:00 AM,Round 2,Anderson Park - Junior,Doncaster Rovers SC Orange,Richmond FC,,,,
BSE1WCCASRAUSY20140503,Boys' Saturday East 11 Wallabies,3/05/2014 12:00:00 AM,Round 2,Belmont Park - Pitch 1 (MiniRoos),Croydon City Arrows SC Red,Ashburton United SC Yellow,,,,
BSE1WNCFAAF20140503,Boys' Saturday East 11 Wallabies,3/05/2014 1:00:00 AM,Round 2,Mahoneys Reserve,Nunawading City FC,Aston Athletic FC,,,,
BSE1WWUSRCFO20140503,Boys' Saturday East 11 Wallabies,3/05/2014 1:00:00 AM,Round 2,Terrara Park,Whitehorse United SC,Ringwood City FC Orange,,,,
BSE1WAUSGDRSY20140503,Boys' Saturday East 11 Wallabies,3/05/2014 2:15:00 AM,Round 2,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC Green,Doncaster Rovers SC Yellow,,,,
BSE1WRSMJS20140503,Boys' Saturday East 11 Wallabies,3/05/2014 2:30:00 AM,Round 2,Hartwell Reserve,Riversdale SC,Mooroolbark Junior SC,,,,
BSE1WRFNCF20140510,Boys' Saturday East 11 Wallabies,10/05/2014 12:00:00 AM,Round 3,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Nunawading City FC,,,,
BSE1WAAFDRSY20140510,Boys' Saturday East 11 Wallabies,10/05/2014 12:00:00 AM,Round 3,Rowville Football Centre Rowville Secondary College Eastern Campus (S),Aston Athletic FC,Doncaster Rovers SC Yellow,,,,
BSE1WMJSDRSO20140510,Boys' Saturday East 11 Wallabies,10/05/2014 12:15:00 AM,Round 3,Esther Park Reserve - Junior 1,Mooroolbark Junior SC,Doncaster Rovers SC Orange,,,,
BSE1WRCFOCCASR20140510,Boys' Saturday East 11 Wallabies,10/05/2014 1:00:00 AM,Round 3,Jubilee Park (S),Ringwood City FC Orange,Croydon City Arrows SC Red,,,,
BSE1WWUSAUSG20140510,Boys' Saturday East 11 Wallabies,10/05/2014 1:00:00 AM,Round 3,Terrara Park,Whitehorse United SC,Ashburton United SC Green,,,,
BSE1WAUSYRS20140510,Boys' Saturday East 11 Wallabies,10/05/2014 1:15:00 AM,Round 3,Warner Reserve - SSF 5 (U11) Ashburton,Ashburton United SC Yellow,Riversdale SC,,,,
BSE1WDRSYWUS20140524,Boys' Saturday East 11 Wallabies,24/05/2014 12:00:00 AM,Round 4,Anderson Park,Doncaster Rovers SC Yellow,Whitehorse United SC,,,,
BSE1WDRSOSYS20140524,Boys' Saturday East 11 Wallabies,24/05/2014 12:00:00 AM,Round 4,Anderson Park,Doncaster Rovers SC Orange,South Yarra SC,,,,
BSE1WCCASGCCASR20140524,Boys' Saturday East 11 Wallabies,24/05/2014 12:00:00 AM,Round 4,Belmont Park - Pitch 1 (MiniRoos),Croydon City Arrows SC Green,Croydon City Arrows SC Red,,,,
BSE1WAAFRF20140524,Boys' Saturday East 11 Wallabies,24/05/2014 12:00:00 AM,Round 4,Rowville Football Centre Rowville Secondary College Eastern Campus (S),Aston Athletic FC,Richmond FC,,,,
BSE1WNCFMJS20140524,Boys' Saturday East 11 Wallabies,24/05/2014 1:00:00 AM,Round 4,Mahoneys Reserve,Nunawading City FC,Mooroolbark Junior SC,,,,
BSE1WAUSGBEFB1W20140524,Boys' Saturday East 11 Wallabies,24/05/2014 1:15:00 AM,Round 4,Warner Reserve - SSF 5 (U11) Ashburton,Ashburton United SC Green,Boroondara Eagles FC Boys 11 Wallabies,,,,
BSE1WRSRCFO20140524,Boys' Saturday East 11 Wallabies,24/05/2014 2:30:00 AM,Round 4,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Ringwood City FC Orange,,,,
BSE1WCCASRRS20140531,Boys' Saturday East 11 Wallabies,30/05/2014 11:00:00 PM,Round 5,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Red,Riversdale SC,,,,
BSE1WRFSYS20140531,Boys' Saturday East 11 Wallabies,30/05/2014 11:00:00 PM,Round 5,Kevin Bartlett Reserve - Bastow 2,Richmond FC,South Yarra SC,,,,
BSE1WCCASGDRSO20140531,Boys' Saturday East 11 Wallabies,31/05/2014 12:15:00 AM,Round 5,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Green,Doncaster Rovers SC Orange,,,,
BSE1WMJSAAF20140531,Boys' Saturday East 11 Wallabies,31/05/2014 12:15:00 AM,Round 5,Esther Park Reserve - Junior 1,Mooroolbark Junior SC,Aston Athletic FC,,,,
BSE1WBEFB1WNCF20140531,Boys' Saturday East 11 Wallabies,31/05/2014 12:30:00 AM,Round 5,Macleay Park - Pitch 1 South,Boroondara Eagles FC Boys 11 Wallabies,Nunawading City FC,,,,
BSE1WRCFODRSY20140531,Boys' Saturday East 11 Wallabies,31/05/2014 1:00:00 AM,Round 5,Jubilee Park (S),Ringwood City FC Orange,Doncaster Rovers SC Yellow,,,,
BSE1WWUSAUSG20140531,Boys' Saturday East 11 Wallabies,31/05/2014 1:00:00 AM,Round 5,Terrara Park,Whitehorse United SC,Ashburton United SC Green,,,,
BSE1WRSCCASG20140607,Boys' Saturday East 11 Wallabies,6/06/2014 11:00:00 PM,Round 6,Hartwell Reserve,Riversdale SC,Croydon City Arrows SC Green,,,,
BSE1WAUSGRCFO20140607,Boys' Saturday East 11 Wallabies,6/06/2014 11:00:00 PM,Round 6,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC Green,Ringwood City FC Orange,,,,
BSE1WDRSYCCASR20140607,Boys' Saturday East 11 Wallabies,7/06/2014 12:00:00 AM,Round 6,Anderson Park,Doncaster Rovers SC Yellow,Croydon City Arrows SC Red,,,,
BSE1WDRSORF20140607,Boys' Saturday East 11 Wallabies,7/06/2014 12:00:00 AM,Round 6,Anderson Park,Doncaster Rovers SC Orange,Richmond FC,,,,
BSE1WAAFBEFB1W20140607,Boys' Saturday East 11 Wallabies,7/06/2014 12:00:00 AM,Round 6,Rowville Football Centre Rowville Secondary College Eastern Campus (S),Aston Athletic FC,Boroondara Eagles FC Boys 11 Wallabies,,,,
BSE1WSYSMJS20140607,Boys' Saturday East 11 Wallabies,7/06/2014 1:00:00 AM,Round 6,Fawkner Park South Pavilion - Junior 1,South Yarra SC,Mooroolbark Junior SC,,,,
BSE1WNCFWUS20140607,Boys' Saturday East 11 Wallabies,7/06/2014 1:00:00 AM,Round 6,Mahoneys Reserve,Nunawading City FC,Whitehorse United SC,,,,
BSE1WMJSRF20140614,Boys' Saturday East 11 Wallabies,14/06/2014 12:15:00 AM,Round 7,Esther Park Reserve - Junior 1,Mooroolbark Junior SC,Richmond FC,,,,
BSE1WBEFB1WSYS20140614,Boys' Saturday East 11 Wallabies,14/06/2014 12:30:00 AM,Round 7,Macleay Park - Pitch 1 South,Boroondara Eagles FC Boys 11 Wallabies,South Yarra SC,,,,
BSE1WRCFONCF20140614,Boys' Saturday East 11 Wallabies,14/06/2014 1:00:00 AM,Round 7,Jubilee Park (S),Ringwood City FC Orange,Nunawading City FC,,,,
BSE1WWUSAAF20140614,Boys' Saturday East 11 Wallabies,14/06/2014 1:00:00 AM,Round 7,Terrara Park,Whitehorse United SC,Aston Athletic FC,,,,
BSE1WCCASRAUSG20140614,Boys' Saturday East 11 Wallabies,14/06/2014 1:30:00 AM,Round 7,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Red,Ashburton United SC Green,,,,
BSE1WCCASGDRSY20140614,Boys' Saturday East 11 Wallabies,14/06/2014 2:30:00 AM,Round 7,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Green,Doncaster Rovers SC Yellow,,,,
BSE1WRSDRSO20140614,Boys' Saturday East 11 Wallabies,14/06/2014 2:30:00 AM,Round 7,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Doncaster Rovers SC Orange,,,,
BSE1WRFBEFB1W20140621,Boys' Saturday East 11 Wallabies,20/06/2014 11:00:00 PM,Round 8,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Boroondara Eagles FC Boys 11 Wallabies,,,,
BSE1WAUSGCCASG20140621,Boys' Saturday East 11 Wallabies,20/06/2014 11:00:00 PM,Round 8,Willison Park - SSF 1 (U11),Ashburton United SC Green,Croydon City Arrows SC Green,,,,
BSE1WDRSYRS20140621,Boys' Saturday East 11 Wallabies,21/06/2014 12:00:00 AM,Round 8,Anderson Park,Doncaster Rovers SC Yellow,Riversdale SC,,,,
BSE1WDRSOMJS20140621,Boys' Saturday East 11 Wallabies,21/06/2014 12:00:00 AM,Round 8,Anderson Park,Doncaster Rovers SC Orange,Mooroolbark Junior SC,,,,
BSE1WAAFRCFO20140621,Boys' Saturday East 11 Wallabies,21/06/2014 12:00:00 AM,Round 8,Rowville Football Centre Rowville Secondary College Eastern Campus (S),Aston Athletic FC,Ringwood City FC Orange,,,,
BSE1WSYSWUS20140621,Boys' Saturday East 11 Wallabies,21/06/2014 1:00:00 AM,Round 8,Fawkner Park South Pavilion - Junior 1,South Yarra SC,Whitehorse United SC,,,,
BSE1WNCFCCASR20140621,Boys' Saturday East 11 Wallabies,21/06/2014 1:00:00 AM,Round 8,Mahoneys Reserve,Nunawading City FC,Croydon City Arrows SC Red,,,,
BSE1WDRSYDRSO20140628,Boys' Saturday East 11 Wallabies,28/06/2014 12:00:00 AM,Round 9,Anderson Park,Doncaster Rovers SC Yellow,Doncaster Rovers SC Orange,,,,
BSE1WCCASGNCF20140628,Boys' Saturday East 11 Wallabies,28/06/2014 12:00:00 AM,Round 9,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Green,Nunawading City FC,,,,
BSE1WBEFB1WMJS20140628,Boys' Saturday East 11 Wallabies,28/06/2014 12:30:00 AM,Round 9,Macleay Park - Pitch 1 South,Boroondara Eagles FC Boys 11 Wallabies,Mooroolbark Junior SC,,,,
BSE1WCCASRAAF20140628,Boys' Saturday East 11 Wallabies,28/06/2014 1:00:00 AM,Round 9,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Red,Aston Athletic FC,,,,
BSE1WRCFOSYS20140628,Boys' Saturday East 11 Wallabies,28/06/2014 1:00:00 AM,Round 9,Jubilee Park (S),Ringwood City FC Orange,South Yarra SC,,,,
BSE1WWUSRF20140628,Boys' Saturday East 11 Wallabies,28/06/2014 1:00:00 AM,Round 9,Terrara Park,Whitehorse United SC,Richmond FC,,,,
BSE1WRSAUSG20140628,Boys' Saturday East 11 Wallabies,28/06/2014 1:15:00 AM,Round 9,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Ashburton United SC Green,,,,
BSE1WRFRCFO20140712,Boys' Saturday East 11 Wallabies,11/07/2014 11:00:00 PM,Round 10,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Ringwood City FC Orange,,,,
BSE1WDRSOBEFB1W20140712,Boys' Saturday East 11 Wallabies,12/07/2014 12:00:00 AM,Round 10,Anderson Park,Doncaster Rovers SC Orange,Boroondara Eagles FC Boys 11 Wallabies,,,,
BSE1WMJSWUS20140712,Boys' Saturday East 11 Wallabies,12/07/2014 12:15:00 AM,Round 10,Esther Park Reserve - Junior 1,Mooroolbark Junior SC,Whitehorse United SC,,,,
BSE1WSYSCCASR20140712,Boys' Saturday East 11 Wallabies,12/07/2014 1:00:00 AM,Round 10,Fawkner Park South Pavilion - Junior 1,South Yarra SC,Croydon City Arrows SC Red,,,,
BSE1WNCFRS20140712,Boys' Saturday East 11 Wallabies,12/07/2014 1:00:00 AM,Round 10,Mahoneys Reserve,Nunawading City FC,Riversdale SC,,,,
BSE1WAUSGDRSY20140712,Boys' Saturday East 11 Wallabies,12/07/2014 1:15:00 AM,Round 10,Willison Park - SSF 2 (U11),Ashburton United SC Green,Doncaster Rovers SC Yellow,,,,
BSE1WTUFCCASG20140712,Boys' Saturday East 11 Wallabies,12/07/2014 3:45:00 AM,Round 10,Veneto Club - David Barro Stadium (S),Templestowe United FC,Croydon City Arrows SC Green,,,,
BSE1WCCASRRF20140719,Boys' Saturday East 11 Wallabies,18/07/2014 11:00:00 PM,Round 11,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Red,Richmond FC,,,,
BSE1WAUSGDRSO20140719,Boys' Saturday East 11 Wallabies,18/07/2014 11:00:00 PM,Round 11,Willison Park - SSF 1 (U11),Ashburton United SC Green,Doncaster Rovers SC Orange,,,,
BSE1WDRSYNCF20140719,Boys' Saturday East 11 Wallabies,19/07/2014 12:00:00 AM,Round 11,Anderson Park,Doncaster Rovers SC Yellow,Nunawading City FC,,,,
BSE1WCCASGSYS20140719,Boys' Saturday East 11 Wallabies,19/07/2014 12:00:00 AM,Round 11,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Green,South Yarra SC,,,,
BSE1WRCFOMJS20140719,Boys' Saturday East 11 Wallabies,19/07/2014 1:00:00 AM,Round 11,Jubilee Park (S),Ringwood City FC Orange,Mooroolbark Junior SC,,,,
BSE1WWUSBEFB1W20140719,Boys' Saturday East 11 Wallabies,19/07/2014 1:00:00 AM,Round 11,Terrara Park,Whitehorse United SC,Boroondara Eagles FC Boys 11 Wallabies,,,,
BSE1WRSTUF20140719,Boys' Saturday East 11 Wallabies,19/07/2014 2:30:00 AM,Round 11,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Templestowe United FC,,,,
BSE1WMJSCCASR20140726,Boys' Saturday East 11 Wallabies,26/07/2014 12:15:00 AM,Round 12,Esther Park Reserve - Junior 1,Mooroolbark Junior SC,Croydon City Arrows SC Red,,,,
BSE1WBEFB1WRCFO20140726,Boys' Saturday East 11 Wallabies,26/07/2014 12:30:00 AM,Round 12,Macleay Park - Pitch 1 South,Boroondara Eagles FC Boys 11 Wallabies,Ringwood City FC Orange,,,,
BSE1WSYSRS20140726,Boys' Saturday East 11 Wallabies,26/07/2014 1:00:00 AM,Round 12,Fawkner Park South Pavilion - Pitch 2,South Yarra SC,Riversdale SC,,,,
BSE1WRFCCASG20140726,Boys' Saturday East 11 Wallabies,26/07/2014 1:00:00 AM,Round 12,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Croydon City Arrows SC Green,,,,
BSE1WNCFAUSG20140726,Boys' Saturday East 11 Wallabies,26/07/2014 1:00:00 AM,Round 12,Mahoneys Reserve,Nunawading City FC,Ashburton United SC Green,,,,
BSE1WWUSDRSO20140726,Boys' Saturday East 11 Wallabies,26/07/2014 1:00:00 AM,Round 12,Terrara Park,Whitehorse United SC,Doncaster Rovers SC Orange,,,,
BSE1WTUFDRSY20140726,Boys' Saturday East 11 Wallabies,26/07/2014 3:45:00 AM,Round 12,Veneto Club - David Barro Stadium (S),Templestowe United FC,Doncaster Rovers SC Yellow,,,,
BSE1WCCASGMJS20140802,Boys' Saturday East 11 Wallabies,1/08/2014 11:00:00 PM,Round 13,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Green,Mooroolbark Junior SC,,,,
BSE1WDRSYSYS20140802,Boys' Saturday East 11 Wallabies,2/08/2014 12:00:00 AM,Round 13,Anderson Park,Doncaster Rovers SC Yellow,South Yarra SC,,,,
BSE1WCCASRBEFB1W20140802,Boys' Saturday East 11 Wallabies,2/08/2014 12:00:00 AM,Round 13,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Red,Boroondara Eagles FC Boys 11 Wallabies,,,,
BSE1WDRSONCF20140802,Boys' Saturday East 11 Wallabies,2/08/2014 1:00:00 AM,Round 13,Anderson Park,Doncaster Rovers SC Orange,Nunawading City FC,,,,
BSE1WAUSGTUF20140802,Boys' Saturday East 11 Wallabies,2/08/2014 1:15:00 AM,Round 13,Willison Park - SSF 2 (U11),Ashburton United SC Green,Templestowe United FC,,,,
BSE1WRCFOWUS20140802,Boys' Saturday East 11 Wallabies,2/08/2014 2:00:00 AM,Round 13,Jubilee Park (S),Ringwood City FC Orange,Whitehorse United SC,,,,
BSE1WRSRF20140802,Boys' Saturday East 11 Wallabies,2/08/2014 2:30:00 AM,Round 13,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Richmond FC,,,,
BSE1WCCASRWUS20140809,Boys' Saturday East 11 Wallabies,8/08/2014 11:00:00 PM,Round 14,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Red,Whitehorse United SC,,,,
BSE1WDRSYRF20140809,Boys' Saturday East 11 Wallabies,9/08/2014 12:00:00 AM,Round 14,Anderson Park,Doncaster Rovers SC Yellow,Richmond FC,,,,
BSE1WCCASGBEFB1W20140809,Boys' Saturday East 11 Wallabies,9/08/2014 12:00:00 AM,Round 14,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Green,Boroondara Eagles FC Boys 11 Wallabies,,,,
BSE1WDRSORCFO20140809,Boys' Saturday East 11 Wallabies,9/08/2014 1:00:00 AM,Round 14,Anderson Park,Doncaster Rovers SC Orange,Ringwood City FC Orange,,,,
BSE1WNCFTUF20140809,Boys' Saturday East 11 Wallabies,9/08/2014 1:00:00 AM,Round 14,Mahoneys Reserve,Nunawading City FC,Templestowe United FC,,,,
BSE1WAUSGSYS20140809,Boys' Saturday East 11 Wallabies,9/08/2014 1:15:00 AM,Round 14,Willison Park - SSF 1 (U11),Ashburton United SC Green,South Yarra SC,,,,
BSE1WRSMJS20140809,Boys' Saturday East 11 Wallabies,9/08/2014 2:30:00 AM,Round 14,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Mooroolbark Junior SC,,,,
BSE1WRFAUSG20140816,Boys' Saturday East 11 Wallabies,15/08/2014 11:00:00 PM,Round 15,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Ashburton United SC Green,,,,
BSE1WWUSCCASG20140816,Boys' Saturday East 11 Wallabies,15/08/2014 11:00:00 PM,Round 15,Terrara Park - Junior 1,Whitehorse United SC,Croydon City Arrows SC Green,,,,
BSE1WMJSDRSY20140816,Boys' Saturday East 11 Wallabies,16/08/2014 12:15:00 AM,Round 15,Esther Park Reserve - Junior 2 (MiniRoos),Mooroolbark Junior SC,Doncaster Rovers SC Yellow,,,,
BSE1WBEFB1WRS20140816,Boys' Saturday East 11 Wallabies,16/08/2014 12:30:00 AM,Round 15,Macleay Park - Pitch 1 North,Boroondara Eagles FC Boys 11 Wallabies,Riversdale SC,,,,
BSE1WSYSNCF20140816,Boys' Saturday East 11 Wallabies,16/08/2014 1:00:00 AM,Round 15,Fawkner Park South Pavilion - Junior 1,South Yarra SC,Nunawading City FC,,,,
