Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
BSE9KBEFB9KPTUFG20140426,Boys' Saturday East 9 Kangaroos,25/04/2014 11:00:00 PM,Round 1,Macleay Park - SSF 7 (U9),Boroondara Eagles FC Boys 9 Kangas Purple,Templestowe United FC Gold,,,,
BSE9KNCFDRS20140426,Boys' Saturday East 9 Kangaroos,25/04/2014 11:00:00 PM,Round 1,Mahoneys Reserve,Nunawading City FC,Doncaster Rovers SC,,,,
BSE9KAUSSYS20140426,Boys' Saturday East 9 Kangaroos,26/04/2014 12:10:00 AM,Round 1,Warner Reserve - SSF 2 (U9) Ashburton,Ashburton United SC,South Yarra SC,,,,
BSE9KTUFMBEFB9KG20140426,Boys' Saturday East 9 Kangaroos,26/04/2014 2:30:00 AM,Round 1,Veneto Club - David Barro Stadium (S),Templestowe United FC Maroon,Boroondara Eagles FC Boys 9 Kangas Gold,,,,
BSE9KDRSAUS20140503,Boys' Saturday East 9 Kangaroos,2/05/2014 11:00:00 PM,Round 2,Anderson Park,Doncaster Rovers SC,Ashburton United SC,,,,
BSE9KBEFB9KGBEFB9KP20140503,Boys' Saturday East 9 Kangaroos,2/05/2014 11:00:00 PM,Round 2,Macleay Park - SSF 8 (U9),Boroondara Eagles FC Boys 9 Kangas Gold,Boroondara Eagles FC Boys 9 Kangas Purple,,,,
BSE9KTUFGNCF20140503,Boys' Saturday East 9 Kangaroos,3/05/2014 1:30:00 AM,Round 2,Veneto Club - David Barro Stadium (S),Templestowe United FC Gold,Nunawading City FC,,,,
BSE9KNCFBEFB9KP20140510,Boys' Saturday East 9 Kangaroos,9/05/2014 11:00:00 PM,Round 3,Mahoneys Reserve,Nunawading City FC,Boroondara Eagles FC Boys 9 Kangas Purple,,,,
BSE9KAUSTUFG20140510,Boys' Saturday East 9 Kangaroos,9/05/2014 11:00:00 PM,Round 3,Warner Reserve - SSF 2 (U9) Ashburton,Ashburton United SC,Templestowe United FC Gold,,,,
BSE9KTUFMDRS20140510,Boys' Saturday East 9 Kangaroos,10/05/2014 2:30:00 AM,Round 3,Veneto Club - David Barro Stadium (S),Templestowe United FC Maroon,Doncaster Rovers SC,,,,
BSE9KDRSNCF20140524,Boys' Saturday East 9 Kangaroos,23/05/2014 11:00:00 PM,Round 4,Anderson Park,Doncaster Rovers SC,Nunawading City FC,,,,
BSE9KBEFB9KPBEFB9KG20140524,Boys' Saturday East 9 Kangaroos,23/05/2014 11:00:00 PM,Round 4,Macleay Park - SSF 7 (U9),Boroondara Eagles FC Boys 9 Kangas Purple,Boroondara Eagles FC Boys 9 Kangas Gold,,,,
BSE9KTUFGAUS20140524,Boys' Saturday East 9 Kangaroos,24/05/2014 1:30:00 AM,Round 4,Veneto Club - Junior Grass Pitch,Templestowe United FC Gold,Ashburton United SC,,,,
BSE9KBEFB9KPDRS20140531,Boys' Saturday East 9 Kangaroos,30/05/2014 11:00:00 PM,Round 5,Macleay Park - Junior 3,Boroondara Eagles FC Boys 9 Kangas Purple,Doncaster Rovers SC,,,,
BSE9KBEFB9KGAUS20140531,Boys' Saturday East 9 Kangaroos,30/05/2014 11:00:00 PM,Round 5,Macleay Park - SSF 8 (U9),Boroondara Eagles FC Boys 9 Kangas Gold,Ashburton United SC,,,,
BSE9KNCFTUFG20140531,Boys' Saturday East 9 Kangaroos,30/05/2014 11:00:00 PM,Round 5,Mahoneys Reserve,Nunawading City FC,Templestowe United FC Gold,,,,
BSE9KDRSAUS20140607,Boys' Saturday East 9 Kangaroos,6/06/2014 11:00:00 PM,Round 6,Anderson Park - Junior,Doncaster Rovers SC,Ashburton United SC,,,,
BSE9KNCFBEFB9KP20140607,Boys' Saturday East 9 Kangaroos,6/06/2014 11:00:00 PM,Round 6,Mahoneys Reserve,Nunawading City FC,Boroondara Eagles FC Boys 9 Kangas Purple,,,,
BSE9KTUFGBEFB9KG20140607,Boys' Saturday East 9 Kangaroos,7/06/2014 1:30:00 AM,Round 6,Veneto Club - David Barro Stadium (S),Templestowe United FC Gold,Boroondara Eagles FC Boys 9 Kangas Gold,,,,
BSE9KBEFB9KPTUFG20140614,Boys' Saturday East 9 Kangaroos,13/06/2014 11:00:00 PM,Round 7,Macleay Park - Pitch 1 South,Boroondara Eagles FC Boys 9 Kangas Purple,Templestowe United FC Gold,,,,
BSE9KBEFB9KGDRS20140614,Boys' Saturday East 9 Kangaroos,14/06/2014 12:10:00 AM,Round 7,Macleay Park - Pitch 2,Boroondara Eagles FC Boys 9 Kangas Gold,Doncaster Rovers SC,,,,
BSE9KAUSNCF20140614,Boys' Saturday East 9 Kangaroos,14/06/2014 1:15:00 AM,Round 7,Ashburton Park,Ashburton United SC,Nunawading City FC,,,,
BSE9KBEFB9KPAUS20140621,Boys' Saturday East 9 Kangaroos,20/06/2014 11:00:00 PM,Round 8,Macleay Park - SSF 7 (U9),Boroondara Eagles FC Boys 9 Kangas Purple,Ashburton United SC,,,,
