Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
GSE1JAUSGCUF20140427,Girls' Sunday East 11 Joeys,26/04/2014 11:00:00 PM,Round 1,Batesford Reserve - Junior,Ashburton United SC Green,Chisholm United FC,,,,
GSE1JGWUSRCF20140427,Girls' Sunday East 11 Joeys,26/04/2014 11:30:00 PM,Round 1,Larpent Reserve,Glen Waverley u11 Scorpions,Ringwood City FC,,,,
GSE1JNGU2AUSY20140427,Girls' Sunday East 11 Joeys,27/04/2014 12:00:00 AM,Round 1,Caulfield Park - Pitch 6,NCJFC Girls U10/11 2014,Ashburton United SC Yellow,,,,
GSE1JMCSCCAS20140427,Girls' Sunday East 11 Joeys,27/04/2014 1:15:00 AM,Round 1,Argyle Reserve,Monash City SC,Croydon City Arrows SC,,,,
GSE1JAUSYGWUS20140504,Girls' Sunday East 11 Joeys,3/05/2014 11:00:00 PM,Round 2,Batesford Reserve - Junior,Ashburton United SC Yellow,Glen Waverley u11 Scorpions,,,,
GSE1JCUFAUSG20140504,Girls' Sunday East 11 Joeys,4/05/2014 12:00:00 AM,Round 2,Jack Edwards Reserve - Junior,Chisholm United FC,Ashburton United SC Green,,,,
GSE1JCCASNGU220140504,Girls' Sunday East 11 Joeys,4/05/2014 12:15:00 AM,Round 2,Belmont Park - Pitch 1 (MiniRoos),Croydon City Arrows SC,NCJFC Girls U10/11 2014,,,,
GSE1JMCSRCF20140504,Girls' Sunday East 11 Joeys,4/05/2014 1:15:00 AM,Round 2,Argyle Reserve,Monash City SC,Ringwood City FC,,,,
GSE1JAUSGAUSY20140511,Girls' Sunday East 11 Joeys,10/05/2014 11:00:00 PM,Round 3,Batesford Reserve - Junior,Ashburton United SC Green,Ashburton United SC Yellow,,,,
GSE1JGWUSNGU220140511,Girls' Sunday East 11 Joeys,10/05/2014 11:15:00 PM,Round 3,Glen Waverley North Reserve,Glen Waverley u11 Scorpions,NCJFC Girls U10/11 2014,,,,
GSE1JRCFCUF20140511,Girls' Sunday East 11 Joeys,11/05/2014 12:00:00 AM,Round 3,Jubilee Park (S),Ringwood City FC,Chisholm United FC,,,,
GSE1JMCSCCAS20140511,Girls' Sunday East 11 Joeys,11/05/2014 1:15:00 AM,Round 3,Argyle Reserve,Monash City SC,Croydon City Arrows SC,,,,
GSE1JAUSYRCF20140525,Girls' Sunday East 11 Joeys,24/05/2014 11:00:00 PM,Round 4,Warner Reserve - SSF 5 (U11) Ashburton,Ashburton United SC Yellow,Ringwood City FC,,,,
GSE1JCCASGWUS20140525,Girls' Sunday East 11 Joeys,24/05/2014 11:15:00 PM,Round 4,Belmont Park - Pitch 1 (MiniRoos),Croydon City Arrows SC,Glen Waverley u11 Scorpions,,,,
GSE1JNGU2AUSG20140525,Girls' Sunday East 11 Joeys,25/05/2014 12:00:00 AM,Round 4,Caulfield Park - Pitch 5,NCJFC Girls U10/11 2014,Ashburton United SC Green,,,,
GSE1JCUFMCS20140525,Girls' Sunday East 11 Joeys,25/05/2014 1:00:00 AM,Round 4,Jack Edwards Reserve - Junior,Chisholm United FC,Monash City SC,,,,
GSE1JMCSAUSY20140601,Girls' Sunday East 11 Joeys,31/05/2014 11:00:00 PM,Round 5,Argyle Reserve,Monash City SC,Ashburton United SC Yellow,,,,
GSE1JAUSGGWUS20140601,Girls' Sunday East 11 Joeys,31/05/2014 11:00:00 PM,Round 5,Batesford Reserve - Junior,Ashburton United SC Green,Glen Waverley u11 Scorpions,,,,
GSE1JRCFNGU220140601,Girls' Sunday East 11 Joeys,31/05/2014 11:00:00 PM,Round 5,Jubilee Park (S),Ringwood City FC,NCJFC Girls U10/11 2014,,,,
GSE1JCUFCCAS20140601,Girls' Sunday East 11 Joeys,1/06/2014 1:10:00 AM,Round 5,Jack Edwards Reserve - Junior,Chisholm United FC,Croydon City Arrows SC,,,,
GSE1JAUSGCCAS20140608,Girls' Sunday East 11 Joeys,7/06/2014 11:00:00 PM,Round 6,Batesford Reserve - Junior,Ashburton United SC Green,Croydon City Arrows SC,,,,
GSE1JAUSYCUF20140608,Girls' Sunday East 11 Joeys,7/06/2014 11:00:00 PM,Round 6,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC Yellow,Chisholm United FC,,,,
GSE1JGWUSRCF20140608,Girls' Sunday East 11 Joeys,7/06/2014 11:30:00 PM,Round 6,Glen Waverley North Reserve,Glen Waverley u11 Scorpions,Ringwood City FC,,,,
GSE1JNGU2MCS20140608,Girls' Sunday East 11 Joeys,8/06/2014 12:00:00 AM,Round 6,Caulfield Park - Pitch 5,NCJFC Girls U10/11 2014,Monash City SC,,,,
GSE1JMCSGWUS20140615,Girls' Sunday East 11 Joeys,14/06/2014 11:00:00 PM,Round 7,Argyle Reserve,Monash City SC,Glen Waverley u11 Scorpions,,,,
GSE1JCCASAUSY20140615,Girls' Sunday East 11 Joeys,14/06/2014 11:00:00 PM,Round 7,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC,Ashburton United SC Yellow,,,,
GSE1JCUFNGU220140615,Girls' Sunday East 11 Joeys,14/06/2014 11:00:00 PM,Round 7,Jack Edwards Reserve,Chisholm United FC,NCJFC Girls U10/11 2014,,,,
GSE1JRCFAUSG20140615,Girls' Sunday East 11 Joeys,14/06/2014 11:00:00 PM,Round 7,Jubilee Park (S),Ringwood City FC,Ashburton United SC Green,,,,
GSE1JMCSAUSG20140622,Girls' Sunday East 11 Joeys,21/06/2014 11:00:00 PM,Round 8,Argyle Reserve,Monash City SC,Ashburton United SC Green,,,,
GSE1JAUSYNGU220140622,Girls' Sunday East 11 Joeys,21/06/2014 11:00:00 PM,Round 8,Batesford Reserve - Junior,Ashburton United SC Yellow,NCJFC Girls U10/11 2014,,,,
GSE1JCCASRCF20140622,Girls' Sunday East 11 Joeys,21/06/2014 11:00:00 PM,Round 8,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC,Ringwood City FC,,,,
GSE1JCUFGWUS20140622,Girls' Sunday East 11 Joeys,22/06/2014 1:00:00 AM,Round 8,Davies Reserve - Pitch 1 SSF (U11),Chisholm United FC,Glen Waverley u11 Scorpions,,,,
GSE1JAUSGCUF20140629,Girls' Sunday East 11 Joeys,28/06/2014 11:00:00 PM,Round 9,Batesford Reserve - Junior,Ashburton United SC Green,Chisholm United FC,,,,
GSE1JGWUSAUSY20140629,Girls' Sunday East 11 Joeys,28/06/2014 11:00:00 PM,Round 9,Capital Reserve,Glen Waverley u11 Scorpions,Ashburton United SC Yellow,,,,
GSE1JNGU2CCAS20140629,Girls' Sunday East 11 Joeys,29/06/2014 12:00:00 AM,Round 9,Caulfield Park - Pitch 5,NCJFC Girls U10/11 2014,Croydon City Arrows SC,,,,
GSE1JRCFMCS20140629,Girls' Sunday East 11 Joeys,29/06/2014 12:00:00 AM,Round 9,Jubilee Park (S),Ringwood City FC,Monash City SC,,,,
GSE1JCCASMCS20140713,Girls' Sunday East 11 Joeys,12/07/2014 11:00:00 PM,Round 10,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC,Monash City SC,,,,
GSE1JNGU2GWUS20140713,Girls' Sunday East 11 Joeys,13/07/2014 12:00:00 AM,Round 10,Caulfield Park - Pitch 6,NCJFC Girls U10/11 2014,Glen Waverley u11 Scorpions,,,,
GSE1JAUSYAUSG20140713,Girls' Sunday East 11 Joeys,13/07/2014 12:10:00 AM,Round 10,Willison Park - SSF 1 (U11),Ashburton United SC Yellow,Ashburton United SC Green,,,,
GSE1JCUFRCF20140713,Girls' Sunday East 11 Joeys,13/07/2014 1:00:00 AM,Round 10,Jack Edwards Reserve,Chisholm United FC,Ringwood City FC,,,,
GSE1JMCSCUF20140720,Girls' Sunday East 11 Joeys,19/07/2014 11:00:00 PM,Round 11,Argyle Reserve,Monash City SC,Chisholm United FC,,,,
