Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
GSN9WKJGSBYJFR(UJ20140427,Girls' Sunday North-East 9 Wallabies/Kangaroos,26/04/2014 11:30:00 PM,Round 1,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Blue,Yarra Jets FC Red (Girls U9 Joeys),,,,
GSN9WKJGSGSMWF20140427,Girls' Sunday North-East 9 Wallabies/Kangaroos,27/04/2014 12:30:00 AM,Round 1,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Gold,South Melbourne Womens FC,,,,
GSN9WYJFR(UJAUS20140504,Girls' Sunday North-East 9 Wallabies/Kangaroos,4/05/2014 12:10:00 AM,Round 2,Knott Reserve,Yarra Jets FC Red (Girls U9 Joeys),Ashburton United SC,,,,
GSN9WKJGSGKJGSB20140504,Girls' Sunday North-East 9 Wallabies/Kangaroos,4/05/2014 1:00:00 AM,Round 2,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Gold,Kensington Junior Girls SC Blue,,,,
GSN9WKJGSBSMWF20140511,Girls' Sunday North-East 9 Wallabies/Kangaroos,10/05/2014 11:30:00 PM,Round 3,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Blue,South Melbourne Womens FC,,,,
GSN9WAUSKJGSG20140511,Girls' Sunday North-East 9 Wallabies/Kangaroos,11/05/2014 12:00:00 AM,Round 3,Batesford Reserve - Junior,Ashburton United SC,Kensington Junior Girls SC Gold,,,,
GSN9WGWUCKJGSB20140525,Girls' Sunday North-East 9 Wallabies/Kangaroos,24/05/2014 11:30:00 PM,Round 4,Glen Waverley North Reserve,Glen Waverley u9 Cheetahs,Kensington Junior Girls SC Blue,,,,
GSN9WAUSGKJGSG20140525,Girls' Sunday North-East 9 Wallabies/Kangaroos,25/05/2014 12:10:00 AM,Round 4,Warner Reserve - SSF 2 (U9) Ashburton,Ashburton United SC Green,Kensington Junior Girls SC Gold,,,,
GSN9WSMWFAUSG20140601,Girls' Sunday North-East 9 Wallabies/Kangaroos,31/05/2014 11:00:00 PM,Round 5,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Ashburton United SC Green,,,,
GSN9WKJGSGGWUC20140601,Girls' Sunday North-East 9 Wallabies/Kangaroos,1/06/2014 1:00:00 AM,Round 5,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Gold,Glen Waverley u9 Cheetahs,,,,
GSN9WSMWFKJGSG20140608,Girls' Sunday North-East 9 Wallabies/Kangaroos,7/06/2014 11:00:00 PM,Round 6,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Kensington Junior Girls SC Gold,,,,
GSN9WAUSGKJGSB20140608,Girls' Sunday North-East 9 Wallabies/Kangaroos,8/06/2014 12:00:00 AM,Round 6,Batesford Reserve - Junior,Ashburton United SC Green,Kensington Junior Girls SC Blue,,,,
GSN9WSMWFGWUC20140615,Girls' Sunday North-East 9 Wallabies/Kangaroos,14/06/2014 11:00:00 PM,Round 7,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Glen Waverley u9 Cheetahs,,,,
GSN9WKJGSBKJGSG20140615,Girls' Sunday North-East 9 Wallabies/Kangaroos,14/06/2014 11:30:00 PM,Round 7,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Blue,Kensington Junior Girls SC Gold,,,,
GSN9WSMWFKJGSB20140622,Girls' Sunday North-East 9 Wallabies/Kangaroos,21/06/2014 11:00:00 PM,Round 8,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Kensington Junior Girls SC Blue,,,,
GSN9WGWUCAUSG20140622,Girls' Sunday North-East 9 Wallabies/Kangaroos,21/06/2014 11:30:00 PM,Round 8,Glen Waverley North Reserve,Glen Waverley u9 Cheetahs,Ashburton United SC Green,,,,
GSN9WKJGSBGWUC20140629,Girls' Sunday North-East 9 Wallabies/Kangaroos,28/06/2014 11:30:00 PM,Round 9,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Blue,Glen Waverley u9 Cheetahs,,,,
GSN9WKJGSGAUSG20140629,Girls' Sunday North-East 9 Wallabies/Kangaroos,29/06/2014 1:00:00 AM,Round 9,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Gold,Ashburton United SC Green,,,,
GSN9WAUSGSMWF20140713,Girls' Sunday North-East 9 Wallabies/Kangaroos,12/07/2014 11:00:00 PM,Round 10,Batesford Reserve - Junior,Ashburton United SC Green,South Melbourne Womens FC,,,,
GSN9WGWUCKJGSG20140713,Girls' Sunday North-East 9 Wallabies/Kangaroos,12/07/2014 11:15:00 PM,Round 10,Capital Reserve,Glen Waverley u9 Cheetahs,Kensington Junior Girls SC Gold,,,,
GSN9WSMWFKJGSG20140720,Girls' Sunday North-East 9 Wallabies/Kangaroos,19/07/2014 11:00:00 PM,Round 11,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Kensington Junior Girls SC Gold,,,,
GSN9WKJGSBAUSG20140720,Girls' Sunday North-East 9 Wallabies/Kangaroos,19/07/2014 11:30:00 PM,Round 11,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Blue,Ashburton United SC Green,,,,
GSN9WGWUCSMWF20140727,Girls' Sunday North-East 9 Wallabies/Kangaroos,26/07/2014 11:30:00 PM,Round 12,Capital Reserve,Glen Waverley u9 Cheetahs,South Melbourne Womens FC,,,,
GSN9WKJGSGKJGSB20140727,Girls' Sunday North-East 9 Wallabies/Kangaroos,27/07/2014 1:00:00 AM,Round 12,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Gold,Kensington Junior Girls SC Blue,,,,
GSN9WKJGSBSMWF20140803,Girls' Sunday North-East 9 Wallabies/Kangaroos,2/08/2014 11:30:00 PM,Round 13,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Blue,South Melbourne Womens FC,,,,
GSN9WAUSGGWUC20140803,Girls' Sunday North-East 9 Wallabies/Kangaroos,3/08/2014 12:00:00 AM,Round 13,Batesford Reserve - Junior,Ashburton United SC Green,Glen Waverley u9 Cheetahs,,,,
GSN9WGWUCKJGSB20140810,Girls' Sunday North-East 9 Wallabies/Kangaroos,9/08/2014 11:00:00 PM,Round 14,Capital Reserve,Glen Waverley u9 Cheetahs,Kensington Junior Girls SC Blue,,,,
GSN9WAUSGKJGSG20140810,Girls' Sunday North-East 9 Wallabies/Kangaroos,10/08/2014 12:00:00 AM,Round 14,Batesford Reserve - Junior,Ashburton United SC Green,Kensington Junior Girls SC Gold,,,,
GSN9WSMWFAUSG20140817,Girls' Sunday North-East 9 Wallabies/Kangaroos,16/08/2014 11:00:00 PM,Round 15,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Ashburton United SC Green,,,,
GSN9WKJGSGGWUC20140817,Girls' Sunday North-East 9 Wallabies/Kangaroos,17/08/2014 1:00:00 AM,Round 15,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Gold,Glen Waverley u9 Cheetahs,,,,
GSN9WAUSGKJGSB20140824,Girls' Sunday North-East 9 Wallabies/Kangaroos,24/08/2014 12:00:00 AM,Round 16,Batesford Reserve - Junior,Ashburton United SC Green,Kensington Junior Girls SC Blue,,,,
GSN9WKJGSGSMWF20140824,Girls' Sunday North-East 9 Wallabies/Kangaroos,24/08/2014 1:00:00 AM,Round 16,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Gold,South Melbourne Womens FC,,,,
GSN9WSMWFGWUC20140907,Girls' Sunday North-East 9 Wallabies/Kangaroos,6/09/2014 11:00:00 PM,Round 17,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Glen Waverley u9 Cheetahs,,,,
GSN9WKJGSBKJGSG20140907,Girls' Sunday North-East 9 Wallabies/Kangaroos,6/09/2014 11:30:00 PM,Round 17,JJ Holland Park - SSF 3 (U9),Kensington Junior Girls SC Blue,Kensington Junior Girls SC Gold,,,,
GSN9WSMWFKJGSB20140914,Girls' Sunday North-East 9 Wallabies/Kangaroos,13/09/2014 11:00:00 PM,Round 18,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Kensington Junior Girls SC Blue,,,,
GSN9WGWUCAUSG20140914,Girls' Sunday North-East 9 Wallabies/Kangaroos,13/09/2014 11:30:00 PM,Round 18,Capital Reserve,Glen Waverley u9 Cheetahs,Ashburton United SC Green,,,,
