Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
GSN1JYJFB(UJWHFUG20140427,Girls' Sunday North-West 11 Joeys,26/04/2014 11:00:00 PM,Round 1,Knott Reserve,Yarra Jets FC Blue (Girls U11 Joeys),Watsonia Heights FC U11 Girls,,,,
GSN1JBZFDFWSB20140427,Girls' Sunday North-West 11 Joeys,27/04/2014 12:10:00 AM,Round 1,Sumner Park,Brunswick Zebras FC,Darebin Falcons Womens SC Blue,,,,
GSN1JKJGSFS20140427,Girls' Sunday North-West 11 Joeys,27/04/2014 1:00:00 AM,Round 1,FORFEIT,Kensington Junior Girls SC,Fawkner SC,,,,
GSN1JMZYYJFB(UJ20140504,Girls' Sunday North-West 11 Joeys,3/05/2014 11:00:00 PM,Round 2,De Chene Reserve - Pitch 1,Moreland Zebras/Moreland Youth,Yarra Jets FC Blue (Girls U11 Joeys),,,,
GSN1JDFWSBKJGS20140504,Girls' Sunday North-West 11 Joeys,4/05/2014 12:00:00 AM,Round 2,FORFEIT,Darebin Falcons Womens SC Blue,Kensington Junior Girls SC,,,,
GSN1JWHFUGBZF20140504,Girls' Sunday North-West 11 Joeys,4/05/2014 12:10:00 AM,Round 2,Elder Street Reserve - Pitch 1 Junior ,Watsonia Heights FC U11 Girls,Brunswick Zebras FC,,,,
GSN1JMZYFS20140511,Girls' Sunday North-West 11 Joeys,10/05/2014 11:00:00 PM,Round 3,De Chene Reserve - Pitch 1,Moreland Zebras/Moreland Youth,Fawkner SC,,,,
GSN1JBZFFCH20140511,Girls' Sunday North-West 11 Joeys,11/05/2014 12:10:00 AM,Round 3,Sumner Park,Brunswick Zebras FC,FC Clifton Hill,,,,
GSN1JKJGSDFWSB20140511,Girls' Sunday North-West 11 Joeys,11/05/2014 1:00:00 AM,Round 3,FORFEIT,Kensington Junior Girls SC,Darebin Falcons Womens SC Blue,,,,
GSN1JYJFB(UJWHFUG20140511,Girls' Sunday North-West 11 Joeys,11/05/2014 1:00:00 AM,Round 3,Knott Reserve,Yarra Jets FC Blue (Girls U11 Joeys),Watsonia Heights FC U11 Girls,,,,
GSN1JFCHKJGS20140525,Girls' Sunday North-West 11 Joeys,24/05/2014 11:00:00 PM,Round 4,Coulson Reserve - Junior,FC Clifton Hill,Kensington Junior Girls SC,,,,
GSN1JDFWSBYJFB(UJ20140525,Girls' Sunday North-West 11 Joeys,25/05/2014 12:00:00 AM,Round 4,Capp Reserve,Darebin Falcons Womens SC Blue,Yarra Jets FC Blue (Girls U11 Joeys),,,,
GSN1JWHFUGMZY20140525,Girls' Sunday North-West 11 Joeys,25/05/2014 12:10:00 AM,Round 4,Elder Street Reserve - Pitch 1 Junior ,Watsonia Heights FC U11 Girls,Moreland Zebras/Moreland Youth,,,,
GSN1JFSBZF20140525,Girls' Sunday North-West 11 Joeys,25/05/2014 12:10:00 AM,Round 4,Reddish Reserve - SSF (U11),Fawkner SC,Brunswick Zebras FC,,,,
