Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
GSN1KBUFKPS20140427,Girls' Sunday North-West 11 Kangaroos/Wallabies,26/04/2014 11:00:00 PM,Round 1,Hillsview Recreation Reserve - Pitch 2,Bundoora United FC,Keilor Park SC,,,,
GSN1KKJGSBFBLG20140427,Girls' Sunday North-West 11 Kangaroos/Wallabies,26/04/2014 11:00:00 PM,Round 1,JJ Holland Park - SSF 1 (U11),Kensington Junior Girls SC Blue,FC Bulleen Lions Gold,,,,
GSN1KSHFRWSCSF20140427,Girls' Sunday North-West 11 Kangaroos/Wallabies,27/04/2014 1:00:00 AM,Round 1,Springside Recreational Reserve - Junior (S),Spring Hills FC Red,Westside Strikers Caroline Springs FC,,,,
GSN1KYJF(UWKJGSG20140427,Girls' Sunday North-West 11 Kangaroos/Wallabies,27/04/2014 2:15:00 AM,Round 1,Knott Reserve,Yarra Jets FC (Girls U11 Wallabies),Kensington Junior Girls SC Gold,,,,
GSN1KERFPCF20140427,Girls' Sunday North-West 11 Kangaroos/Wallabies,27/04/2014 2:30:00 AM,Round 1,Eltham North Reserve - Pitch 2,Eltham Redbacks FC,Point Cook FC,,,,
GSN1KKPSYJF(UW20140504,Girls' Sunday North-West 11 Kangaroos/Wallabies,3/05/2014 11:00:00 PM,Round 2,Keilor Park Recreation Reserve - Pitch 3,Keilor Park SC,Yarra Jets FC (Girls U11 Wallabies),,,,
GSN1KFBLGBUF20140504,Girls' Sunday North-West 11 Kangaroos/Wallabies,3/05/2014 11:00:00 PM,Round 2,Veneto Club - David Barro Stadium (S),FC Bulleen Lions Gold,Bundoora United FC,,,,
GSN1KPCFKJGSB20140504,Girls' Sunday North-West 11 Kangaroos/Wallabies,4/05/2014 1:20:00 AM,Round 2,Saltwater Reserve - SSF1 (U11),Point Cook FC,Kensington Junior Girls SC Blue,,,,
GSN1KKJGSGSHFR20140504,Girls' Sunday North-West 11 Kangaroos/Wallabies,4/05/2014 1:30:00 AM,Round 2,JJ Holland Park (S),Kensington Junior Girls SC Gold,Spring Hills FC Red,,,,
GSN1KWSCSFERF20140504,Girls' Sunday North-West 11 Kangaroos/Wallabies,4/05/2014 3:30:00 AM,Round 2,Brookside Recreation Reserve - Pitch 2,Westside Strikers Caroline Springs FC,Eltham Redbacks FC,,,,
GSN1KBUFKJGSB20140511,Girls' Sunday North-West 11 Kangaroos/Wallabies,10/05/2014 11:00:00 PM,Round 3,Hillsview Recreation Reserve - Pitch 2,Bundoora United FC,Kensington Junior Girls SC Blue,,,,
GSN1KERFKJGSG20140511,Girls' Sunday North-West 11 Kangaroos/Wallabies,11/05/2014 12:10:00 AM,Round 3,Eltham North Reserve - Pitch 2,Eltham Redbacks FC,Kensington Junior Girls SC Gold,,,,
GSN1KYJF(UWFBLG20140511,Girls' Sunday North-West 11 Kangaroos/Wallabies,11/05/2014 1:00:00 AM,Round 3,Knott Reserve,Yarra Jets FC (Girls U11 Wallabies),FC Bulleen Lions Gold,,,,
GSN1KSHFRKPS20140511,Girls' Sunday North-West 11 Kangaroos/Wallabies,11/05/2014 1:20:00 AM,Round 3,Springside Recreational Reserve - Junior (S),Spring Hills FC Red,Keilor Park SC,,,,
GSN1KWSCSFPCF20140511,Girls' Sunday North-West 11 Kangaroos/Wallabies,11/05/2014 3:30:00 AM,Round 3,Brookside Recreation Reserve - Pitch 2,Westside Strikers Caroline Springs FC,Point Cook FC,,,,
GSN1KKJGSBYJF(UW20140525,Girls' Sunday North-West 11 Kangaroos/Wallabies,24/05/2014 11:00:00 PM,Round 4,JJ Holland Park - SSF 1 (U11),Kensington Junior Girls SC Blue,Yarra Jets FC (Girls U11 Wallabies),,,,
GSN1KKPSERF20140525,Girls' Sunday North-West 11 Kangaroos/Wallabies,24/05/2014 11:00:00 PM,Round 4,Keilor Park Recreation Reserve - Pitch 3,Keilor Park SC,Eltham Redbacks FC,,,,
GSN1KFBLGSHFR20140525,Girls' Sunday North-West 11 Kangaroos/Wallabies,24/05/2014 11:00:00 PM,Round 4,Veneto Club - David Barro Stadium (S),FC Bulleen Lions Gold,Spring Hills FC Red,,,,
GSN1KKJGSGWSCSF20140525,Girls' Sunday North-West 11 Kangaroos/Wallabies,25/05/2014 12:00:00 AM,Round 4,JJ Holland Park - SSF 1 (U11),Kensington Junior Girls SC Gold,Westside Strikers Caroline Springs FC,,,,
GSN1KPCFBUF20140525,Girls' Sunday North-West 11 Kangaroos/Wallabies,25/05/2014 1:20:00 AM,Round 4,Saltwater Reserve - SSF1 (U11),Point Cook FC,Bundoora United FC,,,,
GSN1KKJGSGPCF20140601,Girls' Sunday North-West 11 Kangaroos/Wallabies,1/06/2014 12:00:00 AM,Round 5,JJ Holland Park - SSF 2 (U11),Kensington Junior Girls SC Gold,Point Cook FC,,,,
GSN1KERFFBLG20140601,Girls' Sunday North-West 11 Kangaroos/Wallabies,1/06/2014 12:10:00 AM,Round 5,Eltham North Reserve - Pitch 2,Eltham Redbacks FC,FC Bulleen Lions Gold,,,,
GSN1KYJF(UWBUF20140601,Girls' Sunday North-West 11 Kangaroos/Wallabies,1/06/2014 1:15:00 AM,Round 5,Knott Reserve,Yarra Jets FC (Girls U11 Wallabies),Bundoora United FC,,,,
GSN1KSHFRKJGSB20140601,Girls' Sunday North-West 11 Kangaroos/Wallabies,1/06/2014 1:20:00 AM,Round 5,Springside Recreational Reserve - Junior (S),Spring Hills FC Red,Kensington Junior Girls SC Blue,,,,
GSN1KWSCSFKPS20140601,Girls' Sunday North-West 11 Kangaroos/Wallabies,1/06/2014 4:00:00 AM,Round 5,Brookside Recreation Reserve - Pitch 2,Westside Strikers Caroline Springs FC,Keilor Park SC,,,,
GSN1KKJGSBERF20140608,Girls' Sunday North-West 11 Kangaroos/Wallabies,7/06/2014 11:00:00 PM,Round 6,JJ Holland Park - SSF 1 (U11),Kensington Junior Girls SC Blue,Eltham Redbacks FC,,,,
GSN1KKPSKJGSG20140608,Girls' Sunday North-West 11 Kangaroos/Wallabies,7/06/2014 11:00:00 PM,Round 6,Keilor Park Recreation Reserve - Pitch 3,Keilor Park SC,Kensington Junior Girls SC Gold,,,,
GSN1KFBLGWSCSF20140608,Girls' Sunday North-West 11 Kangaroos/Wallabies,7/06/2014 11:00:00 PM,Round 6,Veneto Club - David Barro Stadium (S),FC Bulleen Lions Gold,Westside Strikers Caroline Springs FC,,,,
GSN1KBUFSHFR20140608,Girls' Sunday North-West 11 Kangaroos/Wallabies,8/06/2014 12:10:00 AM,Round 6,Hillsview Recreation Reserve - Pitch 2,Bundoora United FC,Spring Hills FC Red,,,,
GSN1KPCFYJF(UW20140608,Girls' Sunday North-West 11 Kangaroos/Wallabies,8/06/2014 1:20:00 AM,Round 6,Saltwater Reserve - SSF1 (U11),Point Cook FC,Yarra Jets FC (Girls U11 Wallabies),,,,
GSN1KKPSPCF20140615,Girls' Sunday North-West 11 Kangaroos/Wallabies,14/06/2014 11:00:00 PM,Round 7,Keilor Park Recreation Reserve - Pitch 3,Keilor Park SC,Point Cook FC,,,,
GSN1KKJGSGFBLG20140615,Girls' Sunday North-West 11 Kangaroos/Wallabies,15/06/2014 12:00:00 AM,Round 7,JJ Holland Park - SSF 2 (U11),Kensington Junior Girls SC Gold,FC Bulleen Lions Gold,,,,
GSN1KERFBUF20140615,Girls' Sunday North-West 11 Kangaroos/Wallabies,15/06/2014 1:20:00 AM,Round 7,Eltham North Reserve - Pitch 1 (S),Eltham Redbacks FC,Bundoora United FC,,,,
GSN1KSHFRYJF(UW20140615,Girls' Sunday North-West 11 Kangaroos/Wallabies,15/06/2014 1:20:00 AM,Round 7,Springside Recreational Reserve - Junior (S),Spring Hills FC Red,Yarra Jets FC (Girls U11 Wallabies),,,,
GSN1KWSCSFKJGSB20140615,Girls' Sunday North-West 11 Kangaroos/Wallabies,15/06/2014 2:30:00 AM,Round 7,Brookside Recreation Reserve - Pitch 2,Westside Strikers Caroline Springs FC,Kensington Junior Girls SC Blue,,,,
GSN1KBUFWSCSF20140622,Girls' Sunday North-West 11 Kangaroos/Wallabies,21/06/2014 11:00:00 PM,Round 8,Hillsview Recreation Reserve - Pitch 2,Bundoora United FC,Westside Strikers Caroline Springs FC,,,,
GSN1KKJGSBKJGSG20140622,Girls' Sunday North-West 11 Kangaroos/Wallabies,21/06/2014 11:00:00 PM,Round 8,JJ Holland Park - SSF 1 (U11),Kensington Junior Girls SC Blue,Kensington Junior Girls SC Gold,,,,
GSN1KFBLGKPS20140622,Girls' Sunday North-West 11 Kangaroos/Wallabies,21/06/2014 11:00:00 PM,Round 8,Veneto Club - David Barro Stadium (S),FC Bulleen Lions Gold,Keilor Park SC,,,,
GSN1KYJF(UWERF20140622,Girls' Sunday North-West 11 Kangaroos/Wallabies,22/06/2014 1:20:00 AM,Round 8,Knott Reserve,Yarra Jets FC (Girls U11 Wallabies),Eltham Redbacks FC,,,,
GSN1KSHFRPCF20140622,Girls' Sunday North-West 11 Kangaroos/Wallabies,22/06/2014 2:30:00 AM,Round 8,Springside Recreational Reserve - Junior (S),Spring Hills FC Red,Point Cook FC,,,,
GSN1KKPSKJGSB20140629,Girls' Sunday North-West 11 Kangaroos/Wallabies,28/06/2014 11:00:00 PM,Round 9,Keilor Park Recreation Reserve - Pitch 2,Keilor Park SC,Kensington Junior Girls SC Blue,,,,
GSN1KKJGSGBUF20140629,Girls' Sunday North-West 11 Kangaroos/Wallabies,29/06/2014 12:00:00 AM,Round 9,JJ Holland Park - SSF 2 (U11),Kensington Junior Girls SC Gold,Bundoora United FC,,,,
GSN1KERFSHFR20140629,Girls' Sunday North-West 11 Kangaroos/Wallabies,29/06/2014 12:10:00 AM,Round 9,Eltham North Reserve - Pitch 2,Eltham Redbacks FC,Spring Hills FC Red,,,,
GSN1KPCFFBLG20140629,Girls' Sunday North-West 11 Kangaroos/Wallabies,29/06/2014 2:30:00 AM,Round 9,Saltwater Reserve - SSF1 (U11),Point Cook FC,FC Bulleen Lions Gold,,,,
GSN1KWSCSFYJF(UW20140629,Girls' Sunday North-West 11 Kangaroos/Wallabies,29/06/2014 3:30:00 AM,Round 9,Brookside Recreation Reserve - Pitch 2,Westside Strikers Caroline Springs FC,Yarra Jets FC (Girls U11 Wallabies),,,,
GSN1KKPSBUF20140713,Girls' Sunday North-West 11 Kangaroos/Wallabies,12/07/2014 11:00:00 PM,Round 10,Keilor Park Recreation Reserve - Pitch 3,Keilor Park SC,Bundoora United FC,,,,
GSN1KFBLGKJGSB20140713,Girls' Sunday North-West 11 Kangaroos/Wallabies,12/07/2014 11:00:00 PM,Round 10,Veneto Club - Junior Grass Pitch,FC Bulleen Lions Gold,Kensington Junior Girls SC Blue,,,,
GSN1KKJGSGBZF20140713,Girls' Sunday North-West 11 Kangaroos/Wallabies,13/07/2014 12:00:00 AM,Round 10,JJ Holland Park - SSF 2 (U11),Kensington Junior Girls SC Gold,Brunswick Zebras FC,,,,
