Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
GSS1JCFSUFB20140427,Girls' Sunday South 11 Joeys,26/04/2014 11:00:00 PM,Round 1,Edithvale Recreation Reserve â€“ SSF,Chelsea FC,Skye United FC Blue,,,,
GSS1JLSBC20140427,Girls' Sunday South 11 Joeys,26/04/2014 11:00:00 PM,Round 1,Lawton Park Reserve - Junior,Langwarrin SC,Brighton City,,,,
GSS1JBULSB20140427,Girls' Sunday South 11 Joeys,27/04/2014 12:10:00 AM,Round 1,Dendy Park - SSF Y (U11),Brighton United,Langwarrin SC Blue,,,,
GSS1JBCSUFB20140504,Girls' Sunday South 11 Joeys,3/05/2014 11:00:00 PM,Round 2,Dendy Park - SSF Y (U11),Brighton City,Skye United FC Blue,,,,
GSS1JCFAS20140504,Girls' Sunday South 11 Joeys,3/05/2014 11:00:00 PM,Round 2,Edithvale Recreation Reserve - Pitch 2 (Junior),Chelsea FC,Aspendale SC,,,,
GSS1JLSBLS20140504,Girls' Sunday South 11 Joeys,4/05/2014 12:10:00 AM,Round 2,Lawton Park Reserve - Junior,Langwarrin SC Blue,Langwarrin SC,,,,
GSS1JLSBBC20140511,Girls' Sunday South 11 Joeys,10/05/2014 11:00:00 PM,Round 3,Lawton Park Reserve - Junior,Langwarrin SC Blue,Brighton City,,,,
GSS1JASSUFB20140511,Girls' Sunday South 11 Joeys,11/05/2014 12:00:00 AM,Round 3,Browns Reserve - SSF,Aspendale SC,Skye United FC Blue,,,,
GSS1JBUCF20140511,Girls' Sunday South 11 Joeys,11/05/2014 12:10:00 AM,Round 3,Dendy Park - SSF Z (U11),Brighton United,Chelsea FC,,,,
GSS1JBUBC20140518,Girls' Sunday South 11 Joeys,18/05/2014 12:10:00 AM,Catch-Up Round 1,Dendy Park - SSF Z (U11),Brighton United,Brighton City,,,,
GSS1JBCAS20140525,Girls' Sunday South 11 Joeys,24/05/2014 11:00:00 PM,Round 4,Dendy Park - SSF Z (U11),Brighton City,Aspendale SC,,,,
GSS1JCFLS20140525,Girls' Sunday South 11 Joeys,24/05/2014 11:00:00 PM,Round 4,Edithvale Recreation Reserve - Pitch 2 (Junior),Chelsea FC,Langwarrin SC,,,,
GSS1JSUFBBU20140525,Girls' Sunday South 11 Joeys,24/05/2014 11:00:00 PM,Round 4,Skye Recreational Reserve - Pitch 1,Skye United FC Blue,Brighton United,,,,
GSS1JLSSUFB20140601,Girls' Sunday South 11 Joeys,31/05/2014 11:00:00 PM,Round 5,Lawton Park Reserve - Pitch 2,Langwarrin SC,Skye United FC Blue,,,,
GSS1JLSBCF20140601,Girls' Sunday South 11 Joeys,31/05/2014 11:00:00 PM,Round 5,Lawton Park Reserve - Pitch 2,Langwarrin SC Blue,Chelsea FC,,,,
GSS1JBUAS20140601,Girls' Sunday South 11 Joeys,1/06/2014 12:10:00 AM,Round 5,Dendy Park - SSF Z (U11),Brighton United,Aspendale SC,,,,
