Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
GSS1JBSBGBD20140427,Girls' Sunday South-East 10 Joeys,26/04/2014 11:00:00 PM,Round 1,Dendy Park - SSF Y (U11),Brighton SC Blue Galaxy,Brighton Dragons,,,,
GSS1JCMCUF20140427,Girls' Sunday South-East 10 Joeys,26/04/2014 11:00:00 PM,Round 1,Edithvale Recreation Reserve - Pitch 3 (Junior),Chelsea Meerkats,Chisholm United FC,,,,
GSS1JBBFMUFC20140427,Girls' Sunday South-East 10 Joeys,27/04/2014 12:10:00 AM,Round 1,FORFEIT,Brighton Blue Foxes,Manningham United Football Club,,,,
GSS1JDCSPSJF20140427,Girls' Sunday South-East 10 Joeys,27/04/2014 1:30:00 AM,Round 1,Frank Holohan Soccer Complex - Pitch 2,Dandenong City SC,Peninsula Strikers Junior FC,,,,
GSS1JPSJFBBF20140504,Girls' Sunday South-East 10 Joeys,3/05/2014 11:00:00 PM,Round 2,Ballam Park - Pitch 2,Peninsula Strikers Junior FC,Brighton Blue Foxes,,,,
GSS1JBDCM20140504,Girls' Sunday South-East 10 Joeys,3/05/2014 11:00:00 PM,Round 2,Dendy Park - SSF Y (U11),Brighton Dragons,Chelsea Meerkats,,,,
GSS1JMUFCBSBG20140504,Girls' Sunday South-East 10 Joeys,3/05/2014 11:00:00 PM,Round 2,FORFEIT,Manningham United Football Club,Brighton SC Blue Galaxy,,,,
GSS1JCUFDCS20140504,Girls' Sunday South-East 10 Joeys,4/05/2014 12:00:00 AM,Round 2,Jack Edwards Reserve - Junior,Chisholm United FC,Dandenong City SC,,,,
GSS1JCMBSBG20140511,Girls' Sunday South-East 10 Joeys,10/05/2014 11:00:00 PM,Round 3,Edithvale Recreation Reserve - Pitch 3 (Junior),Chelsea Meerkats,Brighton SC Blue Galaxy,,,,
GSS1JPSJFMUFC20140511,Girls' Sunday South-East 10 Joeys,10/05/2014 11:00:00 PM,Round 3,FORFEIT,Peninsula Strikers Junior FC,Manningham United Football Club,,,,
GSS1JDCSBD20140511,Girls' Sunday South-East 10 Joeys,10/05/2014 11:00:00 PM,Round 3,Frank Holohan Soccer Complex - Pitch 2,Dandenong City SC,Brighton Dragons,,,,
GSS1JBBFCUF20140511,Girls' Sunday South-East 10 Joeys,11/05/2014 12:10:00 AM,Round 3,Dendy Park - SSF Y (U11),Brighton Blue Foxes,Chisholm United FC,,,,
GSS1JBSBGDCS20140525,Girls' Sunday South-East 10 Joeys,24/05/2014 11:00:00 PM,Round 4,Dendy Park - SSF Y (U11),Brighton SC Blue Galaxy,Dandenong City SC,,,,
GSS1JMUFCCM20140525,Girls' Sunday South-East 10 Joeys,24/05/2014 11:00:00 PM,Round 4,Wilson Rd Reserve - Pitch 1,Manningham United Football Club,Chelsea Meerkats,,,,
GSS1JCUFPSJF20140525,Girls' Sunday South-East 10 Joeys,25/05/2014 12:00:00 AM,Round 4,Jack Edwards Reserve - Junior,Chisholm United FC,Peninsula Strikers Junior FC,,,,
GSS1JBDBBF20140525,Girls' Sunday South-East 10 Joeys,25/05/2014 1:20:00 AM,Round 4,Dendy Park - SSF Y (U11),Brighton Dragons,Brighton Blue Foxes,,,,
GSS1JPSJFBD20140601,Girls' Sunday South-East 10 Joeys,31/05/2014 11:00:00 PM,Round 5,Ballam Park - Pitch 2,Peninsula Strikers Junior FC,Brighton Dragons,,,,
