Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
GSS1KHJSVAUSG20140427,Girls' Sunday South-East 11 Kangaroos/Wallabies,26/04/2014 11:00:00 PM,Round 1,WL Simpson Reserve - Pitch 1,Hampton Junior SC Vixens,Ashburton United SC Green,,,,
GSS1KBEFG1KPSMWF20140427,Girls' Sunday South-East 11 Kangaroos/Wallabies,27/04/2014 1:15:00 AM,Round 1,Macleay Park - Pitch 1 North,Boroondara Eagles FC Girls 11 Kan/Wall Purple,South Melbourne Womens FC,,,,
GSS1KAUSYSS20140427,Girls' Sunday South-East 11 Kangaroos/Wallabies,27/04/2014 1:15:00 AM,Round 1,Warner Reserve - SSF 5 (U11) Ashburton,Ashburton United SC Yellow,Sandringham SC,,,,
GSS1KBEFG1KGBEFG1KP20140504,Girls' Sunday South-East 11 Kangaroos/Wallabies,3/05/2014 11:00:00 PM,Round 2,Macleay Park - Pitch 1 North,Boroondara Eagles FC Girls 11 Kan/Wall Gold,Boroondara Eagles FC Girls 11 Kan/Wall Purple,,,,
GSS1KAUSYSMWF20140504,Girls' Sunday South-East 11 Kangaroos/Wallabies,4/05/2014 12:00:00 AM,Round 2,Batesford Reserve - Junior,Ashburton United SC Yellow,South Melbourne Womens FC,,,,
GSS1KSSHJSV20140504,Girls' Sunday South-East 11 Kangaroos/Wallabies,4/05/2014 12:10:00 AM,Round 2,Sandringham Secondary College - SSF 1 (U11),Sandringham SC,Hampton Junior SC Vixens,,,,
GSS1KAUSYBEFG1KG20140511,Girls' Sunday South-East 11 Kangaroos/Wallabies,11/05/2014 12:00:00 AM,Round 3,Batesford Reserve - Junior,Ashburton United SC Yellow,Boroondara Eagles FC Girls 11 Kan/Wall Gold,,,,
GSS1KSSSMWF20140511,Girls' Sunday South-East 11 Kangaroos/Wallabies,11/05/2014 12:10:00 AM,Round 3,Sandringham Secondary College - SSF 1 (U11),Sandringham SC,South Melbourne Womens FC,,,,
GSS1KBEFG1KPAUSG20140511,Girls' Sunday South-East 11 Kangaroos/Wallabies,11/05/2014 1:15:00 AM,Round 3,Macleay Park - Pitch 1 North,Boroondara Eagles FC Girls 11 Kan/Wall Purple,Ashburton United SC Green,,,,
GSS1KHJSVBEFG1KP20140525,Girls' Sunday South-East 11 Kangaroos/Wallabies,24/05/2014 11:00:00 PM,Round 4,WL Simpson Reserve - Pitch 1,Hampton Junior SC Vixens,Boroondara Eagles FC Girls 11 Kan/Wall Purple,,,,
GSS1KAUSGAUSY20140525,Girls' Sunday South-East 11 Kangaroos/Wallabies,24/05/2014 11:00:00 PM,Round 4,Warner Reserve - SSF 4 (U11) Ashburton,Ashburton United SC Green,Ashburton United SC Yellow,,,,
GSS1KBEFG1KGSMWF20140525,Girls' Sunday South-East 11 Kangaroos/Wallabies,25/05/2014 12:00:00 AM,Round 4,Macleay Park - Pitch 2,Boroondara Eagles FC Girls 11 Kan/Wall Gold,South Melbourne Womens FC,,,,
GSS1KAUSYHJSV20140601,Girls' Sunday South-East 11 Kangaroos/Wallabies,1/06/2014 12:00:00 AM,Round 5,FORFEIT,Ashburton United SC Yellow,Hampton Junior SC Vixens,,,,
GSS1KSMWFAUSG20140601,Girls' Sunday South-East 11 Kangaroos/Wallabies,1/06/2014 12:00:00 AM,Round 5,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Ashburton United SC Green,,,,
GSS1KBEFG1KGSS20140601,Girls' Sunday South-East 11 Kangaroos/Wallabies,1/06/2014 12:00:00 AM,Round 5,Macleay Park - Pitch 2,Boroondara Eagles FC Girls 11 Kan/Wall Gold,Sandringham SC,,,,
GSS1KHJSVSMWF20140608,Girls' Sunday South-East 11 Kangaroos/Wallabies,7/06/2014 11:00:00 PM,Round 6,WL Simpson Reserve - Pitch 1,Hampton Junior SC Vixens,South Melbourne Womens FC,,,,
GSS1KAUSGBEFG1KG20140608,Girls' Sunday South-East 11 Kangaroos/Wallabies,8/06/2014 12:00:00 AM,Round 6,Batesford Reserve - Junior,Ashburton United SC Green,Boroondara Eagles FC Girls 11 Kan/Wall Gold,,,,
GSS1KBEFG1KPSS20140608,Girls' Sunday South-East 11 Kangaroos/Wallabies,8/06/2014 1:15:00 AM,Round 6,Macleay Park - SSF 7 (U9),Boroondara Eagles FC Girls 11 Kan/Wall Purple,Sandringham SC,,,,
GSS1KAUSYBEFG1KP20140615,Girls' Sunday South-East 11 Kangaroos/Wallabies,14/06/2014 11:00:00 PM,Round 7,Batesford Reserve - Junior,Ashburton United SC Yellow,Boroondara Eagles FC Girls 11 Kan/Wall Purple,,,,
GSS1KBEFG1KGHJSV20140615,Girls' Sunday South-East 11 Kangaroos/Wallabies,15/06/2014 12:00:00 AM,Round 7,Macleay Park - Pitch 2,Boroondara Eagles FC Girls 11 Kan/Wall Gold,Hampton Junior SC Vixens,,,,
GSS1KSSAUSG20140615,Girls' Sunday South-East 11 Kangaroos/Wallabies,15/06/2014 12:10:00 AM,Round 7,Sandringham Secondary College - SSF 1 (U11),Sandringham SC,Ashburton United SC Green,,,,
GSS1KAUSGHJSV20140622,Girls' Sunday South-East 11 Kangaroos/Wallabies,21/06/2014 11:00:00 PM,Round 8,Willison Park - SSF 2 (U11),Ashburton United SC Green,Hampton Junior SC Vixens,,,,
GSS1KSMWFBEFG1KP20140622,Girls' Sunday South-East 11 Kangaroos/Wallabies,22/06/2014 12:00:00 AM,Round 8,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Boroondara Eagles FC Girls 11 Kan/Wall Purple,,,,
GSS1KSSAUSY20140622,Girls' Sunday South-East 11 Kangaroos/Wallabies,22/06/2014 12:10:00 AM,Round 8,Sandringham Secondary College - SSF 1 (U11),Sandringham SC,Ashburton United SC Yellow,,,,
GSS1KHJSVSS20140629,Girls' Sunday South-East 11 Kangaroos/Wallabies,28/06/2014 11:00:00 PM,Round 9,WL Simpson Reserve - Pitch 1,Hampton Junior SC Vixens,Sandringham SC,,,,
GSS1KSMWFAUSY20140629,Girls' Sunday South-East 11 Kangaroos/Wallabies,29/06/2014 12:00:00 AM,Round 9,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Ashburton United SC Yellow,,,,
GSS1KBEFG1KPBEFG1KG20140629,Girls' Sunday South-East 11 Kangaroos/Wallabies,29/06/2014 1:15:00 AM,Round 9,Macleay Park - SSF 7 (U9),Boroondara Eagles FC Girls 11 Kan/Wall Purple,Boroondara Eagles FC Girls 11 Kan/Wall Gold,,,,
GSS1KAUSGBEFG1KP20140713,Girls' Sunday South-East 11 Kangaroos/Wallabies,13/07/2014 12:00:00 AM,Round 10,Batesford Reserve - Junior,Ashburton United SC Green,Boroondara Eagles FC Girls 11 Kan/Wall Purple,,,,
GSS1KSMWFSS20140713,Girls' Sunday South-East 11 Kangaroos/Wallabies,13/07/2014 12:00:00 AM,Round 10,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Sandringham SC,,,,
GSS1KBEFG1KGAUSY20140713,Girls' Sunday South-East 11 Kangaroos/Wallabies,13/07/2014 12:00:00 AM,Round 10,Macleay Park - SSF 7 (U9),Boroondara Eagles FC Girls 11 Kan/Wall Gold,Ashburton United SC Yellow,,,,
GSS1KAUSYAUSG20140720,Girls' Sunday South-East 11 Kangaroos/Wallabies,20/07/2014 12:00:00 AM,Round 11,Batesford Reserve - Junior,Ashburton United SC Yellow,Ashburton United SC Green,,,,
GSS1KSMWFBEFG1KG20140720,Girls' Sunday South-East 11 Kangaroos/Wallabies,20/07/2014 12:00:00 AM,Round 11,Henry Scott Oval 13 - SSF,South Melbourne Womens FC,Boroondara Eagles FC Girls 11 Kan/Wall Gold,,,,
GSS1KBEFG1KPHJSV20140720,Girls' Sunday South-East 11 Kangaroos/Wallabies,20/07/2014 1:15:00 AM,Round 11,Macleay Park - Pitch 2,Boroondara Eagles FC Girls 11 Kan/Wall Purple,Hampton Junior SC Vixens,,,,
GSS1KHJSVAUSY20140727,Girls' Sunday South-East 11 Kangaroos/Wallabies,26/07/2014 11:00:00 PM,Round 12,WL Simpson Reserve - Pitch 1,Hampton Junior SC Vixens,Ashburton United SC Yellow,,,,
GSS1KSSBEFG1KG20140727,Girls' Sunday South-East 11 Kangaroos/Wallabies,27/07/2014 12:10:00 AM,Round 12,Sandringham Secondary College - SSF 1 (U11),Sandringham SC,Boroondara Eagles FC Girls 11 Kan/Wall Gold,,,,
GSS1KAUSGSMWF20140727,Girls' Sunday South-East 11 Kangaroos/Wallabies,27/07/2014 1:00:00 AM,Round 12,Batesford Reserve - Junior,Ashburton United SC Green,South Melbourne Womens FC,,,,
