Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
MMMSRCFCUF20140425,Men's Metropolitan Masters South-East,25/04/2014 9:00:00 AM,Round 1,Jubilee Park (S),Ringwood City FC,Clarinda United FC,4,2,,
MMMSWSDSBS20140427,Men's Metropolitan Masters South-East,27/04/2014 4:00:00 AM,Round 1,Greaves Reserve (Alan Carter Pavilion) - Pitch 1,White Star Dandenong SC,Beaumaris SC,2,2,,
MMMSCUCSBAF20140427,Men's Metropolitan Masters South-East,27/04/2014 5:15:00 AM,Round 1,Lemnos Club,Caulfield United Cobras SC,Bayside Argonauts FC,1,3,,
MMMSCUFJOBS20140427,Men's Metropolitan Masters South-East,27/04/2014 9:30:00 AM,Round 1,Jack Edwards Reserve,Chisholm United FC,Juventus Old Boys SC,2,7,,
MMMSWVFMCS20140428,Men's Metropolitan Masters South-East,28/04/2014 9:30:00 AM,Round 1,Brandon Park Reserve - Pitch 1,Waverley Victory FC,Monash City SC,1,0,,
MMMSCUFCCASOB20140502,Men's Metropolitan Masters South-East,2/05/2014 9:00:00 AM,Round 2,The Grange Reserve,Clarinda United FC,Croydon City Arrows SC Old Boys,9,1,,
MMMSJOBSWVF20140504,Men's Metropolitan Masters South-East,4/05/2014 3:00:00 AM,Round 2,Park Avenue Reserve,Juventus Old Boys SC,Waverley Victory FC,3,3,,
MMMSBAFRCF20140504,Men's Metropolitan Masters South-East,4/05/2014 5:00:00 AM,Round 2,Shipston Reserve - Pitch 1,Bayside Argonauts FC,Ringwood City FC,3,5,,
MMMSBSCUCS20140504,Men's Metropolitan Masters South-East,4/05/2014 5:15:00 AM,Round 2,Beaumaris Reserve - Pitch 1,Beaumaris SC,Caulfield United Cobras SC,2,2,,
MMMSMCSWSDS20140504,Men's Metropolitan Masters South-East,4/05/2014 5:15:00 AM,Round 2,Caloola Reserve,Monash City SC,White Star Dandenong SC,2,3,,
MMMSJOBSMCS20140511,Men's Metropolitan Masters South-East,11/05/2014 3:00:00 AM,Round 3,Park Avenue Reserve,Juventus Old Boys SC,Monash City SC,3,5,,
MMMSCUCSWSDS20140511,Men's Metropolitan Masters South-East,11/05/2014 5:15:00 AM,Round 3,Lemnos Club,Caulfield United Cobras SC,White Star Dandenong SC,6,0,,
MMMSCUFCUF20140511,Men's Metropolitan Masters South-East,11/05/2014 10:30:00 AM,Round 3,Jack Edwards Reserve,Chisholm United FC,Clarinda United FC,0,12,,
MMMSCCASOBBAF20140518,Men's Metropolitan Masters South-East,18/05/2014 4:00:00 AM,Catch-Up Round 1,Silcock Reserve ,Croydon City Arrows SC Old Boys,Bayside Argonauts FC,1,3,,
MMMSCUFWVF20140523,Men's Metropolitan Masters South-East,23/05/2014 9:00:00 AM,Round 4,The Grange Reserve,Clarinda United FC,Waverley Victory FC,1,2,,
MMMSWSDSRCF20140525,Men's Metropolitan Masters South-East,25/05/2014 4:00:00 AM,Round 4,Greaves Reserve (Alan Carter Pavilion) - Pitch 1,White Star Dandenong SC,Ringwood City FC,2,6,,
MMMSBAFCUF20140525,Men's Metropolitan Masters South-East,25/05/2014 5:00:00 AM,Round 4,Shipston Reserve - Pitch 1,Bayside Argonauts FC,Chisholm United FC,7,2,,
MMMSBSCCASOB20140525,Men's Metropolitan Masters South-East,25/05/2014 5:15:00 AM,Round 4,Beaumaris Reserve - Pitch 1,Beaumaris SC,Croydon City Arrows SC Old Boys,7,3,,
MMMSMCSCUCS20140525,Men's Metropolitan Masters South-East,25/05/2014 5:15:00 AM,Round 4,Caloola Reserve,Monash City SC,Caulfield United Cobras SC,4,3,,
MMMSRCFCUCS20140531,Men's Metropolitan Masters South-East,31/05/2014 3:00:00 AM,Round 5,Jubilee Park (S),Ringwood City FC,Caulfield United Cobras SC,6,2,,
MMMSJOBSCUF20140601,Men's Metropolitan Masters South-East,1/06/2014 3:00:00 AM,Round 5,Park Avenue Reserve,Juventus Old Boys SC,Clarinda United FC,4,7,,
MMMSCCASOBWSDS20140601,Men's Metropolitan Masters South-East,1/06/2014 4:00:00 AM,Round 5,Silcock Reserve ,Croydon City Arrows SC Old Boys,White Star Dandenong SC,8,0,,
MMMSCUFBS20140601,Men's Metropolitan Masters South-East,1/06/2014 10:30:00 AM,Round 5,Jack Edwards Reserve,Chisholm United FC,Beaumaris SC,2,4,,
MMMSWVFBAF20140602,Men's Metropolitan Masters South-East,2/06/2014 9:30:00 AM,Round 5,Brandon Park Reserve - Pitch 1,Waverley Victory FC,Bayside Argonauts FC,4,1,,
MMMSWSDSCUF20140608,Men's Metropolitan Masters South-East,8/06/2014 4:00:00 AM,Round 6,Greaves Reserve (Alan Carter Pavilion) - Pitch 1,White Star Dandenong SC,Chisholm United FC,2,6,,
MMMSBAFJOBS20140608,Men's Metropolitan Masters South-East,8/06/2014 5:00:00 AM,Round 6,Shipston Reserve - Pitch 1,Bayside Argonauts FC,Juventus Old Boys SC,1,3,,
MMMSBSWVF20140608,Men's Metropolitan Masters South-East,8/06/2014 5:15:00 AM,Round 6,Beaumaris Reserve - Pitch 1,Beaumaris SC,Waverley Victory FC,2,3,,
MMMSMCSRCF20140608,Men's Metropolitan Masters South-East,8/06/2014 5:15:00 AM,Round 6,Caloola Reserve,Monash City SC,Ringwood City FC,3,2,,
MMMSCUCSCCASOB20140608,Men's Metropolitan Masters South-East,8/06/2014 5:15:00 AM,Round 6,Lemnos Club,Caulfield United Cobras SC,Croydon City Arrows SC Old Boys,6,3,,
MMMSCUFMCS20140613,Men's Metropolitan Masters South-East,13/06/2014 9:00:00 AM,Round 7,The Grange Reserve,Clarinda United FC,Monash City SC,3,0,,
MMMSJOBSBS20140615,Men's Metropolitan Masters South-East,15/06/2014 3:00:00 AM,Round 7,Park Avenue Reserve,Juventus Old Boys SC,Beaumaris SC,6,6,,
MMMSCUFCUCS20140615,Men's Metropolitan Masters South-East,15/06/2014 9:00:00 AM,Round 7,Jack Edwards Reserve,Chisholm United FC,Caulfield United Cobras SC,1,5,,
MMMSRCFCUF20140621,Men's Metropolitan Masters South-East,21/06/2014 3:00:00 AM,Round 8,FORFEIT,Ringwood City FC,Chisholm United FC,3,0,,
MMMSWSDSJOBS20140622,Men's Metropolitan Masters South-East,22/06/2014 4:00:00 AM,Round 8,Greaves Reserve (Alan Carter Pavilion) - Pitch 1,White Star Dandenong SC,Juventus Old Boys SC,2,5,,
MMMSMCSCCASOB20140622,Men's Metropolitan Masters South-East,22/06/2014 5:15:00 AM,Round 8,Caloola Reserve,Monash City SC,Croydon City Arrows SC Old Boys,6,2,,
MMMSCUCSWVF20140622,Men's Metropolitan Masters South-East,22/06/2014 5:15:00 AM,Round 8,Lemnos Club,Caulfield United Cobras SC,Waverley Victory FC,0,3,,
MMMSBAFCUF20140622,Men's Metropolitan Masters South-East,22/06/2014 5:15:00 AM,Round 8,Shipston Reserve - Pitch 1,Bayside Argonauts FC,Clarinda United FC,1,3,,
MMMSCUFBS20140627,Men's Metropolitan Masters South-East,27/06/2014 9:00:00 AM,Round 9,The Grange Reserve,Clarinda United FC,Beaumaris SC,6,2,,
MMMSJOBSCUCS20140629,Men's Metropolitan Masters South-East,29/06/2014 3:00:00 AM,Round 9,Park Avenue Reserve,Juventus Old Boys SC,Caulfield United Cobras SC,2,2,,
