Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
MSL1NWFFBF20140328,Men's State League 1 North-West,28/03/2014 9:30:00 AM,Round 1,Ardeer Reserve,Westgate FC,Fawkner Blues FC,0,4,,
MSL1NKPSMCS20140329,Men's State League 1 North-West,29/03/2014 4:00:00 AM,Round 1,Keilor Park Recreation Reserve - Pitch 1,Keilor Park SC ,Moreland City SC,1,3,,
MSL1NSUFCF20140329,Men's State League 1 North-West,29/03/2014 4:00:00 AM,Round 1,Langama Park - Pitch 1,Sunbury United FC,Cairnlea FC,2,2,,
MSL1NAMSFCS20140329,Men's State League 1 North-West,29/03/2014 8:30:00 AM,Round 1,Paisley Park - Pitch 1,Altona Magic SC,Fitzroy City SC,1,0,,
MSL1NPLFSPS20140330,Men's State League 1 North-West,30/03/2014 4:00:00 AM,Round 1,B.T. Connor Reserve - Pitch 1,Preston Lions FC,Sydenham Park SC-Seniors,1,1,,
MSL1NWSSAEPS20140330,Men's State League 1 North-West,30/03/2014 4:00:00 AM,Round 1,Ralph Reserve,Western Suburbs SC,Altona East Phoenix SC,0,1,,
MSL1NCFWF20140405,Men's State League 1 North-West,5/04/2014 4:00:00 AM,Round 2,Cairnlea Park - Pitch 1,Cairnlea FC,Westgate FC,3,1,,
MSL1NFCSSUF20140405,Men's State League 1 North-West,5/04/2014 4:00:00 AM,Round 2,Fairfield Park - Senior,Fitzroy City SC,Sunbury United FC,1,3,,
MSL1NSPSWSS20140405,Men's State League 1 North-West,5/04/2014 4:00:00 AM,Round 2,Keilor Lodge Reserve - Pitch 1,Sydenham Park SC-Seniors,Western Suburbs SC,2,2,,
MSL1NKPSAMS20140405,Men's State League 1 North-West,5/04/2014 4:00:00 AM,Round 2,Keilor Park Recreation Reserve - Pitch 1,Keilor Park SC ,Altona Magic SC,4,2,,
MSL1NAEPSMCS20140405,Men's State League 1 North-West,5/04/2014 4:00:00 AM,Round 2,Paisley Park - Pitch 2,Altona East Phoenix SC,Moreland City SC,1,0,,
