Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
MSL1SCCFDRS20140328,Men's State League 1 South-East,28/03/2014 9:30:00 AM,Round 1,Comets Stadium - Pitch 1,Casey Comets FC,Doncaster Rovers SC,2,0,,
MSL1SMSSSF20140329,Men's State League 1 South-East,29/03/2014 4:00:00 AM,Round 1,Dallas Brooks Park - Pitch 1,Mornington SC,Southern Stars FC,5,0,,
MSL1SELSSSS20140329,Men's State League 1 South-East,29/03/2014 4:00:00 AM,Round 1,Gardiners Creek Reserve - Pitch 1,Eastern Lions SC,South Springvale SC,3,2,,
MSL1SLSDVUS20140329,Men's State League 1 South-East,29/03/2014 4:00:00 AM,Round 1,Lawton Park Reserve - Pitch 1,Langwarrin SC,Diamond Valley United SC ,3,0,,
MSL1SFCHMCF20140329,Men's State League 1 South-East,29/03/2014 4:00:00 AM,Round 1,Quarries Park,FC Clifton Hill,Malvern City FC,3,3,,
MSL1SMPSNPUF20140329,Men's State League 1 South-East,29/03/2014 4:00:00 AM,Round 1,Ronald Reserve,Morwell Pegasus SC,Noble Park United FC,3,2,,
MSL1SDRSMS20140405,Men's State League 1 South-East,5/04/2014 4:00:00 AM,Round 2,Anderson Park,Doncaster Rovers SC,Mornington SC,0,6,,
MSL1SSSFMPS20140405,Men's State League 1 South-East,5/04/2014 4:00:00 AM,Round 2,Kingston Heath Soccer Complex - Pitch 1,Southern Stars FC,Morwell Pegasus SC,1,4,,
MSL1SNPUFLS20140405,Men's State League 1 South-East,5/04/2014 4:00:00 AM,Round 2,Parkfield Reserve,Noble Park United FC,Langwarrin SC,3,2,,
MSL1SDVUSMCF20140405,Men's State League 1 South-East,5/04/2014 4:00:00 AM,Round 2,Partingtons Flat,Diamond Valley United SC ,Malvern City FC,4,5,,
MSL1SFCHELS20140405,Men's State League 1 South-East,5/04/2014 4:00:00 AM,Round 2,Quarries Park,FC Clifton Hill,Eastern Lions SC,1,2,,
MSL1SSSSCCF20140405,Men's State League 1 South-East,5/04/2014 4:00:00 AM,Round 2,Warner Reserve - Springvale Pitch 1,South Springvale SC,Casey Comets FC,1,1,,
MSL1SCCFFCH20140412,Men's State League 1 South-East,12/04/2014 5:00:00 AM,Round 3,Comets Stadium - Pitch 1,Casey Comets FC,FC Clifton Hill,0,2,,
MSL1SLSSSF20140412,Men's State League 1 South-East,12/04/2014 5:00:00 AM,Round 3,Lawton Park Reserve - Pitch 1,Langwarrin SC,Southern Stars FC,3,0,,
MSL1SNPUFMCF20140412,Men's State League 1 South-East,12/04/2014 5:00:00 AM,Round 3,Parkfield Reserve,Noble Park United FC,Malvern City FC,2,0,,
MSL1SDVUSELS20140412,Men's State League 1 South-East,12/04/2014 5:00:00 AM,Round 3,Partingtons Flat,Diamond Valley United SC ,Eastern Lions SC,2,3,,
MSL1SMPSMS20140412,Men's State League 1 South-East,12/04/2014 5:00:00 AM,Round 3,Ronald Reserve,Morwell Pegasus SC,Mornington SC,2,5,,
MSL1SSSSDRS20140412,Men's State League 1 South-East,12/04/2014 5:00:00 AM,Round 3,Warner Reserve - Springvale Pitch 1,South Springvale SC,Doncaster Rovers SC,0,0,,
MSL1SDRSMPS20140426,Men's State League 1 South-East,26/04/2014 5:00:00 AM,Round 4,Anderson Park,Doncaster Rovers SC,Morwell Pegasus SC,2,2,,
