Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
MSL2NRGSCS20140328,Men's State League 2 North-West Reserves,28/03/2014 7:30:00 AM,Round 1,Stead Park - Pitch 1,Geelong SC,Corio SC,0,0,,
MSL2NRBCSHUF20140329,Men's State League 2 North-West Reserves,29/03/2014 2:00:00 AM,Round 1,Banyule Flats Reserve - Pitch 1,Banyule City SC,Hume United FC,0,0,,
MSL2NRLTUSMUS20140329,Men's State League 2 North-West Reserves,29/03/2014 2:00:00 AM,Round 1,Latrobe Uni Lower Playing Field - Pitch 1,La Trobe University SC,Melbourne University SC,0,2,,
MSL2NRYFRSWF20140329,Men's State League 2 North-West Reserves,29/03/2014 2:00:00 AM,Round 1,McIvor Reserve - Pitch 1,Yarraville FC Reserves,Sporting Whittlesea FC,3,0,,
MSL2NRWSHSS20140329,Men's State League 2 North-West Reserves,29/03/2014 2:00:00 AM,Round 1,McKechnie Reserve - Pitch 1,Westvale SC,Heidelberg Stars SC,5,0,,
MSL2NRMUSNSES20140329,Men's State League 2 North-West Reserves,29/03/2014 2:00:00 AM,Round 1,Moomba Park,Moreland United SC,North Sunshine Eagles SC,1,2,,
MSL2NRCSYFR20140405,Men's State League 2 North-West Reserves,5/04/2014 2:00:00 AM,Round 2,Hume Reserve - Pitch 1,Corio SC,Yarraville FC Reserves,1,2,,
MSL2NRNSESBCS20140405,Men's State League 2 North-West Reserves,5/04/2014 2:00:00 AM,Round 2,Larissa Reserve,North Sunshine Eagles SC,Banyule City SC,1,6,,
MSL2NRHUFLTUS20140405,Men's State League 2 North-West Reserves,5/04/2014 2:00:00 AM,Round 2,Laura Douglas Reserve - Pitch 1,Hume United FC,La Trobe University SC,2,1,,
MSL2NRWSMUS20140405,Men's State League 2 North-West Reserves,5/04/2014 2:00:00 AM,Round 2,McKechnie Reserve - Pitch 1,Westvale SC,Melbourne University SC,2,3,,
MSL2NRSWFMUS20140405,Men's State League 2 North-West Reserves,5/04/2014 2:00:00 AM,Round 2,RGC Cook Reserve - Pitch 1,Sporting Whittlesea FC,Moreland United SC,0,2,,
MSL2NRGSHSS20140405,Men's State League 2 North-West Reserves,5/04/2014 2:00:00 AM,Round 2,Stead Park - Pitch 1,Geelong SC,Heidelberg Stars SC,2,3,,
MSL2NRBCSSWF20140412,Men's State League 2 North-West Reserves,12/04/2014 3:00:00 AM,Round 3,Banyule Flats Reserve - Pitch 1,Banyule City SC,Sporting Whittlesea FC,3,1,,
MSL2NRYFRHSS20140412,Men's State League 2 North-West Reserves,12/04/2014 3:00:00 AM,Round 3,McIvor Reserve - Pitch 1,Yarraville FC Reserves,Heidelberg Stars SC,0,1,,
MSL2NRWSLTUS20140412,Men's State League 2 North-West Reserves,12/04/2014 3:00:00 AM,Round 3,McKechnie Reserve - Pitch 1,Westvale SC,La Trobe University SC,5,0,,
MSL2NRMUSCS20140412,Men's State League 2 North-West Reserves,12/04/2014 3:00:00 AM,Round 3,Moomba Park,Moreland United SC,Corio SC,0,1,,
MSL2NRGSMUS20140412,Men's State League 2 North-West Reserves,12/04/2014 3:00:00 AM,Round 3,Stead Park - Pitch 1,Geelong SC,Melbourne University SC,2,4,,
MSL2NRCSBCS20140426,Men's State League 2 North-West Reserves,26/04/2014 3:00:00 AM,Round 4,Hume Reserve - Pitch 1,Corio SC,Banyule City SC,3,1,,
