Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SBW1PCFCFW20140427,Sportsmart Boys' West 16A,27/04/2014 2:30:00 AM,Round 1,Saltwater Reserve - Pitch 1,Point Cook FC,Cairnlea FC White,0,5,,
SBW1SHFPACSY20140427,Sportsmart Boys' West 16A,27/04/2014 5:15:00 AM,Round 1,FORFEIT,Spring Hills FC Purple,Altona City SC Yellow,3,0,,
SBW1HCSLPS20140427,Sportsmart Boys' West 16A,27/04/2014 5:15:00 AM,Round 1,Grange Reserve - Pitch 1 ,Hoppers Crossing SC,Laverton Park SC,4,5,,
SBW1SPSKPSB(20140427,Sportsmart Boys' West 16A,27/04/2014 5:15:00 AM,Round 1,Keilor Lodge Reserve - Junior,Sydenham Park SC ,Keilor Park SC Blue (Eagles),0,2,,
SBW1ACSMSHF20140427,Sportsmart Boys' West 16A,27/04/2014 5:15:00 AM,Round 1,Kim Reserve - Pitch 1,Altona City SC Maroon,Spring Hills FC,1,0,,
SBW1CFWSPS20140504,Sportsmart Boys' West 16A,4/05/2014 3:30:00 AM,Round 2,Cairnlea Park - Pitch 1,Cairnlea FC White,Sydenham Park SC ,4,2,,
SBW1ACSYACSM20140504,Sportsmart Boys' West 16A,4/05/2014 5:15:00 AM,Round 2,FORFEIT,Altona City SC Yellow,Altona City SC Maroon,0,3,,
SBW1KPSB(HCS20140504,Sportsmart Boys' West 16A,4/05/2014 5:15:00 AM,Round 2,Keilor Park Recreation Reserve - Pitch 4 (S),Keilor Park SC Blue (Eagles),Hoppers Crossing SC,5,2,,
SBW1LPSSHFP20140504,Sportsmart Boys' West 16A,4/05/2014 5:15:00 AM,Round 2,Laverton Park Reserve - Pitch 1,Laverton Park SC,Spring Hills FC Purple,4,3,,
SBW1SHFPCF20140504,Sportsmart Boys' West 16A,4/05/2014 5:30:00 AM,Round 2,Springside Recreational Reserve (S),Spring Hills FC,Point Cook FC,3,0,,
SBW1ACSMLPS20140509,Sportsmart Boys' West 16A,9/05/2014 8:30:00 AM,Round 3,Kim Reserve - Pitch 1,Altona City SC Maroon,Laverton Park SC,6,4,,
SBW1HCSCFW20140511,Sportsmart Boys' West 16A,11/05/2014 3:45:00 AM,Round 3,Grange Reserve - Pitch 1 ,Hoppers Crossing SC,Cairnlea FC White,0,2,,
SBW1ACSYSHF20140511,Sportsmart Boys' West 16A,11/05/2014 5:15:00 AM,Round 3,FORFEIT,Altona City SC Yellow,Spring Hills FC,0,3,,
SBW1SPSPCF20140511,Sportsmart Boys' West 16A,11/05/2014 5:15:00 AM,Round 3,Keilor Lodge Reserve - Junior,Sydenham Park SC ,Point Cook FC,5,2,,
SBW1SHFPKPSB(20140511,Sportsmart Boys' West 16A,11/05/2014 5:15:00 AM,Round 3,Springside Recreational Reserve (S),Spring Hills FC Purple,Keilor Park SC Blue (Eagles),0,7,,
