Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SBW1TSSUJS20140427,Sportsmart Boys' West 16B,27/04/2014 1:20:00 AM,Round 1,Arndell Park Reserve - Pitch 1,Truganina SC,Sunbury United Junior SC,3,0,,
SBW1SPSPCF20140427,Sportsmart Boys' West 16B,27/04/2014 3:30:00 AM,Round 1,Keilor Lodge Reserve - Junior,Sydenham Park SC ,Point Cook FC ,3,0,,
SBW1SUJSYFU20140504,Sportsmart Boys' West 16B,4/05/2014 2:45:00 AM,Round 2,Langama Park - Pitch 3,Sunbury United Junior SC,Yarraville FC U16B,1,3,,
SBW1PCFTS20140504,Sportsmart Boys' West 16B,4/05/2014 3:00:00 AM,Round 2,Saltwater Reserve - Pitch 1,Point Cook FC ,Truganina SC,1,1,,
SBW1GSCSPS20140504,Sportsmart Boys' West 16B,4/05/2014 5:15:00 AM,Round 2,Dixon Field Reserve - Junior,Gisborne Soccer Club,Sydenham Park SC ,0,11,,
SBW1SPSCFR20140511,Sportsmart Boys' West 16B,11/05/2014 3:30:00 AM,Round 3,Keilor Lodge Reserve - Junior,Sydenham Park SC ,Cairnlea FC Red,0,3,,
SBW1YFUTS20140511,Sportsmart Boys' West 16B,11/05/2014 3:45:00 AM,Round 3,McIvor Reserve - Pitch 1,Yarraville FC U16B,Truganina SC,5,1,,
SBW1GSCPCF20140511,Sportsmart Boys' West 16B,11/05/2014 5:15:00 AM,Round 3,Dixon Field Reserve - Junior,Gisborne Soccer Club,Point Cook FC ,1,3,,
SBW1SUJSSPS20140525,Sportsmart Boys' West 16B,25/05/2014 2:45:00 AM,Round 4,Langama Park - Pitch 3,Sunbury United Junior SC,Sydenham Park SC ,2,4,,
SBW1CFRGSC20140525,Sportsmart Boys' West 16B,25/05/2014 5:15:00 AM,Round 4,Cairnlea Park - Pitch 1,Cairnlea FC Red,Gisborne Soccer Club,13,0,,
SBW1PCFYFU20140525,Sportsmart Boys' West 16B,25/05/2014 5:15:00 AM,Round 4,Saltwater Reserve - Pitch 2,Point Cook FC ,Yarraville FC U16B,0,8,,
SBW1TSSPS20140601,Sportsmart Boys' West 16B,1/06/2014 1:20:00 AM,Round 5,Arndell Park Reserve - Pitch 1,Truganina SC,Sydenham Park SC ,2,3,,
SBW1CFRPCF20140601,Sportsmart Boys' West 16B,1/06/2014 5:15:00 AM,Round 5,Cairnlea Park - Pitch 2,Cairnlea FC Red,Point Cook FC ,7,1,,
SBW1GSCSUJS20140601,Sportsmart Boys' West 16B,1/06/2014 5:15:00 AM,Round 5,Dixon Field Reserve - Junior,Gisborne Soccer Club,Sunbury United Junior SC,2,2,,
SBW1SUJSCFR20140608,Sportsmart Boys' West 16B,8/06/2014 2:45:00 AM,Round 6,Langama Park - Pitch 3,Sunbury United Junior SC,Cairnlea FC Red,0,11,,
SBW1TSGSC20140608,Sportsmart Boys' West 16B,8/06/2014 3:00:00 AM,Round 6,Arndell Park Reserve - Pitch 1,Truganina SC,Gisborne Soccer Club,5,3,,
SBW1YFUSPS20140608,Sportsmart Boys' West 16B,8/06/2014 5:15:00 AM,Round 6,McIvor Reserve - Pitch 1,Yarraville FC U16B,Sydenham Park SC ,2,1,,
SBW1CFRTS20140615,Sportsmart Boys' West 16B,15/06/2014 5:15:00 AM,Round 7,Cairnlea Park - Pitch 1,Cairnlea FC Red,Truganina SC,7,1,,
SBW1GSCYFU20140615,Sportsmart Boys' West 16B,15/06/2014 5:15:00 AM,Round 7,Dixon Field Reserve - Junior,Gisborne Soccer Club,Yarraville FC U16B,1,9,,
SBW1SUJSTS20140622,Sportsmart Boys' West 16B,22/06/2014 2:45:00 AM,Round 8,Langama Park - Pitch 2,Sunbury United Junior SC,Truganina SC,5,2,,
SBW1YFUCFR20140622,Sportsmart Boys' West 16B,22/06/2014 3:45:00 AM,Round 8,McIvor Reserve - Pitch 2,Yarraville FC U16B,Cairnlea FC Red,1,2,,
SBW1PCFSPS20140622,Sportsmart Boys' West 16B,22/06/2014 4:30:00 AM,Round 8,Saltwater Reserve - Pitch 1,Point Cook FC ,Sydenham Park SC ,0,7,,
SBW1TSPCF20140629,Sportsmart Boys' West 16B,29/06/2014 3:45:00 AM,Round 9,Arndell Park Reserve - Pitch 1,Truganina SC,Point Cook FC ,5,1,,
SBW1YFUSUJS20140629,Sportsmart Boys' West 16B,29/06/2014 3:45:00 AM,Round 9,McIvor Reserve - Pitch 1,Yarraville FC U16B,Sunbury United Junior SC,8,1,,
SBW1SPSGSC20140629,Sportsmart Boys' West 16B,29/06/2014 5:00:00 AM,Round 9,Keilor Lodge Reserve - Junior,Sydenham Park SC ,Gisborne Soccer Club,5,0,,
SBW1CFRSUJS20140706,Sportsmart Boys' West 16B,6/07/2014 2:30:00 AM,Catch-Up Round 2,Cairnlea Park - Pitch 2,Cairnlea FC Red,Sunbury United Junior SC,8,0,,
SBW1TSGSC20140706,Sportsmart Boys' West 16B,6/07/2014 3:00:00 AM,Catch-Up Round 2,Arndell Park Reserve - Pitch 1,Truganina SC,Gisborne Soccer Club,2,1,,
SBW1TSYFU20140713,Sportsmart Boys' West 16B,13/07/2014 3:00:00 AM,Round 10,Arndell Park Reserve - Pitch 2,Truganina SC,Yarraville FC U16B,0,1,,
SBW1PCFGSC20140713,Sportsmart Boys' West 16B,13/07/2014 3:45:00 AM,Round 10,Saltwater Reserve - Pitch 1,Point Cook FC ,Gisborne Soccer Club,3,1,,
SBW1CFRSPS20140713,Sportsmart Boys' West 16B,13/07/2014 5:15:00 AM,Round 10,Cairnlea Park - Pitch 2,Cairnlea FC Red,Sydenham Park SC ,3,1,,
SBW1SPSSUJS20140720,Sportsmart Boys' West 16B,20/07/2014 3:30:00 AM,Round 11,Keilor Lodge Reserve - Junior,Sydenham Park SC ,Sunbury United Junior SC,5,1,,
SBW1YFUPCF20140720,Sportsmart Boys' West 16B,20/07/2014 3:45:00 AM,Round 11,McIvor Reserve - Pitch 1,Yarraville FC U16B,Point Cook FC ,8,0,,
SBW1GSCCFR20140720,Sportsmart Boys' West 16B,20/07/2014 5:15:00 AM,Round 11,Dixon Field Reserve - Junior,Gisborne Soccer Club,Cairnlea FC Red,1,16,,
SBW1SUJSGSC20140727,Sportsmart Boys' West 16B,27/07/2014 2:45:00 AM,Round 12,Langama Park - Pitch 3,Sunbury United Junior SC,Gisborne Soccer Club,1,1,,
SBW1PCFCFR20140727,Sportsmart Boys' West 16B,27/07/2014 3:30:00 AM,Round 12,Saltwater Reserve - Pitch 1,Point Cook FC ,Cairnlea FC Red,1,6,,
SBW1SPSTS20140727,Sportsmart Boys' West 16B,27/07/2014 5:00:00 AM,Round 12,Keilor Lodge Reserve - Junior,Sydenham Park SC ,Truganina SC,8,0,,
SBW1SPSYFU20140803,Sportsmart Boys' West 16B,3/08/2014 3:30:00 AM,Round 13,Keilor Lodge Reserve - Junior,Sydenham Park SC ,Yarraville FC U16B,1,0,,
SBW1CFRSUJS20140803,Sportsmart Boys' West 16B,3/08/2014 5:15:00 AM,Round 13,Cairnlea Park - Pitch 2,Cairnlea FC Red,Sunbury United Junior SC,5,2,,
SBW1GSCTS20140803,Sportsmart Boys' West 16B,3/08/2014 5:15:00 AM,Round 13,Dixon Field Reserve - Junior,Gisborne Soccer Club,Truganina SC,2,5,,
SBW1SUJSPCF20140810,Sportsmart Boys' West 16B,10/08/2014 2:45:00 AM,Round 14,Langama Park - Pitch 2,Sunbury United Junior SC,Point Cook FC ,3,0,,
SBW1TSCFR20140810,Sportsmart Boys' West 16B,10/08/2014 3:00:00 AM,Round 14,Arndell Park Reserve - Pitch 1,Truganina SC,Cairnlea FC Red,0,3,,
SBW1YFUGS20140810,Sportsmart Boys' West 16B,10/08/2014 5:00:00 AM,Round 14,McIvor Reserve - Pitch 1,Yarraville FC U16B,Gisborne SC,2,1,,
SBW1YFUCFR20140817,Sportsmart Boys' West 16B,17/08/2014 3:45:00 AM,Round 15,McIvor Reserve - Pitch 1,Yarraville FC U16B,Cairnlea FC Red,3,2,,
SBW1TSSUJS20140817,Sportsmart Boys' West 16B,17/08/2014 5:00:00 AM,Round 15,Arndell Park Reserve - Pitch 2,Truganina SC,Sunbury United Junior SC,3,1,,
