Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SWPLRBHUSAWS20140328,Sportsmart Women's Premier League Reserves,28/03/2014 7:30:00 AM,Round 1,Wembley Park,Box Hill United SC,Ashburton Womens SC,0,4,,
SWPLRMRSHUS20140329,Sportsmart Women's Premier League Reserves,29/03/2014 2:00:00 AM,Round 1,Monbulk Recreation Reserve - Pitch 1 (S),Monbulk Rangers SC,Heidelberg United SC,3,1,,
SWPLRCFCCF20140330,Sportsmart Women's Premier League Reserves,30/03/2014 2:00:00 AM,Round 1,Cairnlea Park - Pitch 1,Cairnlea FC,Casey Comets FC,1,2,,
SWPLRBEFWRBUF20140330,Sportsmart Women's Premier League Reserves,30/03/2014 5:00:00 AM,Round 1,Knox Regional Football Centre - Pitch 1 (S),Boroondara Eagles FC WPL Reserves,Bundoora United FC,1,3,,
SWPLRSSFU1G20140331,Sportsmart Women's Premier League Reserves,31/03/2014 7:30:00 AM,Round 1,Kingston Heath Soccer Complex - Pitch 2 (S),Sandringham SC,FFV Under 15 Girls,1,4,,
SWPLRFBLSMWF20140331,Sportsmart Women's Premier League Reserves,31/03/2014 7:30:00 AM,Round 1,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,South Melbourne Womens FC,2,1,,
SWPLRCCFBHUS20140404,Sportsmart Women's Premier League Reserves,4/04/2014 7:30:00 AM,Round 2,Comets Stadium - Pitch 1,Casey Comets FC,Box Hill United SC,3,2,,
SWPLRMRSCF20140404,Sportsmart Women's Premier League Reserves,4/04/2014 7:30:00 AM,Round 2,Monbulk Recreation Reserve - Pitch 1 (S),Monbulk Rangers SC,Cairnlea FC,3,1,,
SWPLRBUFSS20140405,Sportsmart Women's Premier League Reserves,5/04/2014 12:00:00 AM,Round 2,Hillsview Recreation Reserve - Pitch 1 (S),Bundoora United FC,Sandringham SC,4,1,,
SWPLRSMWFBEFWR20140405,Sportsmart Women's Premier League Reserves,5/04/2014 2:00:00 AM,Round 2,Ralph Reserve,South Melbourne Womens FC,Boroondara Eagles FC WPL Reserves,3,0,,
SWPLRFU1GHUS20140405,Sportsmart Women's Premier League Reserves,5/04/2014 2:00:00 AM,Round 2,State Football Centre - Pitch 3 (S),FFV Under 15 Girls,Heidelberg United SC,2,2,,
SWPLRAWSFBL20140406,Sportsmart Women's Premier League Reserves,6/04/2014 3:00:00 AM,Round 2,Ashburton Park,Ashburton Womens SC,FC Bulleen Lions,0,3,,
SWPLRBHUSCF20140411,Sportsmart Women's Premier League Reserves,11/04/2014 8:30:00 AM,Round 3,Wembley Park,Box Hill United SC,Cairnlea FC,3,0,,
SWPLRBUFHUS20140412,Sportsmart Women's Premier League Reserves,12/04/2014 1:00:00 AM,Round 3,Hillsview Recreation Reserve - Pitch 1 (S),Bundoora United FC,Heidelberg United SC,9,0,,
SWPLRFU1GMRS20140412,Sportsmart Women's Premier League Reserves,12/04/2014 3:00:00 AM,Round 3,State Football Centre - Pitch 3 (S),FFV Under 15 Girls,Monbulk Rangers SC,2,0,,
SWPLRBEFWRAWS20140413,Sportsmart Women's Premier League Reserves,13/04/2014 6:00:00 AM,Round 3,Knox Regional Football Centre - Pitch 1 (S),Boroondara Eagles FC WPL Reserves,Ashburton Womens SC,3,2,,
SWPLRSSSMWF20140414,Sportsmart Women's Premier League Reserves,14/04/2014 8:30:00 AM,Round 3,Kingston Heath Soccer Complex - Pitch 2 (S),Sandringham SC,South Melbourne Womens FC,1,1,,
SWPLRFBLCCF20140414,Sportsmart Women's Premier League Reserves,14/04/2014 8:30:00 AM,Round 3,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Casey Comets FC,6,2,,
SWPLRMRSBHUS20140425,Sportsmart Women's Premier League Reserves,25/04/2014 6:00:00 AM,Round 4,Monbulk Recreation Reserve - Pitch 1 (S),Monbulk Rangers SC,Box Hill United SC,0,1,,
SWPLRCCFBEFWR20140425,Sportsmart Women's Premier League Reserves,25/04/2014 8:30:00 AM,Round 4,Comets Stadium - Pitch 1,Casey Comets FC,Boroondara Eagles FC WPL Reserves,1,1,,
SWPLRBUFFU1G20140426,Sportsmart Women's Premier League Reserves,26/04/2014 1:00:00 AM,Round 4,Hillsview Recreation Reserve - Pitch 1 (S),Bundoora United FC,FFV Under 15 Girls,2,1,,
SWPLRSMWFHUS20140426,Sportsmart Women's Premier League Reserves,26/04/2014 3:00:00 AM,Round 4,Lakeside Stadium,South Melbourne Womens FC,Heidelberg United SC,5,0,,
SWPLRAWSSS20140427,Sportsmart Women's Premier League Reserves,27/04/2014 3:00:00 AM,Round 4,Ashburton Park,Ashburton Womens SC,Sandringham SC,2,6,,
SWPLRCFFBL20140427,Sportsmart Women's Premier League Reserves,27/04/2014 3:00:00 AM,Round 4,Cairnlea Park - Pitch 1,Cairnlea FC,FC Bulleen Lions,1,9,,
SWPLRBUFMRS20140503,Sportsmart Women's Premier League Reserves,3/05/2014 1:00:00 AM,Round 5,Hillsview Recreation Reserve - Pitch 1 (S),Bundoora United FC,Monbulk Rangers SC,9,0,,
SWPLRHUSAWS20140503,Sportsmart Women's Premier League Reserves,3/05/2014 3:00:00 AM,Round 5,Olympic Village - Pitch 1,Heidelberg United SC,Ashburton Womens SC,3,1,,
