Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
WSL1RKPSSYS20140427,Women's State League 1 Reserves,27/04/2014 1:15:00 AM,Round 1,Keilor Park Recreation Reserve - Pitch 1,Keilor Park SC,South Yarra SC,1,3,,
WSL1RPLFUOMS20140427,Women's State League 1 Reserves,27/04/2014 3:00:00 AM,Round 1,B.T. Connor Reserve - Pitch 2,Preston Lions FC,University of Melbourne SC,0,4,,
WSL1RBCSRBS20140427,Women's State League 1 Reserves,27/04/2014 3:00:00 AM,Round 1,Jack Thomas Reserve - Pitch 1,Berwick City SC Res,Brighton SC,5,0,,
WSL1RBSDRS20140427,Women's State League 1 Reserves,27/04/2014 3:00:00 AM,Round 1,Morshead Park - Pitch 2 (S),Ballarat SC,Doncaster Rovers SC,3,1,,
WSL1RCUCSNGWS20140427,Women's State League 1 Reserves,27/04/2014 3:15:00 AM,Round 1,Victory Park - Pitch 1,Caulfield United Cobras SC,North Geelong Warriors SC,1,0,,
WSL1RDRSPLF20140502,Women's State League 1 Reserves,2/05/2014 8:30:00 AM,Round 2,Anderson Park,Doncaster Rovers SC,Preston Lions FC,1,6,,
WSL1RSYSBS20140504,Women's State League 1 Reserves,4/05/2014 3:00:00 AM,Round 2,Fawkner Park South Pavilion - Pitch 2,South Yarra SC,Brighton SC,1,1,,
WSL1RBCSRBS20140504,Women's State League 1 Reserves,4/05/2014 3:00:00 AM,Round 2,Jack Thomas Reserve - Pitch 1,Berwick City SC Res,Ballarat SC,2,2,,
WSL1RUOMSNGWS20140504,Women's State League 1 Reserves,4/05/2014 3:00:00 AM,Round 2,Royal Park Lawn 7 - Pitch 1,University of Melbourne SC,North Geelong Warriors SC,6,0,,
WSL1RCUCSKPS20140504,Women's State League 1 Reserves,4/05/2014 3:00:00 AM,Round 2,Victory Park - Pitch 1,Caulfield United Cobras SC,Keilor Park SC,0,1,,
WSL1RKPSUOMS20140511,Women's State League 1 Reserves,11/05/2014 1:15:00 AM,Round 3,Keilor Park Recreation Reserve - Pitch 1,Keilor Park SC,University of Melbourne SC,1,1,,
WSL1RBCSRDRS20140511,Women's State League 1 Reserves,11/05/2014 3:00:00 AM,Round 3,Jack Thomas Reserve - Pitch 1,Berwick City SC Res,Doncaster Rovers SC,0,0,,
WSL1RBSSYS20140511,Women's State League 1 Reserves,11/05/2014 3:00:00 AM,Round 3,Morshead Park - Pitch 2 (S),Ballarat SC,South Yarra SC,1,2,,
WSL1RBSCUCS20140511,Women's State League 1 Reserves,11/05/2014 3:15:00 AM,Round 3,Dendy Park - Pitch 1 (Upper Green),Brighton SC,Caulfield United Cobras SC,0,3,,
WSL1RPLFKPS20140525,Women's State League 1 Reserves,25/05/2014 3:00:00 AM,Round 4,B.T. Connor Reserve - Pitch 4,Preston Lions FC,Keilor Park SC,3,4,,
WSL1RSYSBCSR20140525,Women's State League 1 Reserves,25/05/2014 3:00:00 AM,Round 4,Fawkner Park South Pavilion - Pitch 2,South Yarra SC,Berwick City SC Res,1,0,,
WSL1RUOMSBS20140525,Women's State League 1 Reserves,25/05/2014 3:00:00 AM,Round 4,Royal Park Lawn 7 - Pitch 1,University of Melbourne SC,Brighton SC,1,0,,
WSL1RCUCSBS20140525,Women's State League 1 Reserves,25/05/2014 3:15:00 AM,Round 4,Victory Park - Pitch 1,Caulfield United Cobras SC,Ballarat SC,6,2,,
WSL1RDRSNGWS20140525,Women's State League 1 Reserves,25/05/2014 8:30:00 AM,Round 4,Anderson Park,Doncaster Rovers SC,North Geelong Warriors SC,1,1,,
WSL1RKPSNGWS20140601,Women's State League 1 Reserves,1/06/2014 1:15:00 AM,Round 5,Keilor Park Recreation Reserve - Pitch 1,Keilor Park SC,North Geelong Warriors SC,3,2,,
WSL1RSYSDRS20140601,Women's State League 1 Reserves,1/06/2014 3:00:00 AM,Round 5,Fawkner Park South Pavilion - Pitch 2,South Yarra SC,Doncaster Rovers SC,2,1,,
WSL1RBCSRCUCS20140601,Women's State League 1 Reserves,1/06/2014 3:00:00 AM,Round 5,Jack Thomas Reserve - Pitch 1,Berwick City SC Res,Caulfield United Cobras SC,2,2,,
WSL1RBSUOMS20140601,Women's State League 1 Reserves,1/06/2014 3:00:00 AM,Round 5,Morshead Park - Pitch 2 (S),Ballarat SC,University of Melbourne SC,3,1,,
