Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
WSL1KPSSYS20140427,Women's State League 1,27/04/2014 3:15:00 AM,Round 1,Keilor Park Recreation Reserve - Pitch 1,Keilor Park SC,South Yarra SC,0,3,,
WSL1PLFUOMS20140427,Women's State League 1,27/04/2014 5:00:00 AM,Round 1,B.T. Connor Reserve - Pitch 2,Preston Lions FC,University of Melbourne SC,1,5,,
WSL1BCSBS20140427,Women's State League 1,27/04/2014 5:00:00 AM,Round 1,Jack Thomas Reserve - Pitch 1,Berwick City SC,Brighton SC,0,2,,
WSL1BSDRS20140427,Women's State League 1,27/04/2014 5:00:00 AM,Round 1,Morshead Park - Pitch 2 (S),Ballarat SC,Doncaster Rovers SC,0,5,,
WSL1CUCSNGWS20140427,Women's State League 1,27/04/2014 5:15:00 AM,Round 1,Victory Park - Pitch 1,Caulfield United Cobras SC,North Geelong Warriors SC,5,5,,
WSL1DRSPLF20140502,Women's State League 1,2/05/2014 10:30:00 AM,Round 2,Anderson Park,Doncaster Rovers SC,Preston Lions FC,5,0,,
WSL1SYSBS20140504,Women's State League 1,4/05/2014 5:00:00 AM,Round 2,Fawkner Park South Pavilion - Pitch 2,South Yarra SC,Brighton SC,0,1,,
WSL1BCSBS20140504,Women's State League 1,4/05/2014 5:00:00 AM,Round 2,Jack Thomas Reserve - Pitch 1,Berwick City SC,Ballarat SC,1,1,,
WSL1UOMSNGWS20140504,Women's State League 1,4/05/2014 5:00:00 AM,Round 2,Royal Park Lawn 7 - Pitch 1,University of Melbourne SC,North Geelong Warriors SC,4,0,,
WSL1CUCSKPS20140504,Women's State League 1,4/05/2014 5:00:00 AM,Round 2,Victory Park - Pitch 1,Caulfield United Cobras SC,Keilor Park SC,3,2,,
WSL1KPSUOMS20140511,Women's State League 1,11/05/2014 3:15:00 AM,Round 3,Keilor Park Recreation Reserve - Pitch 1,Keilor Park SC,University of Melbourne SC,1,2,,
WSL1NGWSPLF20140511,Women's State League 1,11/05/2014 5:00:00 AM,Round 3,Howard Glover Reserve,North Geelong Warriors SC,Preston Lions FC,3,1,,
WSL1BCSDRS20140511,Women's State League 1,11/05/2014 5:00:00 AM,Round 3,Jack Thomas Reserve - Pitch 1,Berwick City SC,Doncaster Rovers SC,2,1,,
WSL1BSSYS20140511,Women's State League 1,11/05/2014 5:00:00 AM,Round 3,Morshead Park - Pitch 2 (S),Ballarat SC,South Yarra SC,0,3,,
WSL1BSCUCS20140511,Women's State League 1,11/05/2014 5:15:00 AM,Round 3,Dendy Park - Pitch 1 (Upper Green),Brighton SC,Caulfield United Cobras SC,1,2,,
WSL1PLFKPS20140525,Women's State League 1,25/05/2014 5:00:00 AM,Round 4,B.T. Connor Reserve - Pitch 4,Preston Lions FC,Keilor Park SC,3,3,,
