Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
Z1ENNCFBHUS20140803,Zagame's 12 East NPL,2/08/2014 11:00:00 PM,Round 16,State Football Centre - Pitch 2 (S),Northcote City FC,Box Hill United SC,0,0,,
Z1ENHUSDTS20140803,Zagame's 12 East NPL,3/08/2014 12:00:00 AM,Round 16,Olympic Village - Pitch 2,Heidelberg United SC,Dandenong Thunder SC,1,2,,
Z1ENSMFPMSS20140803,Zagame's 12 East NPL,3/08/2014 12:00:00 AM,Round 16,Princes Park Caulfield - Pitch 1,South Melbourne FC,Port Melbourne Sharks SC,0,4,,
Z1ENFBLSWEF20140803,Zagame's 12 East NPL,3/08/2014 12:10:00 AM,Round 16,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Springvale White Eagles FC,0,1,,
Z1ENBHUSSMF20140810,Zagame's 12 East NPL,9/08/2014 11:00:00 PM,Round 17,East Burwood Reserve,Box Hill United SC,South Melbourne FC,3,0,,
Z1ENDTSFBL20140810,Zagame's 12 East NPL,10/08/2014 12:10:00 AM,Round 17,George Andrews Reserve - Pitch 2,Dandenong Thunder SC,FC Bulleen Lions,2,4,,
Z1ENPMSSHUS20140810,Zagame's 12 East NPL,10/08/2014 12:10:00 AM,Round 17,JL Murphy Reserve - SS Anderson Oval - Pitch 2,Port Melbourne Sharks SC,Heidelberg United SC,5,1,,
Z1ENSWEFNCF20140810,Zagame's 12 East NPL,10/08/2014 12:10:00 AM,Round 17,White Eagles Stadium - Pitch 2,Springvale White Eagles FC,Northcote City FC,0,1,,
Z1ENNCFDTS20140817,Zagame's 12 East NPL,16/08/2014 11:00:00 PM,Round 18,State Football Centre - Pitch 2 (S),Northcote City FC,Dandenong Thunder SC,0,2,,
Z1ENHUSSMF20140817,Zagame's 12 East NPL,17/08/2014 12:10:00 AM,Round 18,Olympic Village - Pitch 2,Heidelberg United SC,South Melbourne FC,6,2,,
Z1ENFBLPMSS20140817,Zagame's 12 East NPL,17/08/2014 12:10:00 AM,Round 18,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Port Melbourne Sharks SC,4,1,,
Z1ENSWEFBHUS20140817,Zagame's 12 East NPL,17/08/2014 12:10:00 AM,Round 18,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Box Hill United SC,0,1,,
Z1ENBHUSHUS20140824,Zagame's 12 East NPL,23/08/2014 11:00:00 PM,Round 19,East Burwood Reserve,Box Hill United SC,Heidelberg United SC,0,0,,
Z1ENSMFFBL20140824,Zagame's 12 East NPL,24/08/2014 12:00:00 AM,Round 19,Princes Park Caulfield - Pitch 1,South Melbourne FC,FC Bulleen Lions,2,1,,
Z1ENDTSSWEF20140824,Zagame's 12 East NPL,24/08/2014 12:10:00 AM,Round 19,George Andrews Reserve - Pitch 2,Dandenong Thunder SC,Springvale White Eagles FC,3,1,,
Z1ENPMSSNCF20140824,Zagame's 12 East NPL,24/08/2014 12:10:00 AM,Round 19,JL Murphy Reserve - SS Anderson Oval - Pitch 2,Port Melbourne Sharks SC,Northcote City FC,0,4,,
Z1ENNCFSMF20140831,Zagame's 12 East NPL,30/08/2014 11:00:00 PM,Round 20,State Football Centre - Pitch 2 (S),Northcote City FC,South Melbourne FC,3,0,,
Z1ENSWEFPMSS20140831,Zagame's 12 East NPL,30/08/2014 11:00:00 PM,Round 20,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Port Melbourne Sharks SC,6,3,,
Z1ENDTSBHUS20140831,Zagame's 12 East NPL,31/08/2014 12:10:00 AM,Round 20,George Andrews Reserve - Pitch 1,Dandenong Thunder SC,Box Hill United SC,1,1,,
Z1ENFBLHUS20140831,Zagame's 12 East NPL,31/08/2014 12:10:00 AM,Round 20,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Heidelberg United SC,0,0,,
Z1ENPMSSDTS20140907,Zagame's 12 East NPL,7/09/2014 12:00:00 AM,Round 21,JL Murphy Reserve - SS Anderson Oval - Pitch 2,Port Melbourne Sharks SC,Dandenong Thunder SC,1,2,,
Z1ENSMFSWEF20140907,Zagame's 12 East NPL,7/09/2014 12:00:00 AM,Round 21,Princes Park Caulfield - Pitch 1,South Melbourne FC,Springvale White Eagles FC,0,3,,
Z1ENHUSNCF20140907,Zagame's 12 East NPL,7/09/2014 12:10:00 AM,Round 21,Olympic Village - Pitch 2,Heidelberg United SC,Northcote City FC,1,6,,
Z1ENFBLBHUS20140907,Zagame's 12 East NPL,7/09/2014 12:10:00 AM,Round 21,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Box Hill United SC,1,2,,
Z1ENBHUSPMSS20140913,Zagame's 12 East NPL,13/09/2014 7:45:00 AM,Round 22,Sparks Reserve,Box Hill United SC,Port Melbourne Sharks SC,3,1,,
Z1ENNCFFBL20140914,Zagame's 12 East NPL,13/09/2014 11:00:00 PM,Round 22,State Football Centre - Pitch 2 (S),Northcote City FC,FC Bulleen Lions,1,1,,
Z1ENDTSSMF20140914,Zagame's 12 East NPL,14/09/2014 12:00:00 AM,Round 22,George Andrews Reserve - Pitch 2,Dandenong Thunder SC,South Melbourne FC,3,0,,
Z1ENSWEFHUS20140914,Zagame's 12 East NPL,14/09/2014 12:10:00 AM,Round 22,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Heidelberg United SC,1,3,,
