Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
Z1WNNGWFMKF20140802,Zagame's 12 West NPL,1/08/2014 11:00:00 PM,Round 14,Elcho Park - Pitch 1,North Geelong Warriors FC,Melbourne Knights FC,3,2,,
Z1WNWRFHCF20140803,Zagame's 12 West NPL,3/08/2014 12:00:00 AM,Round 14,Harvest Home Recreation Reserve - Pitch 1 (S),Whittlesea Ranges FC,Hume City FC,0,1,,
Z1WNBCSMZF20140803,Zagame's 12 West NPL,3/08/2014 12:10:00 AM,Round 14,Dunstan Reserve - Pitch 1,Brunswick City SC,Moreland Zebras FC,2,5,,
Z1WNMZFAHS20140810,Zagame's 12 West NPL,9/08/2014 11:00:00 PM,Round 15,De Chene Reserve - Pitch 1,Moreland Zebras FC,Avondale Heights S.C.,4,1,,
Z1WNMKFBCS20140810,Zagame's 12 West NPL,9/08/2014 11:00:00 PM,Round 15,Dobson Reserve - Pitch 1,Melbourne Knights FC,Brunswick City SC,0,4,,
Z1WNHCFNGWF20140810,Zagame's 12 West NPL,10/08/2014 12:00:00 AM,Round 15,Broadmeadows Valley Park - Pitch 1,Hume City FC,North Geelong Warriors FC,0,2,,
Z1WNWRFAHS20140817,Zagame's 12 West NPL,16/08/2014 11:00:00 PM,Round 16,Harvest Home Recreation Reserve - Pitch 1 (S),Whittlesea Ranges FC,Avondale Heights S.C.,1,0,,
Z1WNMKFMZF20140817,Zagame's 12 West NPL,17/08/2014 12:10:00 AM,Round 16,Dobson Reserve - Pitch 1,Melbourne Knights FC,Moreland Zebras FC,0,6,,
Z1WNBCSHCF20140817,Zagame's 12 West NPL,17/08/2014 12:10:00 AM,Round 16,Dunstan Reserve - Pitch 1,Brunswick City SC,Hume City FC,0,2,,
Z1WNMZFWRF20140824,Zagame's 12 West NPL,23/08/2014 11:00:00 PM,Round 17,De Chene Reserve - Pitch 1,Moreland Zebras FC,Whittlesea Ranges FC,1,0,,
Z1WNAHSNGWF20140824,Zagame's 12 West NPL,23/08/2014 11:15:00 PM,Round 17,Avondale Heights Reserve - Pitch 2,Avondale Heights S.C.,North Geelong Warriors FC,0,4,,
Z1WNHCFMKF20140824,Zagame's 12 West NPL,24/08/2014 12:00:00 AM,Round 17,Broadmeadows Valley Park - Pitch 3 (S),Hume City FC,Melbourne Knights FC,4,1,,
Z1WNNGWFWRF20140831,Zagame's 12 West NPL,30/08/2014 11:00:00 PM,Round 18,Elcho Park - Pitch 1,North Geelong Warriors FC,Whittlesea Ranges FC,1,1,,
Z1WNHCFMZF20140831,Zagame's 12 West NPL,31/08/2014 12:00:00 AM,Round 18,Broadmeadows Valley Park - Pitch 1,Hume City FC,Moreland Zebras FC,1,5,,
Z1WNBCSAHS20140831,Zagame's 12 West NPL,31/08/2014 12:10:00 AM,Round 18,Dunstan Reserve - Pitch 1,Brunswick City SC,Avondale Heights S.C.,2,0,,
Z1WNAHSMKF20140907,Zagame's 12 West NPL,7/09/2014 12:00:00 AM,Round 19,Avondale Heights Reserve - Pitch 1,Avondale Heights S.C.,Melbourne Knights FC,4,0,,
Z1WNWRFBCS20140907,Zagame's 12 West NPL,7/09/2014 12:00:00 AM,Round 19,Harvest Home Recreation Reserve - Pitch 1 (S),Whittlesea Ranges FC,Brunswick City SC,1,0,,
Z1WNNGWFMZF20140907,Zagame's 12 West NPL,7/09/2014 2:15:00 AM,Round 19,Elcho Park - Pitch 1,North Geelong Warriors FC,Moreland Zebras FC,2,4,,
Z1WNMKFWRF20140914,Zagame's 12 West NPL,13/09/2014 11:00:00 PM,Round 20,Dobson Reserve - Pitch 1,Melbourne Knights FC,Whittlesea Ranges FC,2,5,,
Z1WNHCFAHS20140914,Zagame's 12 West NPL,14/09/2014 12:00:00 AM,Round 20,Broadmeadows Valley Park - Pitch 3 (S),Hume City FC,Avondale Heights S.C.,3,0,,
Z1WNBCSNGWF20140914,Zagame's 12 West NPL,14/09/2014 12:00:00 AM,Round 20,Dunstan Reserve - Pitch 1,Brunswick City SC,North Geelong Warriors FC,3,3,,
