Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
Z1WNWCFSGCS20140803,Zagame's 12 West NPL1,3/08/2014 12:10:00 AM,Round 14,Galvin Park - Junior 1,Werribee City FC,Sunshine George Cross SC,3,0,,
Z1WNFBGGS20140803,Zagame's 12 West NPL1,3/08/2014 1:00:00 AM,Round 14,Epsom Huntly Recreation Reserve - Pitch 2,FC Bendigo,Green Gully SC,1,0,,
Z1WNBRDSPVS20140803,Zagame's 12 West NPL1,3/08/2014 1:00:00 AM,Round 14,Morshead Park Stadium - Pitch 2,Ballarat Red Devils SC,Pascoe Vale SC,1,2,,
Z1WNSGCSBRDS20140810,Zagame's 12 West NPL1,9/08/2014 11:00:00 PM,Round 15,Brookside Recreation Reserve - Pitch 1 (S),Sunshine George Cross SC,Ballarat Red Devils SC,2,2,,
Z1WNGGSWCF20140810,Zagame's 12 West NPL1,10/08/2014 12:10:00 AM,Round 15,Green Gully Reserve - Pitch 2,Green Gully SC,Werribee City FC,0,3,,
Z1WNPVSSASS20140810,Zagame's 12 West NPL1,10/08/2014 12:10:00 AM,Round 15,Hosken Reserve - Pitch 1,Pascoe Vale SC,St Albans Saints SC,2,1,,
Z1WNBRDSGGS20140817,Zagame's 12 West NPL1,17/08/2014 12:00:00 AM,Round 16,Morshead Park Stadium - Pitch 2,Ballarat Red Devils SC,Green Gully SC,1,2,,
Z1WNSASSSGCS20140817,Zagame's 12 West NPL1,17/08/2014 12:10:00 AM,Round 16,Churchill Reserve - Pitch 3,St Albans Saints SC,Sunshine George Cross SC,1,0,,
Z1WNWCFFB20140817,Zagame's 12 West NPL1,17/08/2014 12:10:00 AM,Round 16,Galvin Park - Junior 1,Werribee City FC,FC Bendigo,4,2,,
Z1WNSGCSPVS20140824,Zagame's 12 West NPL1,23/08/2014 11:00:00 PM,Round 17,Brookside Recreation Reserve - Pitch 1 (S),Sunshine George Cross SC,Pascoe Vale SC,2,0,,
Z1WNGGSSASS20140824,Zagame's 12 West NPL1,24/08/2014 12:10:00 AM,Round 17,Green Gully Reserve - Pitch 2,Green Gully SC,St Albans Saints SC,2,1,,
Z1WNFBBRDS20140824,Zagame's 12 West NPL1,24/08/2014 1:00:00 AM,Round 17,Epsom Huntly Recreation Reserve - Pitch 2,FC Bendigo,Ballarat Red Devils SC,2,8,,
Z1WNBRDSWCF20140831,Zagame's 12 West NPL1,30/08/2014 11:00:00 PM,Round 18,Morshead Park Stadium - Pitch 2,Ballarat Red Devils SC,Werribee City FC,1,2,,
Z1WNSASSFB20140831,Zagame's 12 West NPL1,31/08/2014 12:10:00 AM,Round 18,Churchill Reserve - Pitch 1,St Albans Saints SC,FC Bendigo,3,0,,
Z1WNPVSGGS20140831,Zagame's 12 West NPL1,31/08/2014 12:10:00 AM,Round 18,Hosken Reserve - Pitch 1,Pascoe Vale SC,Green Gully SC,0,3,,
Z1WNWCFSASS20140907,Zagame's 12 West NPL1,7/09/2014 12:10:00 AM,Round 19,Galvin Park - Junior 1,Werribee City FC,St Albans Saints SC,2,0,,
Z1WNGGSSGCS20140907,Zagame's 12 West NPL1,7/09/2014 12:10:00 AM,Round 19,Green Gully Reserve - Pitch 2,Green Gully SC,Sunshine George Cross SC,2,1,,
Z1WNFBPVS20140907,Zagame's 12 West NPL1,7/09/2014 1:00:00 AM,Round 19,Epsom Huntly Recreation Reserve - Pitch 2,FC Bendigo,Pascoe Vale SC,3,2,,
Z1WNPVSWCF20140914,Zagame's 12 West NPL1,13/09/2014 11:00:00 PM,Round 20,Hosken Reserve - Pitch 1,Pascoe Vale SC,Werribee City FC,0,1,,
Z1WNSGCSFB20140914,Zagame's 12 West NPL1,14/09/2014 12:10:00 AM,Round 20,Brookside Recreation Reserve - Pitch 1 (S),Sunshine George Cross SC,FC Bendigo,2,1,,
Z1WNSASSBRDS20140914,Zagame's 12 West NPL1,14/09/2014 12:10:00 AM,Round 20,Churchill Reserve - Pitch 3,St Albans Saints SC,Ballarat Red Devils SC,,,,
