Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
Z1ENOCFBGS20140803,Zagame's 13 East NPL1,3/08/2014 12:00:00 AM,Round 16,Jack Edwards Reserve - Pitch 1,Oakleigh Cannons FC,Bentleigh Greens SC,2,1,,
Z1ENKCFDTS20140803,Zagame's 13 East NPL1,3/08/2014 12:00:00 AM,Round 16,The Grange Reserve,Kingston City FC,Dandenong Thunder SC,2,4,,
Z1ENRSPMSS20140803,Zagame's 13 East NPL1,3/08/2014 1:20:00 AM,Round 16,Kevin Bartlett Reserve - Bastow 2,Richmond SC,Port Melbourne Sharks SC,0,0,,
Z1ENBGSKCF20140810,Zagame's 13 East NPL1,10/08/2014 12:00:00 AM,Round 17,Kingston Heath Soccer Complex - Pitch 2 (S),Bentleigh Greens SC,Kingston City FC,1,1,,
Z1ENDTSRS20140810,Zagame's 13 East NPL1,10/08/2014 1:20:00 AM,Round 17,George Andrews Reserve - Pitch 2,Dandenong Thunder SC,Richmond SC,2,3,,
Z1ENPMSSOCF20140810,Zagame's 13 East NPL1,10/08/2014 3:00:00 AM,Round 17,JL Murphy Reserve - SS Anderson Oval - Pitch 2,Port Melbourne Sharks SC,Oakleigh Cannons FC,1,3,,
Z1ENDTSPMSS20140817,Zagame's 13 East NPL1,17/08/2014 12:10:00 AM,Round 18,George Andrews Reserve - Pitch 2,Dandenong Thunder SC,Port Melbourne Sharks SC,4,1,,
Z1ENKCFOCF20140817,Zagame's 13 East NPL1,17/08/2014 1:00:00 AM,Round 18,The Grange Reserve,Kingston City FC,Oakleigh Cannons FC,0,0,,
Z1ENRSBGS20140817,Zagame's 13 East NPL1,17/08/2014 1:20:00 AM,Round 18,Kevin Bartlett Reserve - Bastow 2,Richmond SC,Bentleigh Greens SC,3,0,,
Z1ENDTSBGS20140824,Zagame's 13 East NPL1,24/08/2014 1:20:00 AM,Round 19,George Andrews Reserve - Pitch 2,Dandenong Thunder SC,Bentleigh Greens SC,6,0,,
Z1ENOCFRS20140824,Zagame's 13 East NPL1,24/08/2014 1:20:00 AM,Round 19,Jack Edwards Reserve - Pitch 1,Oakleigh Cannons FC,Richmond SC,1,1,,
Z1ENPMSSKCF20140824,Zagame's 13 East NPL1,24/08/2014 3:00:00 AM,Round 19,JL Murphy Reserve - SS Anderson Oval - Pitch 2,Port Melbourne Sharks SC,Kingston City FC,2,1,,
Z1ENOCFDTS20140831,Zagame's 13 East NPL1,31/08/2014 12:00:00 AM,Round 20,Jack Edwards Reserve - Pitch 1,Oakleigh Cannons FC,Dandenong Thunder SC,1,4,,
Z1ENBGSPMSS20140831,Zagame's 13 East NPL1,31/08/2014 12:00:00 AM,Round 20,Kingston Heath Soccer Complex - Pitch 2 (S),Bentleigh Greens SC,Port Melbourne Sharks SC,2,1,,
Z1ENRSKCF20140831,Zagame's 13 East NPL1,31/08/2014 1:20:00 AM,Round 20,Kevin Bartlett Reserve - Bastow 2,Richmond SC,Kingston City FC,3,0,,
Z1ENBGSOCF20140907,Zagame's 13 East NPL1,7/09/2014 12:00:00 AM,Round 21,Kingston Heath Soccer Complex - Pitch 2 (S),Bentleigh Greens SC,Oakleigh Cannons FC,0,4,,
Z1ENDTSKCF20140907,Zagame's 13 East NPL1,7/09/2014 12:10:00 AM,Round 21,George Andrews Reserve - Pitch 2,Dandenong Thunder SC,Kingston City FC,3,0,,
Z1ENPMSSRS20140907,Zagame's 13 East NPL1,7/09/2014 3:00:00 AM,Round 21,JL Murphy Reserve - SS Anderson Oval - Pitch 2,Port Melbourne Sharks SC,Richmond SC,1,3,,
Z1ENKCFBGS20140914,Zagame's 13 East NPL1,14/09/2014 1:00:00 AM,Round 22,The Grange Reserve,Kingston City FC,Bentleigh Greens SC,1,2,,
Z1ENOCFPMSS20140914,Zagame's 13 East NPL1,14/09/2014 1:20:00 AM,Round 22,Jack Edwards Reserve - Pitch 2,Oakleigh Cannons FC,Port Melbourne Sharks SC,1,0,,
Z1ENRSDTS20140914,Zagame's 13 East NPL1,14/09/2014 1:20:00 AM,Round 22,Kevin Bartlett Reserve - Bastow 2,Richmond SC,Dandenong Thunder SC,1,7,,
