Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
ZN1WFBWCF20140405,Zagame's NPL 16 West,5/04/2014 3:00:00 AM,1,Epsom Huntly Recreation Reserve - Pitch 1,FC Bendigo,Werribee City FC,3,0,,
ZN1WWRFMZF20140406,Zagame's NPL 16 West,6/04/2014 12:00:00 AM,1,Harvest Home Recreation Reserve - Pitch 2,Whittlesea Ranges FC,Moreland Zebras FC,3,0,,
ZN1WBCSAHS20140406,Zagame's NPL 16 West,6/04/2014 3:00:00 AM,1,Dunstan Reserve - Pitch 1,Brunswick City SC,Avondale Heights S.C. ,2,2,,
ZN1WGGSSASS20140406,Zagame's NPL 16 West,6/04/2014 3:00:00 AM,1,Green Gully Reserve - Pitch 2,Green Gully SC,St Albans Saints SC,5,6,,
ZN1WMKFNGWF20140406,Zagame's NPL 16 West,6/04/2014 3:00:00 AM,1,Knights Stadium - Pitch 2,Melbourne Knights FC,North Geelong Warriors FC,3,2,,
ZN1WBRDSSGCS20140406,Zagame's NPL 16 West,6/04/2014 4:45:00 AM,1,Morshead Park Stadium - Pitch 2,Ballarat Red Devils SC,Sunshine George Cross SC,4,3,,
ZN1WHCFPVS20140406,Zagame's NPL 16 West,6/04/2014 5:15:00 AM,1,Broadmeadows Valley Park - Pitch 1,Hume City FC,Pascoe Vale SC,2,2,,
ZN1WWCFBCS20140413,Zagame's NPL 16 West,13/04/2014 3:00:00 AM,2,Galvin Park - Junior 1,Werribee City FC,Brunswick City SC,4,5,,
ZN1WPVSMKF20140413,Zagame's NPL 16 West,13/04/2014 3:00:00 AM,2,Hosken Reserve - Pitch 1,Pascoe Vale SC,Melbourne Knights FC,12,0,,
ZN1WAHSGGS20140413,Zagame's NPL 16 West,13/04/2014 3:45:00 AM,2,Avondale Heights Reserve - Pitch 1,Avondale Heights S.C. ,Green Gully SC,1,16,,
ZN1WSGCSFB20140413,Zagame's NPL 16 West,13/04/2014 3:45:00 AM,2,Brookside Recreation Reserve - Pitch 1 (S),Sunshine George Cross SC,FC Bendigo,3,4,,
ZN1WSASSHCF20140413,Zagame's NPL 16 West,13/04/2014 3:45:00 AM,2,Churchill Reserve - Pitch 2,St Albans Saints SC,Hume City FC,6,1,,
ZN1WNGWFWRF20140413,Zagame's NPL 16 West,13/04/2014 3:45:00 AM,2,Elcho Park - Pitch 1,North Geelong Warriors FC,Whittlesea Ranges FC,2,2,,
ZN1WMZFBRDS20140413,Zagame's NPL 16 West,13/04/2014 3:45:00 AM,2,State Football Centre - Pitch 1 (S),Moreland Zebras FC,Ballarat Red Devils SC,2,1,,
ZN1WHCFAHS20140427,Zagame's NPL 16 West,27/04/2014 1:30:00 AM,3,Broadmeadows Valley Park - Pitch 2,Hume City FC,Avondale Heights S.C. ,23,0,,
ZN1WWRFPVS20140427,Zagame's NPL 16 West,27/04/2014 2:45:00 AM,3,Harvest Home Recreation Reserve - Pitch 2,Whittlesea Ranges FC,Pascoe Vale SC,1,2,,
ZN1WBCSSGCS20140427,Zagame's NPL 16 West,27/04/2014 3:00:00 AM,3,Dunstan Reserve - Pitch 2,Brunswick City SC,Sunshine George Cross SC,0,2,,
ZN1WGGSWCF20140427,Zagame's NPL 16 West,27/04/2014 3:00:00 AM,3,Green Gully Reserve - Pitch 2,Green Gully SC,Werribee City FC,1,2,,
ZN1WMKFSASS20140427,Zagame's NPL 16 West,27/04/2014 3:00:00 AM,3,Knights Stadium - Pitch 2,Melbourne Knights FC,St Albans Saints SC,2,8,,
ZN1WFBBRDS20140427,Zagame's NPL 16 West,27/04/2014 3:30:00 AM,3,Epsom Huntly Recreation Reserve - Pitch 2,FC Bendigo,Ballarat Red Devils SC,3,3,,
ZN1WNGWFMZF20140427,Zagame's NPL 16 West,27/04/2014 3:45:00 AM,3,Elcho Park - Pitch 1,North Geelong Warriors FC,Moreland Zebras FC,0,4,,
ZN1WSASSWRF20140504,Zagame's NPL 16 West,4/05/2014 3:00:00 AM,4,Churchill Reserve - Pitch 1,St Albans Saints SC,Whittlesea Ranges FC,3,3,,
ZN1WWCFHCF20140504,Zagame's NPL 16 West,4/05/2014 3:00:00 AM,4,Galvin Park - Junior 1,Werribee City FC,Hume City FC,2,7,,
ZN1WPVSNGWF20140504,Zagame's NPL 16 West,4/05/2014 3:00:00 AM,4,Hosken Reserve - Pitch 1,Pascoe Vale SC,North Geelong Warriors FC,4,2,,
ZN1WAHSMKF20140504,Zagame's NPL 16 West,4/05/2014 3:30:00 AM,4,Avondale Heights Reserve - Pitch 1,Avondale Heights S.C. ,Melbourne Knights FC,2,8,,
ZN1WSGCSGGS20140504,Zagame's NPL 16 West,4/05/2014 3:45:00 AM,4,Brookside Recreation Reserve - Pitch 1 (S),Sunshine George Cross SC,Green Gully SC,7,2,,
ZN1WMZFFB20140504,Zagame's NPL 16 West,4/05/2014 3:45:00 AM,4,De Chene Reserve - Pitch 1,Moreland Zebras FC,FC Bendigo,2,2,,
ZN1WBRDSBCS20140504,Zagame's NPL 16 West,4/05/2014 4:45:00 AM,4,Morshead Park Stadium - Pitch 2,Ballarat Red Devils SC,Brunswick City SC,9,0,,
ZN1WHCFSGCS20140511,Zagame's NPL 16 West,11/05/2014 2:30:00 AM,5,Broadmeadows Valley Park - Pitch 3 (S),Hume City FC,Sunshine George Cross SC,3,2,,
ZN1WWRFAHS20140511,Zagame's NPL 16 West,11/05/2014 2:45:00 AM,5,Harvest Home Recreation Reserve - Pitch 1 (S),Whittlesea Ranges FC,Avondale Heights S.C. ,10,0,,
ZN1WBCSFB20140511,Zagame's NPL 16 West,11/05/2014 3:00:00 AM,5,Dunstan Reserve - Pitch 1,Brunswick City SC,FC Bendigo,0,5,,
ZN1WGGSBRDS20140511,Zagame's NPL 16 West,11/05/2014 3:00:00 AM,5,Green Gully Reserve - Pitch 2,Green Gully SC,Ballarat Red Devils SC,2,4,,
ZN1WPVSMZF20140511,Zagame's NPL 16 West,11/05/2014 3:00:00 AM,5,Hosken Reserve - Pitch 1,Pascoe Vale SC,Moreland Zebras FC,0,2,,
ZN1WMKFWCF20140511,Zagame's NPL 16 West,11/05/2014 3:00:00 AM,5,Knights Stadium - Pitch 2,Melbourne Knights FC,Werribee City FC,9,2,,
ZN1WNGWFSASS20140511,Zagame's NPL 16 West,11/05/2014 3:45:00 AM,5,Elcho Park - Pitch 1,North Geelong Warriors FC,St Albans Saints SC,3,6,,
ZN1WFBGGS20140517,Zagame's NPL 16 West,17/05/2014 5:15:00 AM,6,Epsom Huntly Recreation Reserve - Pitch 3,FC Bendigo,Green Gully SC,8,1,,
ZN1WSASSPVS20140518,Zagame's NPL 16 West,18/05/2014 3:00:00 AM,6,Churchill Reserve - Pitch 1,St Albans Saints SC,Pascoe Vale SC,3,3,,
ZN1WWCFWRF20140518,Zagame's NPL 16 West,18/05/2014 3:00:00 AM,6,Galvin Park - Junior 1,Werribee City FC,Whittlesea Ranges FC,1,7,,
ZN1WAHSNGWF20140518,Zagame's NPL 16 West,18/05/2014 3:30:00 AM,6,Avondale Heights Reserve - Pitch 1,Avondale Heights S.C. ,North Geelong Warriors FC,1,2,,
ZN1WSGCSMKF20140518,Zagame's NPL 16 West,18/05/2014 3:45:00 AM,6,Brookside Recreation Reserve - Pitch 1 (S),Sunshine George Cross SC,Melbourne Knights FC,2,1,,
ZN1WMZFBCS20140518,Zagame's NPL 16 West,18/05/2014 3:45:00 AM,6,De Chene Reserve - Pitch 1,Moreland Zebras FC,Brunswick City SC,5,0,,
ZN1WBRDSHCF20140518,Zagame's NPL 16 West,18/05/2014 4:45:00 AM,6,Morshead Park Stadium - Pitch 2,Ballarat Red Devils SC,Hume City FC,4,1,,
ZN1WHCFFB20140525,Zagame's NPL 16 West,25/05/2014 1:30:00 AM,7,Broadmeadows Valley Park - Pitch 2,Hume City FC,FC Bendigo,2,3,,
ZN1WMKFBRDS20140525,Zagame's NPL 16 West,25/05/2014 2:00:00 AM,7,Dobson Reserve - Pitch 2,Melbourne Knights FC,Ballarat Red Devils SC,1,6,,
ZN1WWRFSGCS20140525,Zagame's NPL 16 West,25/05/2014 2:45:00 AM,7,Harvest Home Recreation Reserve - Pitch 2,Whittlesea Ranges FC,Sunshine George Cross SC,1,1,,
ZN1WSASSMZF20140525,Zagame's NPL 16 West,25/05/2014 3:00:00 AM,7,Churchill Reserve - Pitch 1,St Albans Saints SC,Moreland Zebras FC,1,1,,
ZN1WGGSBCS20140525,Zagame's NPL 16 West,25/05/2014 3:00:00 AM,7,Green Gully Reserve - Pitch 2,Green Gully SC,Brunswick City SC,6,1,,
ZN1WPVSAHS20140525,Zagame's NPL 16 West,25/05/2014 3:00:00 AM,7,Hosken Reserve - Pitch 1,Pascoe Vale SC,Avondale Heights S.C. ,11,0,,
ZN1WNGWFWCF20140525,Zagame's NPL 16 West,25/05/2014 3:45:00 AM,7,Elcho Park - Pitch 1,North Geelong Warriors FC,Werribee City FC,4,1,,
ZN1WBCSHCF20140601,Zagame's NPL 16 West,1/06/2014 3:00:00 AM,8,Dunstan Reserve - Pitch 2,Brunswick City SC,Hume City FC,1,4,,
ZN1WWCFPVS20140601,Zagame's NPL 16 West,1/06/2014 3:00:00 AM,8,Galvin Park - Junior 1,Werribee City FC,Pascoe Vale SC,0,9,,
ZN1WAHSSASS20140601,Zagame's NPL 16 West,1/06/2014 3:30:00 AM,8,Avondale Heights Reserve - Pitch 1,Avondale Heights S.C. ,St Albans Saints SC,0,16,,
