Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
ZN1EBGSSMF20140406,Zagame's NPL 18 East,6/04/2014 3:00:00 AM,1,Kingston Heath Soccer Complex - Pitch 2 (S),Bentleigh Greens SC,South Melbourne FC,1,1,,
ZN1EKCFOCF20140406,Zagame's NPL 18 East,6/04/2014 4:15:00 AM,1,The Grange Reserve,Kingston City FC,Oakleigh Cannons FC,3,3,,
ZN1EDCSGVSF20140406,Zagame's NPL 18 East,6/04/2014 5:00:00 AM,1,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Goulburn Valley Suns FC,0,1,,
ZN1EFNB1B20140406,Zagame's NPL 18 East,6/04/2014 5:00:00 AM,1,To Be Confirmed,FFV NTC Boys 15s,Bye,,,,
ZN1ESWEFPMSS20140406,Zagame's NPL 18 East,6/04/2014 5:00:00 AM,1,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Port Melbourne Sharks SC,1,0,,
ZN1EBHUSFBL20140406,Zagame's NPL 18 East,6/04/2014 5:15:00 AM,1,East Burwood Reserve,Box Hill United SC,FC Bulleen Lions ,4,2,,
ZN1ENCFHUS20140406,Zagame's NPL 18 East,6/04/2014 5:15:00 AM,1,State Football Centre - Pitch 2 (S),Northcote City FC,Heidelberg United SC,3,2,,
ZN1EDTSRSUN20140406,Zagame's NPL 18 East,6/04/2014 7:00:00 AM,1,George Andrews Reserve - Pitch 1,Dandenong Thunder SC,Richmond SC U18 NPL,1,1,,
ZN1ERSUNBGS20140413,Zagame's NPL 18 East,13/04/2014 2:00:00 AM,2,Kevin Bartlett Reserve - Bastow 1,Richmond SC U18 NPL,Bentleigh Greens SC,1,2,,
ZN1EHUSFNB120140413,Zagame's NPL 18 East,13/04/2014 3:45:00 AM,2,State Football Centre - Pitch 2 (S),Heidelberg United SC,FFV NTC Boys 15s,0,5,,
ZN1EGVSFDTS20140413,Zagame's NPL 18 East,13/04/2014 3:45:00 AM,2,V.E. Vibert Reserve - Pitch 2,Goulburn Valley Suns FC,Dandenong Thunder SC,1,3,,
ZN1EPMSSKCF20140413,Zagame's NPL 18 East,13/04/2014 4:45:00 AM,2,JL Murphy Reserve - SS Anderson Oval - Pitch 1,Port Melbourne Sharks SC,Kingston City FC,6,0,,
ZN1ESMFSWEF20140413,Zagame's NPL 18 East,13/04/2014 5:00:00 AM,2,State Football Centre - Pitch 3 (S),South Melbourne FC,Springvale White Eagles FC,5,2,,
ZN1EBBHUS20140413,Zagame's NPL 18 East,13/04/2014 5:00:00 AM,2,To Be Confirmed,Bye,Box Hill United SC,,,,
ZN1EFBLDCS20140413,Zagame's NPL 18 East,13/04/2014 7:00:00 AM,2,Veneto Club - David Barro Stadium (S),FC Bulleen Lions ,Dandenong City SC,2,1,,
ZN1EOCFNCF20140413,Zagame's NPL 18 East,13/04/2014 7:30:00 AM,2,Jack Edwards Reserve - Pitch 1,Oakleigh Cannons FC,Northcote City FC,1,2,,
ZN1EDTSFBL20140426,Zagame's NPL 18 East,26/04/2014 5:00:00 AM,3,George Andrews Reserve - Pitch 1,Dandenong Thunder SC,FC Bulleen Lions ,3,1,,
ZN1EFNB1OCF20140426,Zagame's NPL 18 East,26/04/2014 5:00:00 AM,3,Jack Edwards Reserve - Pitch 1,FFV NTC Boys 15s,Oakleigh Cannons FC,3,3,,
ZN1EBGSGVSF20140427,Zagame's NPL 18 East,27/04/2014 3:00:00 AM,3,Kingston Heath Soccer Complex - Pitch 2 (S),Bentleigh Greens SC,Goulburn Valley Suns FC,4,2,,
ZN1EDCSBHUS20140427,Zagame's NPL 18 East,27/04/2014 5:00:00 AM,3,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Box Hill United SC,1,5,,
ZN1EHUSB20140427,Zagame's NPL 18 East,27/04/2014 5:00:00 AM,3,Olympic Village - Pitch 1,Heidelberg United SC,Bye,,,,
ZN1ESWEFRSUN20140427,Zagame's NPL 18 East,27/04/2014 5:00:00 AM,3,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Richmond SC U18 NPL,2,8,,
ZN1ENCFPMSS20140427,Zagame's NPL 18 East,27/04/2014 5:15:00 AM,3,State Football Centre - Pitch 2 (S),Northcote City FC,Port Melbourne Sharks SC,2,4,,
ZN1EKCFSMF20140427,Zagame's NPL 18 East,27/04/2014 5:15:00 AM,3,The Grange Reserve,Kingston City FC,South Melbourne FC,1,8,,
