Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
NHUSSMF20140313,NPL ,13/03/2014 8:15:00 AM,1,Olympic Village - Pitch 1,Heidelberg United SC,South Melbourne FC,0,3,,
NPMSSDTS20140314,NPL ,14/03/2014 9:30:00 AM,1,JL Murphy Reserve - SS Anderson Oval - Pitch 1,Port Melbourne Sharks SC,Dandenong Thunder SC,2,2,,
NMKFNCF20140314,NPL ,14/03/2014 9:30:00 AM,1,Knights Stadium - Pitch 1,Melbourne Knights FC,Northcote City FC,3,2,,
NGVSFOCF20140315,NPL ,15/03/2014 8:30:00 AM,1,McEwan Reserve - Pitch 1,Goulburn Valley Suns Fc,Oakleigh Cannons FC,0,1,,
NHCFPVS20140316,NPL ,16/03/2014 4:00:00 AM,1,Broadmeadows Valley Park - Pitch 1,Hume City FC,Pascoe Vale SC,3,0,,
NGGSWCF20140316,NPL ,16/03/2014 4:00:00 AM,1,Green Gully Reserve - Pitch 1,Green Gully SC,Werribee City FC,4,0,,
NPVSMKF20140328,NPL ,28/03/2014 9:30:00 AM,2,Hosken Reserve - Pitch 1,Pascoe Vale SC,Melbourne Knights FC,0,2,,
NPMSSSMF20140328,NPL ,28/03/2014 9:30:00 AM,2,JL Murphy Reserve - SS Anderson Oval - Pitch 1,Port Melbourne Sharks SC,South Melbourne FC,2,3,,
NOCFHUS20140328,NPL ,28/03/2014 9:30:00 AM,2,Jack Edwards Reserve - Pitch 1,Oakleigh Cannons FC,Heidelberg United SC,2,1,,
NGVSFBRDS20140329,NPL ,29/03/2014 7:30:00 AM,2,McEwan Reserve - Pitch 1,Goulburn Valley Suns Fc,Ballarat Red Devils SC,2,3,,
NDTSGGS20140329,NPL ,29/03/2014 8:00:00 AM,2,George Andrews Reserve - Pitch 1,Dandenong Thunder SC,Green Gully SC,1,0,,
NWCFHCF20140330,NPL ,30/03/2014 4:00:00 AM,2,Galvin Park - Pitch 1,Werribee City FC,Hume City FC,2,1,,
NNCFBGS20140330,NPL ,30/03/2014 4:00:00 AM,2,John Cain Memorial Park - Pitch 1,Northcote City FC,Bentleigh Greens SC,2,3,,
NPMSSOCF20140404,NPL ,4/04/2014 9:30:00 AM,3,JL Murphy Reserve - SS Anderson Oval - Pitch 1,Port Melbourne Sharks SC,Oakleigh Cannons FC,2,2,,
NBGSPVS20140404,NPL ,4/04/2014 9:30:00 AM,3,Kingston Heath Soccer Complex - Pitch 1,Bentleigh Greens SC,Pascoe Vale SC,1,1,,
NGGSSMF20140405,NPL ,5/04/2014 4:00:00 AM,3,Green Gully Reserve - Pitch 1,Green Gully SC,South Melbourne FC,3,5,,
NNCFBRDS20140405,NPL ,5/04/2014 4:00:00 AM,3,John Cain Memorial Park - Pitch 1,Northcote City FC,Ballarat Red Devils SC,1,3,,
NDTSHCF20140405,NPL ,5/04/2014 8:00:00 AM,3,George Andrews Reserve - Pitch 1,Dandenong Thunder SC,Hume City FC,1,0,,
