Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
N2MKFNCF20140314,NPL 20s,14/03/2014 7:15:00 AM,1,Knights Stadium - Pitch 1,Melbourne Knights FC,Northcote City FC,2,1,,
N2PMSSDTS20140314,NPL 20s,14/03/2014 7:30:00 AM,1,JL Murphy Reserve - SS Anderson Oval - Pitch 1,Port Melbourne Sharks SC,Dandenong Thunder SC,4,3,,
N2GVSFOCF20140315,NPL 20s,15/03/2014 6:30:00 AM,1,McEwan Reserve - Pitch 1,Goulburn Valley Suns Fc,Oakleigh Cannons FC,1,3,,
N2HCFPVS20140316,NPL 20s,16/03/2014 1:30:00 AM,1,Broadmeadows Valley Park - Pitch 1,Hume City FC,Pascoe Vale SC,1,3,,
N2GGSWCF20140316,NPL 20s,16/03/2014 2:00:00 AM,1,Green Gully Reserve - Pitch 1,Green Gully SC,Werribee City FC,3,0,,
N2HUSSMF20140316,NPL 20s,16/03/2014 5:00:00 AM,1,Olympic Village - Pitch 1,Heidelberg United SC,South Melbourne FC,1,3,,
N2PVSMKF20140328,NPL 20s,28/03/2014 7:30:00 AM,2,Hosken Reserve - Pitch 1,Pascoe Vale SC,Melbourne Knights FC,0,1,,
N2PMSSSMF20140328,NPL 20s,28/03/2014 7:30:00 AM,2,JL Murphy Reserve - SS Anderson Oval - Pitch 1,Port Melbourne Sharks SC,South Melbourne FC,4,3,,
N2OCFHUS20140328,NPL 20s,28/03/2014 7:30:00 AM,2,Jack Edwards Reserve - Pitch 1,Oakleigh Cannons FC,Heidelberg United SC,6,0,,
N2DTSGGS20140329,NPL 20s,29/03/2014 6:00:00 AM,2,George Andrews Reserve - Pitch 1,Dandenong Thunder SC,Green Gully SC,0,3,,
N2NCFBGS20140330,NPL 20s,30/03/2014 1:30:00 AM,2,John Cain Memorial Park - Pitch 1,Northcote City FC,Bentleigh Greens SC,0,0,,
