Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
N2WRFKCF20140314,NPL1 20s,14/03/2014 7:30:00 AM,1,Epping Stadium,Whittlesea Ranges FC,Kingston City FC,4,0,,
N2DCSNGWF20140315,NPL1 20s,15/03/2014 4:00:00 AM,1,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,North Geelong Warriors FC,2,5,,
N2SGCSBCS20140316,NPL1 20s,16/03/2014 2:00:00 AM,1,Chaplin Reserve,Sunshine George Cross SC,Brunswick City SC,3,1,,
N2RSSBHUS20140316,NPL1 20s,16/03/2014 2:00:00 AM,1,Kevin Bartlett Reserve - Bastow 1,Richmond SC Seniors ,Box Hill United SC,4,0,,
N2AHSFB20140316,NPL1 20s,16/03/2014 2:00:00 AM,1,State Football Centre - Pitch 3 (S),Avondale Heights SC,FC Bendigo,2,1,,
N2SWEFSASS20140316,NPL1 20s,16/03/2014 2:00:00 AM,1,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,St Albans Saints SC,3,1,,
N2FBLMZF20140317,NPL1 20s,17/03/2014 7:30:00 AM,1,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Moreland Zebras FC,2,1,,
N2RSSSWEF20140328,NPL1 20s,28/03/2014 7:30:00 AM,2,Kevin Bartlett Reserve - Pitch 1,Richmond SC Seniors ,Springvale White Eagles FC,0,0,,
N2SGCSAHS20140329,NPL1 20s,29/03/2014 2:00:00 AM,2,Chaplin Reserve,Sunshine George Cross SC,Avondale Heights SC,7,1,,
N2BCSDCS20140329,NPL1 20s,29/03/2014 2:00:00 AM,2,Dunstan Reserve - Pitch 1,Brunswick City SC,Dandenong City SC,2,1,,
N2NGWFBHUS20140329,NPL1 20s,29/03/2014 2:00:00 AM,2,Elcho Park - Pitch 1,North Geelong Warriors FC,Box Hill United SC,1,2,,
N2WRFFB20140329,NPL1 20s,29/03/2014 5:00:00 AM,2,Epping Stadium,Whittlesea Ranges FC,FC Bendigo,2,5,,
N2SASSFBL20140330,NPL1 20s,30/03/2014 2:00:00 AM,2,Churchill Reserve - Pitch 1,St Albans Saints SC,FC Bulleen Lions,2,0,,
N2MZFKCF20140330,NPL1 20s,30/03/2014 2:00:00 AM,2,De Chene Reserve - Pitch 1,Moreland Zebras FC,Kingston City FC,5,1,,
N2BHUSDCS20140405,NPL1 20s,5/04/2014 1:45:00 AM,3,Wembley Park,Box Hill United SC,Dandenong City SC,4,5,,
N2AHSBCS20140405,NPL1 20s,5/04/2014 2:00:00 AM,3,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,Brunswick City SC,1,1,,
N2SGCSWRF20140405,NPL1 20s,5/04/2014 2:00:00 AM,3,Chaplin Reserve,Sunshine George Cross SC,Whittlesea Ranges FC,3,0,,
N2SWEFNGWF20140405,NPL1 20s,5/04/2014 2:00:00 AM,3,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,North Geelong Warriors FC,0,3,,
N2FBMZF20140405,NPL1 20s,5/04/2014 5:45:00 AM,3,Tom Flood Sports Centre,FC Bendigo,Moreland Zebras FC,1,2,,
N2KCFSASS20140407,NPL1 20s,7/04/2014 8:30:00 AM,3,The Grange Reserve - Pitch 1,Kingston City FC,St Albans Saints SC,1,0,,
N2FBLRSS20140407,NPL1 20s,7/04/2014 8:30:00 AM,3,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Richmond SC Seniors ,4,2,,
N2WRFAHS20140411,NPL1 20s,11/04/2014 8:30:00 AM,4,Epping Stadium,Whittlesea Ranges FC,Avondale Heights SC,0,2,,
N2RSSKCF20140411,NPL1 20s,11/04/2014 8:30:00 AM,4,Kevin Bartlett Reserve - Pitch 1,Richmond SC Seniors ,Kingston City FC,6,2,,
N2NGWFFBL20140412,NPL1 20s,12/04/2014 3:00:00 AM,4,Elcho Park - Pitch 1,North Geelong Warriors FC,FC Bulleen Lions,0,0,,
N2DCSSWEF20140412,NPL1 20s,12/04/2014 3:00:00 AM,4,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Springvale White Eagles FC,0,2,,
N2SASSFB20140413,NPL1 20s,13/04/2014 3:00:00 AM,4,Churchill Reserve - Pitch 1,St Albans Saints SC,FC Bendigo,4,1,,
N2WRFBCS20140425,NPL1 20s,25/04/2014 8:15:00 AM,5,Epping Stadium,Whittlesea Ranges FC,Brunswick City SC,0,1,,
N2BHUSSWEF20140426,NPL1 20s,26/04/2014 2:45:00 AM,5,Wembley Park,Box Hill United SC,Springvale White Eagles FC,6,0,,
N2AHSMZF20140426,NPL1 20s,26/04/2014 3:00:00 AM,5,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,Moreland Zebras FC,1,0,,
N2SGCSSASS20140426,NPL1 20s,26/04/2014 3:00:00 AM,5,Chaplin Reserve,Sunshine George Cross SC,St Albans Saints SC,2,0,,
N2KCFNGWF20140426,NPL1 20s,26/04/2014 3:00:00 AM,5,The Grange Reserve - Pitch 1,Kingston City FC,North Geelong Warriors FC,2,4,,
N2FBRSS20140426,NPL1 20s,26/04/2014 7:00:00 AM,5,Tom Flood Sports Centre,FC Bendigo,Richmond SC Seniors ,1,7,,
N2FBLDCS20140428,NPL1 20s,28/04/2014 8:30:00 AM,5,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Dandenong City SC,8,0,,
N2RSSSGCS20140502,NPL1 20s,2/05/2014 8:30:00 AM,6,Kevin Bartlett Reserve - Pitch 1,Richmond SC Seniors ,Sunshine George Cross SC,1,1,,
N2BHUSFBL20140503,NPL1 20s,3/05/2014 2:45:00 AM,6,Wembley Park,Box Hill United SC,FC Bulleen Lions,1,2,,
N2MZFWRF20140503,NPL1 20s,3/05/2014 3:00:00 AM,6,De Chene Reserve - Pitch 1,Moreland Zebras FC,Whittlesea Ranges FC,5,1,,
N2BCSSWEF20140503,NPL1 20s,3/05/2014 3:00:00 AM,6,Dunstan Reserve - Pitch 1,Brunswick City SC,Springvale White Eagles FC,3,0,,
N2NGWFFB20140503,NPL1 20s,3/05/2014 3:00:00 AM,6,Elcho Park - Pitch 1,North Geelong Warriors FC,FC Bendigo,5,1,,
N2DCSKCF20140503,NPL1 20s,3/05/2014 3:00:00 AM,6,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Kingston City FC,1,2,,
N2SASSAHS20140504,NPL1 20s,4/05/2014 3:00:00 AM,6,Churchill Reserve - Pitch 1,St Albans Saints SC,Avondale Heights SC,2,3,,
N2WRFSASS20140509,NPL1 20s,9/05/2014 8:30:00 AM,7,Epping Stadium,Whittlesea Ranges FC,St Albans Saints SC,1,5,,
N2SGCSNGWF20140510,NPL1 20s,10/05/2014 2:30:00 AM,7,Chaplin Reserve,Sunshine George Cross SC,North Geelong Warriors FC,1,3,,
N2AHSRSS20140510,NPL1 20s,10/05/2014 3:00:00 AM,7,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,Richmond SC Seniors ,2,2,,
N2FBDCS20140510,NPL1 20s,10/05/2014 7:00:00 AM,7,Tom Flood Sports Centre,FC Bendigo,Dandenong City SC,1,3,,
N2KCFBHUS20140512,NPL1 20s,12/05/2014 8:30:00 AM,7,The Grange Reserve - Pitch 1,Kingston City FC,Box Hill United SC,3,1,,
N2FBLSWEF20140512,NPL1 20s,12/05/2014 8:30:00 AM,7,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Springvale White Eagles FC,5,2,,
N2RSSWRF20140516,NPL1 20s,16/05/2014 8:30:00 AM,8,Kevin Bartlett Reserve - Pitch 1,Richmond SC Seniors ,Whittlesea Ranges FC,3,1,,
N2BCSFBL20140517,NPL1 20s,17/05/2014 3:00:00 AM,8,Dunstan Reserve - Pitch 1,Brunswick City SC,FC Bulleen Lions,2,2,,
N2NGWFAHS20140517,NPL1 20s,17/05/2014 3:00:00 AM,8,Elcho Park - Pitch 1,North Geelong Warriors FC,Avondale Heights SC,2,0,,
N2DCSSGCS20140517,NPL1 20s,17/05/2014 3:00:00 AM,8,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Sunshine George Cross SC,1,8,,
N2SWEFKCF20140517,NPL1 20s,17/05/2014 3:00:00 AM,8,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Kingston City FC,1,5,,
N2BHUSFB20140518,NPL1 20s,18/05/2014 2:45:00 AM,8,Wembley Park,Box Hill United SC,FC Bendigo,5,1,,
N2SASSMZF20140518,NPL1 20s,18/05/2014 3:00:00 AM,8,Churchill Reserve - Pitch 1,St Albans Saints SC,Moreland Zebras FC,3,2,,
N2SGCSBHUS20140524,NPL1 20s,24/05/2014 2:30:00 AM,9,Chaplin Reserve,Sunshine George Cross SC,Box Hill United SC,1,2,,
N2AHSDCS20140524,NPL1 20s,24/05/2014 3:00:00 AM,9,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,Dandenong City SC,2,2,,
N2WRFNGWF20140524,NPL1 20s,24/05/2014 6:00:00 AM,9,Epping Stadium,Whittlesea Ranges FC,North Geelong Warriors FC,0,2,,
N2FBSWEF20140524,NPL1 20s,24/05/2014 7:00:00 AM,9,Tom Flood Sports Centre,FC Bendigo,Springvale White Eagles FC,2,3,,
N2SASSBCS20140525,NPL1 20s,25/05/2014 3:00:00 AM,9,Churchill Reserve - Pitch 1,St Albans Saints SC,Brunswick City SC,1,2,,
N2MZFRSS20140525,NPL1 20s,25/05/2014 3:00:00 AM,9,De Chene Reserve - Pitch 1,Moreland Zebras FC,Richmond SC Seniors ,1,2,,
N2KCFFBL20140526,NPL1 20s,26/05/2014 8:30:00 AM,9,The Grange Reserve - Pitch 1,Kingston City FC,FC Bulleen Lions,1,3,,
N2RSSSASS20140530,NPL1 20s,30/05/2014 8:30:00 AM,10,Kevin Bartlett Reserve - Pitch 1,Richmond SC Seniors ,St Albans Saints SC,1,0,,
N2AHSBHUS20140531,NPL1 20s,31/05/2014 3:00:00 AM,10,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,Box Hill United SC,1,5,,
N2BCSKCF20140531,NPL1 20s,31/05/2014 3:00:00 AM,10,Dunstan Reserve - Pitch 1,Brunswick City SC,Kingston City FC,3,0,,
N2NGWFMZF20140531,NPL1 20s,31/05/2014 3:00:00 AM,10,Elcho Park - Pitch 1,North Geelong Warriors FC,Moreland Zebras FC,2,3,,
N2DCSWRF20140531,NPL1 20s,31/05/2014 3:00:00 AM,10,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Whittlesea Ranges FC,4,0,,
N2SWEFSGCS20140531,NPL1 20s,31/05/2014 3:00:00 AM,10,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Sunshine George Cross SC,2,2,,
N2FBLFB20140531,NPL1 20s,31/05/2014 5:00:00 AM,10,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,FC Bendigo,9,2,,
N2MZFSGCS20140603,NPL1 20s,3/06/2014 10:00:00 AM,4,State Football Centre - Pitch 2 (S),Moreland Zebras FC,Sunshine George Cross SC,4,1,,
N2WRFBHUS20140606,NPL1 20s,6/06/2014 8:30:00 AM,11,Epping Stadium,Whittlesea Ranges FC,Box Hill United SC,2,3,,
N2RSSBCS20140606,NPL1 20s,6/06/2014 8:30:00 AM,11,Kevin Bartlett Reserve - Pitch 1,Richmond SC Seniors ,Brunswick City SC,1,1,,
N2SGCSFBL20140607,NPL1 20s,7/06/2014 2:30:00 AM,11,Chaplin Reserve,Sunshine George Cross SC,FC Bulleen Lions,1,3,,
N2AHSSWEF20140607,NPL1 20s,7/06/2014 3:00:00 AM,11,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,Springvale White Eagles FC,2,1,,
N2KCFFB20140607,NPL1 20s,7/06/2014 7:00:00 AM,11,The Grange Reserve,Kingston City FC,FC Bendigo,5,1,,
N2SASSNGWF20140608,NPL1 20s,8/06/2014 3:00:00 AM,11,Churchill Reserve - Pitch 1,St Albans Saints SC,North Geelong Warriors FC,1,1,,
N2MZFDCS20140608,NPL1 20s,8/06/2014 3:00:00 AM,11,State Football Centre - Pitch 1 (S),Moreland Zebras FC,Dandenong City SC,0,1,,
N2BCSBHUS20140609,NPL1 20s,9/06/2014 1:00:00 AM,4,Dunstan Reserve - Pitch 1,Brunswick City SC,Box Hill United SC,1,4,,
N2DCSSASS20140614,NPL1 20s,14/06/2014 2:45:00 AM,12,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,St Albans Saints SC,2,2,,
N2BHUSMZF20140614,NPL1 20s,14/06/2014 2:45:00 AM,12,Wembley Park,Box Hill United SC,Moreland Zebras FC,1,1,,
N2NGWFRSS20140614,NPL1 20s,14/06/2014 3:00:00 AM,12,Elcho Park - Pitch 1,North Geelong Warriors FC,Richmond SC Seniors ,3,2,,
N2SWEFWRF20140614,NPL1 20s,14/06/2014 3:00:00 AM,12,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Whittlesea Ranges FC,2,0,,
N2FBBCS20140614,NPL1 20s,14/06/2014 7:00:00 AM,12,Tom Flood Sports Centre,FC Bendigo,Brunswick City SC,2,5,,
N2KCFSGCS20140616,NPL1 20s,16/06/2014 8:30:00 AM,12,The Grange Reserve - Pitch 1,Kingston City FC,Sunshine George Cross SC,3,0,,
N2FBLAHS20140616,NPL1 20s,16/06/2014 8:30:00 AM,12,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Avondale Heights SC,1,0,,
N2WRFFBL20140620,NPL1 20s,20/06/2014 8:30:00 AM,13,Epping Stadium,Whittlesea Ranges FC,FC Bulleen Lions,1,11,,
N2RSSDCS20140620,NPL1 20s,20/06/2014 8:30:00 AM,13,Kevin Bartlett Reserve - Pitch 1,Richmond SC Seniors ,Dandenong City SC,6,2,,
N2SGCSFB20140621,NPL1 20s,21/06/2014 2:30:00 AM,13,Chaplin Reserve,Sunshine George Cross SC,FC Bendigo,2,0,,
N2AHSKCF20140621,NPL1 20s,21/06/2014 3:00:00 AM,13,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,Kingston City FC,1,0,,
N2BCSNGWF20140621,NPL1 20s,21/06/2014 3:00:00 AM,13,Dunstan Reserve - Pitch 1,Brunswick City SC,North Geelong Warriors FC,3,0,,
N2SWEFMZF20140621,NPL1 20s,21/06/2014 3:00:00 AM,13,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Moreland Zebras FC,2,4,,
N2SASSBHUS20140622,NPL1 20s,22/06/2014 3:00:00 AM,13,Churchill Reserve - Pitch 1,St Albans Saints SC,Box Hill United SC,1,1,,
N2BHUSRSS20140628,NPL1 20s,28/06/2014 2:45:00 AM,14,Wembley Park,Box Hill United SC,Richmond SC Seniors ,0,4,,
N2BCSSGCS20140628,NPL1 20s,28/06/2014 3:00:00 AM,14,Dunstan Reserve - Pitch 1,Brunswick City SC,Sunshine George Cross SC,3,0,,
N2NGWFDCS20140628,NPL1 20s,28/06/2014 3:00:00 AM,14,Elcho Park - Pitch 1,North Geelong Warriors FC,Dandenong City SC,4,1,,
N2FBAHS20140628,NPL1 20s,28/06/2014 6:00:00 AM,14,Tom Flood Sports Centre,FC Bendigo,Avondale Heights SC,1,3,,
N2MZFFBL20140629,NPL1 20s,29/06/2014 3:00:00 AM,14,B.T. Connor Reserve - Pitch 1,Moreland Zebras FC,FC Bulleen Lions,2,6,,
N2SASSSWEF20140629,NPL1 20s,29/06/2014 3:00:00 AM,14,Churchill Reserve - Pitch 1,St Albans Saints SC,Springvale White Eagles FC,3,2,,
N2KCFWRF20140630,NPL1 20s,30/06/2014 8:30:00 AM,14,The Grange Reserve,Kingston City FC,Whittlesea Ranges FC,1,4,,
N2BHUSNGWF20140705,NPL1 20s,5/07/2014 2:45:00 AM,15,Wembley Park,Box Hill United SC,North Geelong Warriors FC,0,2,,
N2AHSSGCS20140705,NPL1 20s,5/07/2014 3:00:00 AM,15,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,Sunshine George Cross SC,1,3,,
N2DCSBCS20140705,NPL1 20s,5/07/2014 3:00:00 AM,15,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Brunswick City SC,0,8,,
N2SWEFRSS20140705,NPL1 20s,5/07/2014 3:00:00 AM,15,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Richmond SC Seniors ,1,1,,
N2FBWRF20140705,NPL1 20s,5/07/2014 6:00:00 AM,15,Tom Flood Sports Centre,FC Bendigo,Whittlesea Ranges FC,2,1,,
N2KCFMZF20140707,NPL1 20s,7/07/2014 8:30:00 AM,15,The Grange Reserve,Kingston City FC,Moreland Zebras FC,2,0,,
N2FBLSASS20140707,NPL1 20s,7/07/2014 8:30:00 AM,15,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,St Albans Saints SC,6,0,,
N2WRFSGCS20140711,NPL1 20s,11/07/2014 8:30:00 AM,16,Epping Stadium,Whittlesea Ranges FC,Sunshine George Cross SC,0,3,,
N2RSSFBL20140711,NPL1 20s,11/07/2014 8:30:00 AM,16,Kevin Bartlett Reserve - Pitch 1,Richmond SC Seniors ,FC Bulleen Lions,1,0,,
N2NGWFSWEF20140712,NPL1 20s,12/07/2014 3:00:00 AM,16,Elcho Park - Pitch 1,North Geelong Warriors FC,Springvale White Eagles FC,4,0,,
N2DCSBHUS20140712,NPL1 20s,12/07/2014 3:00:00 AM,16,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Box Hill United SC,0,14,,
N2SASSKCF20140713,NPL1 20s,13/07/2014 3:00:00 AM,16,Churchill Reserve - Pitch 1,St Albans Saints SC,Kingston City FC,0,2,,
N2MZFBCS20140716,NPL1 20s,16/07/2014 10:00:00 AM,7,State Football Centre - Pitch 3 (S),Moreland Zebras FC,Brunswick City SC,1,1,,
N2SGCSMZF20140719,NPL1 20s,19/07/2014 2:30:00 AM,17,Chaplin Reserve,Sunshine George Cross SC,Moreland Zebras FC,2,2,,
N2BHUSBCS20140719,NPL1 20s,19/07/2014 2:45:00 AM,17,Wembley Park,Box Hill United SC,Brunswick City SC,3,0,,
N2AHSWRF20140719,NPL1 20s,19/07/2014 3:00:00 AM,17,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,Whittlesea Ranges FC,5,2,,
N2SWEFDCS20140719,NPL1 20s,19/07/2014 3:00:00 AM,17,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Dandenong City SC,3,0,,
N2FBLNGWF20140719,NPL1 20s,19/07/2014 5:00:00 AM,17,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,North Geelong Warriors FC,2,1,,
N2FBSASS20140719,NPL1 20s,19/07/2014 6:00:00 AM,17,Epsom Huntly Recreation Reserve - Pitch 6 (S),FC Bendigo,St Albans Saints SC,2,0,,
N2KCFRSS20140721,NPL1 20s,21/07/2014 8:30:00 AM,17,The Grange Reserve,Kingston City FC,Richmond SC Seniors ,0,1,,
N2MZFAHS20140726,NPL1 20s,26/07/2014 3:00:00 AM,18,Clifton Park (S),Moreland Zebras FC,Avondale Heights SC,4,2,,
N2BCSWRF20140726,NPL1 20s,26/07/2014 3:00:00 AM,18,Dunstan Reserve - Pitch 1,Brunswick City SC,Whittlesea Ranges FC,3,0,,
N2NGWFKCF20140726,NPL1 20s,26/07/2014 3:00:00 AM,18,Elcho Park - Pitch 1,North Geelong Warriors FC,Kingston City FC,4,0,,
N2DCSFBL20140726,NPL1 20s,26/07/2014 3:00:00 AM,18,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,FC Bulleen Lions,0,4,,
N2SWEFBHUS20140726,NPL1 20s,26/07/2014 3:00:00 AM,18,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Box Hill United SC,1,4,,
N2SASSSGCS20140727,NPL1 20s,27/07/2014 3:00:00 AM,18,Churchill Reserve - Pitch 1,St Albans Saints SC,Sunshine George Cross SC,0,2,,
N2RSSFB20140727,NPL1 20s,27/07/2014 4:00:00 AM,18,Kevin Bartlett Reserve - Bastow 1,Richmond SC Seniors ,FC Bendigo,2,0,,
N2WRFMZF20140801,NPL1 20s,1/08/2014 8:30:00 AM,19,Epping Stadium,Whittlesea Ranges FC,Moreland Zebras FC,1,1,,
N2SGCSRSS20140802,NPL1 20s,2/08/2014 2:30:00 AM,19,Chaplin Reserve,Sunshine George Cross SC,Richmond SC Seniors ,1,2,,
N2FBNGWF20140802,NPL1 20s,2/08/2014 3:00:00 AM,19,Truscott Reserve,FC Bendigo,North Geelong Warriors FC,3,1,,
N2SWEFBCS20140802,NPL1 20s,2/08/2014 3:00:00 AM,19,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,Brunswick City SC,3,1,,
N2KCFDCS20140804,NPL1 20s,4/08/2014 8:30:00 AM,19,The Grange Reserve,Kingston City FC,Dandenong City SC,3,0,,
N2FBLBHUS20140804,NPL1 20s,4/08/2014 8:30:00 AM,19,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Box Hill United SC,3,0,,
N2RSSAHS20140808,NPL1 20s,8/08/2014 8:30:00 AM,20,Kevin Bartlett Reserve - Bastow 1,Richmond SC Seniors ,Avondale Heights SC,0,1,,
N2BCSMZF20140809,NPL1 20s,9/08/2014 3:00:00 AM,20,Dunstan Reserve - Pitch 1,Brunswick City SC,Moreland Zebras FC,1,1,,
N2NGWFSGCS20140809,NPL1 20s,9/08/2014 3:00:00 AM,20,Elcho Park - Pitch 1,North Geelong Warriors FC,Sunshine George Cross SC,3,0,,
N2DCSFB20140809,NPL1 20s,9/08/2014 3:00:00 AM,20,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,FC Bendigo,4,3,,
N2SWEFFBL20140809,NPL1 20s,9/08/2014 3:00:00 AM,20,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,FC Bulleen Lions,1,3,,
N2BHUSKCF20140810,NPL1 20s,10/08/2014 2:45:00 AM,20,Wembley Park,Box Hill United SC,Kingston City FC,0,2,,
N2SASSWRF20140810,NPL1 20s,10/08/2014 3:00:00 AM,20,Churchill Reserve - Pitch 1,St Albans Saints SC,Whittlesea Ranges FC,1,0,,
N2WRFRSS20140815,NPL1 20s,15/08/2014 8:30:00 AM,21,Epping Stadium,Whittlesea Ranges FC,Richmond SC Seniors ,3,0,,
N2SGCSDCS20140816,NPL1 20s,16/08/2014 2:30:00 AM,21,Chaplin Reserve,Sunshine George Cross SC,Dandenong City SC,8,0,,
N2AHSNGWF20140816,NPL1 20s,16/08/2014 3:00:00 AM,21,Avondale Heights Reserve - Pitch 1,Avondale Heights SC,North Geelong Warriors FC,1,1,,
N2MZFSASS20140816,NPL1 20s,16/08/2014 3:00:00 AM,21,Clifton Park (S),Moreland Zebras FC,St Albans Saints SC,0,2,,
N2FBBHUS20140816,NPL1 20s,16/08/2014 3:00:00 AM,21,Truscott Reserve,FC Bendigo,Box Hill United SC,1,2,,
N2KCFSWEF20140818,NPL1 20s,18/08/2014 8:30:00 AM,21,The Grange Reserve,Kingston City FC,Springvale White Eagles FC,1,2,,
N2FBLBCS20140818,NPL1 20s,18/08/2014 8:30:00 AM,21,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Brunswick City SC,8,1,,
N2RSSMZF20140822,NPL1 20s,22/08/2014 8:30:00 AM,22,Kevin Bartlett Reserve - Bastow 1,Richmond SC Seniors ,Moreland Zebras FC,0,1,,
N2BHUSSGCS20140823,NPL1 20s,23/08/2014 2:45:00 AM,22,Wembley Park,Box Hill United SC,Sunshine George Cross SC,0,1,,
N2BCSSASS20140823,NPL1 20s,23/08/2014 3:00:00 AM,22,Dunstan Reserve - Pitch 1,Brunswick City SC,St Albans Saints SC,1,4,,
N2NGWFWRF20140823,NPL1 20s,23/08/2014 3:00:00 AM,22,Elcho Park - Pitch 1,North Geelong Warriors FC,Whittlesea Ranges FC,1,1,,
N2DCSAHS20140823,NPL1 20s,23/08/2014 3:00:00 AM,22,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,Avondale Heights SC,0,5,,
N2SWEFFB20140823,NPL1 20s,23/08/2014 3:00:00 AM,22,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,FC Bendigo,3,0,,
N2FBLKCF20140825,NPL1 20s,25/08/2014 8:30:00 AM,22,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Kingston City FC,1,2,,
N2AHSSASS20140826,NPL1 20s,26/08/2014 10:00:00 AM,19,State Football Centre - Pitch 3 (S),Avondale Heights SC,St Albans Saints SC,1,3,,
N2MZFFB20140830,NPL1 20s,30/08/2014 3:00:00 AM,Catch-Up Round 2,De Chene Reserve - Pitch 1,Moreland Zebras FC,FC Bendigo,4,1,,
N2BCSAHS20140830,NPL1 20s,30/08/2014 3:00:00 AM,Catch-Up Round 2,Dunstan Reserve - Pitch 1,Brunswick City SC,Avondale Heights SC,1,2,,
N2WRFDCS20140905,NPL1 20s,5/09/2014 8:30:00 AM,23,Epping Stadium,Whittlesea Ranges FC,Dandenong City SC,3,2,,
N2SGCSSWEF20140906,NPL1 20s,6/09/2014 2:30:00 AM,23,Chaplin Reserve,Sunshine George Cross SC,Springvale White Eagles FC,8,0,,
N2BHUSAHS20140906,NPL1 20s,6/09/2014 2:45:00 AM,23,Wembley Park,Box Hill United SC,Avondale Heights SC,1,3,,
N2FBFBL20140906,NPL1 20s,6/09/2014 6:00:00 AM,23,Epsom Huntly Recreation Reserve - Pitch 6 (S),FC Bendigo,FC Bulleen Lions,1,6,,
N2SASSRSS20140907,NPL1 20s,7/09/2014 3:00:00 AM,23,Churchill Reserve - Pitch 1,St Albans Saints SC,Richmond SC Seniors ,0,3,,
N2MZFNGWF20140907,NPL1 20s,7/09/2014 3:00:00 AM,23,De Chene Reserve - Pitch 1,Moreland Zebras FC,North Geelong Warriors FC,1,3,,
N2KCFBCS20140908,NPL1 20s,8/09/2014 8:30:00 AM,23,The Grange Reserve,Kingston City FC,Brunswick City SC,4,1,,
N2BHUSWRF20140913,NPL1 20s,13/09/2014 2:45:00 AM,24,Wembley Park,Box Hill United SC,Whittlesea Ranges FC,2,1,,
