Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
NWRFKCF20140314,NPL1,14/03/2014 9:30:00 AM,1,Epping Stadium,Whittlesea Ranges FC,Kingston City FC,2,3,,
NDCSNGWF20140315,NPL1,15/03/2014 6:00:00 AM,1,Frank Holohan Soccer Complex - Pitch 1,Dandenong City SC,North Geelong Warriors FC,1,2,,
NSGCSBCS20140316,NPL1,16/03/2014 4:00:00 AM,1,Chaplin Reserve,Sunshine George Cross SC,Brunswick City SC,2,0,,
NAHSFB20140316,NPL1,16/03/2014 4:00:00 AM,1,State Football Centre - Pitch 3 (S),Avondale Heights SC,FC Bendigo,3,2,,
NSWEFSASS20140316,NPL1,16/03/2014 4:00:00 AM,1,White Eagles Stadium - Pitch 1,Springvale White Eagles FC,St Albans Saints SC,3,5,,
NRSSBHUS20140316,NPL1,16/03/2014 4:15:00 AM,1,Kevin Bartlett Reserve - Bastow 1,Richmond SC Seniors ,Box Hill United SC,1,4,,
NFBLMZF20140317,NPL1,17/03/2014 9:30:00 AM,1,Veneto Club - David Barro Stadium (S),FC Bulleen Lions,Moreland Zebras FC,2,0,,
NRSSSWEF20140328,NPL1,28/03/2014 9:30:00 AM,2,Kevin Bartlett Reserve - Pitch 1,Richmond SC Seniors ,Springvale White Eagles FC,1,0,,
NSGCSAHS20140329,NPL1,29/03/2014 4:00:00 AM,2,Chaplin Reserve,Sunshine George Cross SC,Avondale Heights SC,1,0,,
NBCSDCS20140329,NPL1,29/03/2014 4:00:00 AM,2,Dunstan Reserve - Pitch 1,Brunswick City SC,Dandenong City SC,3,4,,
NNGWFBHUS20140329,NPL1,29/03/2014 4:00:00 AM,2,Elcho Park - Pitch 1,North Geelong Warriors FC,Box Hill United SC,0,1,,
NWRFFB20140329,NPL1,29/03/2014 7:00:00 AM,2,Epping Stadium,Whittlesea Ranges FC,FC Bendigo,2,1,,
NSASSFBL20140330,NPL1,30/03/2014 4:00:00 AM,2,Churchill Reserve - Pitch 1,St Albans Saints SC,FC Bulleen Lions,1,2,,
