Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
AIAVitalityBoysSaturdayEastRed7AGUSYS20150411,AIA Vitality Boys' Saturday East Red 7,10/04/2015 11:00:00 PM,Round 1,Warner Reserve - SSF 1 (U9) Ashburton,Ashburton Gold U7,South Yarra SC,,,,
AIAVitalityBoysSaturdayEastRed7ARAAF20150411,AIA Vitality Boys' Saturday East Red 7,10/04/2015 11:00:00 PM,Round 1,Warner Reserve - SSF 2 (U9) Ashburton,Ashburton Red,Aston Athletic FC,,,,
AIAVitalityBoysSaturdayEastRed7ABAAFR20150411,AIA Vitality Boys' Saturday East Red 7,10/04/2015 11:00:00 PM,Round 1,Warner Reserve - SSF 2 (U9) Ashburton,Ashburton Blue,Aston Athletic FC Red,,,,
AIAVitalityBoysSaturdayEastRed7AGOMSG20150411,AIA Vitality Boys' Saturday East Red 7,10/04/2015 11:00:00 PM,Round 1,Warner Reserve - SSF 3 (U9) Ashburton,Ashburton Green,Old Melburnians SC Green,,,,
AIAVitalityBoysSaturdayEastRed7AAFRAGU20150418,AIA Vitality Boys' Saturday East Red 7,17/04/2015 11:00:00 PM,Round 2,Rowville Football Centre Rowville Secondary College Eastern Campus (S),Aston Athletic FC Red,Ashburton Gold U7,,,,
AIAVitalityBoysSaturdayEastRed7AAFAG20150418,AIA Vitality Boys' Saturday East Red 7,17/04/2015 11:00:00 PM,Round 2,Rowville Football Centre Rowville Secondary College Eastern Campus (S),Aston Athletic FC,Ashburton Green,,,,
AIAVitalityBoysSaturdayEastRed7OMSRAR20150418,AIA Vitality Boys' Saturday East Red 7,17/04/2015 11:30:00 PM,Round 2,Robert Menzies Reserve,Old Melburnians SC Red,Ashburton Red,,,,
AIAVitalityBoysSaturdayEastRed7OMSGAB20150418,AIA Vitality Boys' Saturday East Red 7,17/04/2015 11:30:00 PM,Round 2,Robert Menzies Reserve,Old Melburnians SC Green,Ashburton Blue,,,,
AIAVitalityBoysSaturdayEastRed7ARSYS20150425,AIA Vitality Boys' Saturday East Red 7,24/04/2015 11:00:00 PM,Round 3,Warner Reserve - SSF 1 (U9) Ashburton,Ashburton Red,South Yarra SC,,,,
AIAVitalityBoysSaturdayEastRed7AGOMSR20150425,AIA Vitality Boys' Saturday East Red 7,24/04/2015 11:00:00 PM,Round 3,Warner Reserve - SSF 2 (U9) Ashburton,Ashburton Green,Old Melburnians SC Red,,,,
