Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
AIAVitalityBoysSundayEast10WallabiesMUFSNCJFT20150412,AIA Vitality Boys' Sunday East 10 Wallabies,11/04/2015 11:00:00 PM,Round 1,Mazenod College - Main Gate (S),Mazenod United FC Silver,North Caulfield Junior FC Tigers,,,,
AIAVitalityBoysSundayEast10WallabiesMCFBSMF20150412,AIA Vitality Boys' Sunday East 10 Wallabies,12/04/2015 12:00:00 AM,Round 1,Argyle Reserve,Monash City FC Black,South Melbourne FC,,,,
AIAVitalityBoysSundayEast10WallabiesAGKUS20150412,AIA Vitality Boys' Sunday East 10 Wallabies,12/04/2015 12:00:00 AM,Round 1,Warner Reserve - SSF 5 (U11) Ashburton,Ashburton Green,Knox United SC,,,,
AIAVitalityBoysSundayEast10WallabiesMWCSMWCSR20150412,AIA Vitality Boys' Sunday East 10 Wallabies,12/04/2015 12:00:00 AM,Round 1,Gardiners Creek Reserve - Pitch 3,Mount Waverley City SC,Mount Waverley City SC Red,,,,
AIAVitalityBoysSundayEast10WallabiesMUFBNCF20150412,AIA Vitality Boys' Sunday East 10 Wallabies,12/04/2015 1:00:00 AM,Round 1,Mazenod College - Main Gate (S),Mazenod United FC Blue,Nunawading City FC,,,,
AIAVitalityBoysSundayEast10WallabiesNCJFTMUFB20150419,AIA Vitality Boys' Sunday East 10 Wallabies,18/04/2015 11:00:00 PM,Round 2,Caulfield Park - Pitch 5,North Caulfield Junior FC Tigers,Mazenod United FC Blue,,,,
AIAVitalityBoysSundayEast10WallabiesNCFMCFB20150419,AIA Vitality Boys' Sunday East 10 Wallabies,19/04/2015 12:00:00 AM,Round 2,Mahoneys Reserve,Nunawading City FC,Monash City FC Black,,,,
AIAVitalityBoysSundayEast10WallabiesMWCSRAG20150419,AIA Vitality Boys' Sunday East 10 Wallabies,19/04/2015 12:00:00 AM,Round 2,Gardiners Creek Reserve - Pitch 1,Mount Waverley City SC Red,Ashburton Green,,,,
AIAVitalityBoysSundayEast10WallabiesKUSMUFS20150419,AIA Vitality Boys' Sunday East 10 Wallabies,19/04/2015 12:00:00 AM,Round 2,Park Ridge Reserve - Junior ,Knox United SC,Mazenod United FC Silver,,,,
AIAVitalityBoysSundayEast10WallabiesSMFWPWU1J20150419,AIA Vitality Boys' Sunday East 10 Wallabies,19/04/2015 12:00:00 AM,Round 2,Princes Park Caulfield - SSF 1,South Melbourne FC,Wonga Park Wizards Under 10 Joeys,,,,
AIAVitalityBoysSundayEast10WallabiesMUFBMUFS20150426,AIA Vitality Boys' Sunday East 10 Wallabies,25/04/2015 11:00:00 PM,Round 3,Mazenod College - Main Gate (S),Mazenod United FC Blue,Mazenod United FC Silver,,,,
AIAVitalityBoysSundayEast10WallabiesWPWU1JNCF20150426,AIA Vitality Boys' Sunday East 10 Wallabies,25/04/2015 11:00:00 PM,Round 3,Wonga Park Reserve - Junior 2,Wonga Park Wizards Under 10 Joeys,Nunawading City FC,,,,
AIAVitalityBoysSundayEast10WallabiesMCFBNCJFT20150426,AIA Vitality Boys' Sunday East 10 Wallabies,26/04/2015 12:00:00 AM,Round 3,Argyle Reserve,Monash City FC Black,North Caulfield Junior FC Tigers,,,,
AIAVitalityBoysSundayEast10WallabiesMWCSRKUS20150426,AIA Vitality Boys' Sunday East 10 Wallabies,26/04/2015 12:00:00 AM,Round 3,Gardiners Creek Reserve - Pitch 1,Mount Waverley City SC Red,Knox United SC,,,,
AIAVitalityBoysSundayEast10WallabiesMWCSSMF20150426,AIA Vitality Boys' Sunday East 10 Wallabies,26/04/2015 12:00:00 AM,Round 3,Gardiners Creek Reserve - Pitch 1,Mount Waverley City SC,South Melbourne FC,,,,
AIAVitalityBoysSundayEast10WallabiesNCFMWCS20150510,AIA Vitality Boys' Sunday East 10 Wallabies,9/05/2015 11:00:00 PM,Round 4,Mahoneys Reserve,Nunawading City FC,Mount Waverley City SC,,,,
AIAVitalityBoysSundayEast10WallabiesMUFSMCFB20150510,AIA Vitality Boys' Sunday East 10 Wallabies,9/05/2015 11:00:00 PM,Round 4,Mazenod College - Main Gate (S),Mazenod United FC Silver,Monash City FC Black,,,,
AIAVitalityBoysSundayEast10WallabiesPMSSAG20150510,AIA Vitality Boys' Sunday East 10 Wallabies,9/05/2015 11:00:00 PM,Round 4,JL Murphy Reserve - SS Anderson Oval - Pitch 1,Port Melbourne Sharks SC,Ashburton Green,,,,
AIAVitalityBoysSundayEast10WallabiesKUSMUFB20150510,AIA Vitality Boys' Sunday East 10 Wallabies,9/05/2015 11:00:00 PM,Round 4,Park Ridge Reserve - Junior ,Knox United SC,Mazenod United FC Blue,,,,
AIAVitalityBoysSundayEast10WallabiesMCFRMWCSR20150510,AIA Vitality Boys' Sunday East 10 Wallabies,10/05/2015 12:00:00 AM,Round 4,Argyle Reserve,Monash City FC Red,Mount Waverley City SC Red,,,,
AIAVitalityBoysSundayEast10WallabiesMWCSNCJFT20150517,AIA Vitality Boys' Sunday East 10 Wallabies,17/05/2015 12:00:00 AM,Round 5,Gardiners Creek Reserve - Pitch 2,Mount Waverley City SC,North Caulfield Junior FC Tigers,,,,
AIAVitalityBoysSundayEast10WallabiesMCFBMUFB20150517,AIA Vitality Boys' Sunday East 10 Wallabies,17/05/2015 12:00:00 AM,Round 5,Argyle Reserve,Monash City FC Black,Mazenod United FC Blue,,,,
AIAVitalityBoysSundayEast10WallabiesMWCSRPMSS20150517,AIA Vitality Boys' Sunday East 10 Wallabies,17/05/2015 12:00:00 AM,Round 5,Gardiners Creek Reserve - Pitch 2,Mount Waverley City SC Red,Port Melbourne Sharks SC,,,,
AIAVitalityBoysSundayEast10WallabiesAGNCF20150517,AIA Vitality Boys' Sunday East 10 Wallabies,17/05/2015 12:00:00 AM,Round 5,Warner Reserve - SSF 5 (U11) Ashburton,Ashburton Green,Nunawading City FC,,,,
