Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SportsmartBoysEast13BBEFAR20150412,Sportsmart Boys' East 13B,12/04/2015 1:20:00 AM,Round 1,Macleay Park - Pitch 1 North,Boroondara Eagles FC,Ashburton Red,0,8,,
SportsmartBoysEast13BWUSMUF20150412,Sportsmart Boys' East 13B,12/04/2015 1:20:00 AM,Round 1,Terrara Park,Whitehorse United SC,Mazenod United FC,1,2,,
SportsmartBoysEast13BWPWU1WVF20150412,Sportsmart Boys' East 13B,12/04/2015 1:20:00 AM,Round 1,Wonga Park Reserve - Junior 1,Wonga Park Wizards Under 13B,Waverley Victory FC,1,1,,
SportsmartBoysEast13BARSYS20150419,Sportsmart Boys' East 13B,19/04/2015 1:20:00 AM,Round 2,Watson Park - Junior,Ashburton Red,South Yarra SC,4,1,,
SportsmartBoysEast13BEKJFWUS20150419,Sportsmart Boys' East 13B,19/04/2015 1:20:00 AM,Round 2,Hislop Reserve - Junior 1,East Kew Junior FC,Whitehorse United SC,2,1,,
SportsmartBoysEast13BMUFWPWU120150419,Sportsmart Boys' East 13B,19/04/2015 1:20:00 AM,Round 2,Mazenod College - Main Gate (S),Mazenod United FC,Wonga Park Wizards Under 13B,1,5,,
SportsmartBoysEast13BWVFBEF20150419,Sportsmart Boys' East 13B,19/04/2015 2:45:00 AM,Round 2,Brandon Park Reserve - Pitch 1,Waverley Victory FC,Boroondara Eagles FC,1,1,,
SportsmartBoysEast13BWVFAR20150426,Sportsmart Boys' East 13B,26/04/2015 1:20:00 AM,Round 3,Brandon Park Reserve - Pitch 1,Waverley Victory FC,Ashburton Red,1,1,,
SportsmartBoysEast13BBEFMUF20150426,Sportsmart Boys' East 13B,26/04/2015 1:20:00 AM,Round 3,Macleay Park - Pitch 1 North,Boroondara Eagles FC,Mazenod United FC,1,7,,
SportsmartBoysEast13BMCFSYS20150426,Sportsmart Boys' East 13B,26/04/2015 1:20:00 AM,Round 3,Caloola Reserve,Monash City FC,South Yarra SC,3,0,,
SportsmartBoysEast13BWPWU1EKJF20150426,Sportsmart Boys' East 13B,26/04/2015 1:20:00 AM,Round 3,Wonga Park Reserve - Junior 1,Wonga Park Wizards Under 13B,East Kew Junior FC,2,6,,
SportsmartBoysEast13BEKJFMCF20150503,Sportsmart Boys' East 13B,3/05/2015 1:20:00 AM,Catch Up Round,Hislop Reserve - Junior 2,East Kew Junior FC,Monash City FC,0,3,,
SportsmartBoysEast13BWVFMUF20150510,Sportsmart Boys' East 13B,10/05/2015 12:10:00 AM,Round 4,Brandon Park Reserve - Pitch 1,Waverley Victory FC,Mazenod United FC,1,0,,
SportsmartBoysEast13BARMCF20150510,Sportsmart Boys' East 13B,10/05/2015 12:10:00 AM,Round 4,Watson Park - Junior,Ashburton Red,Monash City FC,0,1,,
SportsmartBoysEast13BEKJFBEF20150510,Sportsmart Boys' East 13B,10/05/2015 1:20:00 AM,Round 4,Hislop Reserve - Junior 1,East Kew Junior FC,Boroondara Eagles FC,4,1,,
SportsmartBoysEast13BSYSWUS20150510,Sportsmart Boys' East 13B,10/05/2015 1:20:00 AM,Round 4,Fawkner Park North Pavilion - Pitch 2 (Soccer 8),South Yarra SC,Whitehorse United SC,1,4,,
SportsmartBoysEast13BWVFEKJF20150517,Sportsmart Boys' East 13B,17/05/2015 1:20:00 AM,Round 5,Brandon Park Reserve - Pitch 1,Waverley Victory FC,East Kew Junior FC,0,2,,
SportsmartBoysEast13BWUSMCF20150517,Sportsmart Boys' East 13B,17/05/2015 1:20:00 AM,Round 5,Terrara Park - Junior 1,Whitehorse United SC,Monash City FC,2,2,,
SportsmartBoysEast13BMUFAR20150517,Sportsmart Boys' East 13B,17/05/2015 1:20:00 AM,Round 5,Mazenod College - Main Gate (S),Mazenod United FC,Ashburton Red,4,1,,
SportsmartBoysEast13BWPWU1SYS20150517,Sportsmart Boys' East 13B,17/05/2015 1:20:00 AM,Round 5,Wonga Park Reserve - Junior 1,Wonga Park Wizards Under 13B,South Yarra SC,1,1,,
SportsmartBoysEast13BARWUS20150524,Sportsmart Boys' East 13B,23/05/2015 11:00:00 PM,Round 6,Watson Park - Junior,Ashburton Red,Whitehorse United SC,,,,
SportsmartBoysEast13BSYSBEF20150524,Sportsmart Boys' East 13B,24/05/2015 1:20:00 AM,Round 6,Fawkner Park North Pavilion - Pitch 2 (Soccer 8),South Yarra SC,Boroondara Eagles FC,,,,
SportsmartBoysEast13BMCFWPWU120150524,Sportsmart Boys' East 13B,24/05/2015 1:20:00 AM,Round 6,Caloola Reserve,Monash City FC,Wonga Park Wizards Under 13B,,,,
SportsmartBoysEast13BEKJFMUF20150524,Sportsmart Boys' East 13B,24/05/2015 1:20:00 AM,Round 6,Hislop Reserve - Junior 2,East Kew Junior FC,Mazenod United FC,,,,
SportsmartBoysEast13BBEFMCF20150531,Sportsmart Boys' East 13B,31/05/2015 1:00:00 AM,Round 7,Macleay Park - Pitch 2,Boroondara Eagles FC,Monash City FC,,,,
