Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SportsmartBoysEast13DEKJFMUBF20150412,Sportsmart Boys' East 13D,12/04/2015 12:00:00 AM,Round 1,FORFEIT,East Kew Junior FC,Manningham United Blues FC,3,0,,
SportsmartBoysEast13DGWSURMWCS20150412,Sportsmart Boys' East 13D,12/04/2015 1:00:00 AM,Round 1,Glen Waverley North Reserve,Glen Waverley SC u13 RP,Mount Waverley City SC,1,4,,
SportsmartBoysEast13DKUSNCJFO20150412,Sportsmart Boys' East 13D,12/04/2015 1:20:00 AM,Round 1,FORFEIT,Knox United SC,North Caulfield Junior FC Orange,0,3,,
SportsmartBoysEast13DWUSCUF20150412,Sportsmart Boys' East 13D,12/04/2015 1:20:00 AM,Round 1,Terrara Park - Junior 2,Whitehorse United SC,Chisholm United FC,1,3,,
SportsmartBoysEast13DMPFBPS20150412,Sportsmart Boys' East 13D,12/04/2015 2:00:00 AM,Round 1,Albert Park Field 7/8 (S),Middle Park FC,Brandon Park SC,2,6,,
SportsmartBoysEast13DAYRCFB20150412,Sportsmart Boys' East 13D,12/04/2015 2:30:00 AM,Round 1,Markham Reserve,Ashburton Yellow,Ringwood City FC Blue,3,3,,
SportsmartBoysEast13DMPFMUBF20150419,Sportsmart Boys' East 13D,19/04/2015 12:10:00 AM,Round 2,Timber Ridge Reserve - Pitch 1,Middle Park FC,Manningham United Blues FC,8,1,,
SportsmartBoysEast13DRCFBCUF20150419,Sportsmart Boys' East 13D,19/04/2015 12:10:00 AM,Round 2,Jubilee Park (S),Ringwood City FC Blue,Chisholm United FC,1,0,,
SportsmartBoysEast13DNCJFOGWSUR20150419,Sportsmart Boys' East 13D,19/04/2015 1:20:00 AM,Round 2,Caulfield Park - Pitch 5,North Caulfield Junior FC Orange,Glen Waverley SC u13 RP,1,3,,
SportsmartBoysEast13DKUSBPS20150419,Sportsmart Boys' East 13D,19/04/2015 1:20:00 AM,Round 2,FORFEIT,Knox United SC,Brandon Park SC,0,3,,
SportsmartBoysEast13DWUSEKJF20150419,Sportsmart Boys' East 13D,19/04/2015 1:20:00 AM,Round 2,Terrara Park,Whitehorse United SC,East Kew Junior FC,3,2,,
SportsmartBoysEast13DMWCSAG20150419,Sportsmart Boys' East 13D,19/04/2015 1:20:00 AM,Round 2,Gardiners Creek Reserve - Pitch 1,Mount Waverley City SC,Ashburton Grey,6,1,,
SportsmartBoysEast13DEKJFRCFB20150426,Sportsmart Boys' East 13D,25/04/2015 11:00:00 PM,Round 3,Hislop Reserve - Junior 1,East Kew Junior FC,Ringwood City FC Blue,2,1,,
SportsmartBoysEast13DCUFAY20150426,Sportsmart Boys' East 13D,25/04/2015 11:00:00 PM,Round 3,State Football Centre - Pitch 2 (S),Chisholm United FC,Ashburton Yellow,4,1,,
SportsmartBoysEast13DAGNCJFO20150426,Sportsmart Boys' East 13D,26/04/2015 12:10:00 AM,Round 3,Highfield Park - North East - Junior,Ashburton Grey,North Caulfield Junior FC Orange,3,1,,
SportsmartBoysEast13DKUSMUBF20150426,Sportsmart Boys' East 13D,26/04/2015 1:20:00 AM,Round 3,FORFEIT,Knox United SC,Manningham United Blues FC,0,3,,
SportsmartBoysEast13DMPFWUS20150426,Sportsmart Boys' East 13D,26/04/2015 2:00:00 AM,Round 3,Albert Park Field 7/8 (S),Middle Park FC,Whitehorse United SC,2,0,,
SportsmartBoysEast13DGWSURBPS20150503,Sportsmart Boys' East 13D,3/05/2015 1:20:00 AM,Catch Up Round,Capital Reserve,Glen Waverley SC u13 RP,Brandon Park SC,1,3,,
SportsmartBoysEast13DRCFBMPF20150510,Sportsmart Boys' East 13D,10/05/2015 12:10:00 AM,Round 4,Jubilee Park - Junior,Ringwood City FC Blue,Middle Park FC,2,1,,
SportsmartBoysEast13DNCJFOMWCS20150510,Sportsmart Boys' East 13D,10/05/2015 1:20:00 AM,Round 4,Caulfield Park - Pitch 5,North Caulfield Junior FC Orange,Mount Waverley City SC,0,9,,
SportsmartBoysEast13DAYEKJF20150510,Sportsmart Boys' East 13D,10/05/2015 1:20:00 AM,Round 4,Highfield Park - North East - Junior,Ashburton Yellow,East Kew Junior FC,3,2,,
SportsmartBoysEast13DWUSKUS20150510,Sportsmart Boys' East 13D,10/05/2015 1:20:00 AM,Round 4,Terrara Park - Junior 1,Whitehorse United SC,Knox United SC,2,3,,
SportsmartBoysEast13DBPSAG20150510,Sportsmart Boys' East 13D,10/05/2015 1:20:00 AM,Round 4,Freeway Reserve - Pitch 1,Brandon Park SC,Ashburton Grey,4,1,,
SportsmartBoysEast13DMUBFGWSUR20150510,Sportsmart Boys' East 13D,10/05/2015 2:30:00 AM,Round 4,Timber Ridge Reserve - Pitch 1,Manningham United Blues FC,Glen Waverley SC u13 RP,0,6,,
SportsmartBoysEast13DGWSURWUS20150517,Sportsmart Boys' East 13D,17/05/2015 12:00:00 AM,Round 5,Capital Reserve,Glen Waverley SC u13 RP,Whitehorse United SC,3,2,,
SportsmartBoysEast13DEKJFCUF20150517,Sportsmart Boys' East 13D,17/05/2015 12:10:00 AM,Round 5,Hislop Reserve - Junior 1,East Kew Junior FC,Chisholm United FC,3,0,,
SportsmartBoysEast13DMWCSBPS20150517,Sportsmart Boys' East 13D,17/05/2015 1:20:00 AM,Round 5,Gardiners Creek Reserve - Pitch 1,Mount Waverley City SC,Brandon Park SC,,,,
SportsmartBoysEast13DKUSRCFB20150517,Sportsmart Boys' East 13D,17/05/2015 2:00:00 AM,Round 5,Park Ridge Reserve - Junior ,Knox United SC,Ringwood City FC Blue,,,,
SportsmartBoysEast13DMPFAY20150517,Sportsmart Boys' East 13D,17/05/2015 2:00:00 AM,Round 5,Albert Park Field 7/8 (S),Middle Park FC,Ashburton Yellow,1,2,,
SportsmartBoysEast13DAGMUBF20150517,Sportsmart Boys' East 13D,17/05/2015 2:30:00 AM,Round 5,Highfield Park - North East - Junior,Ashburton Grey,Manningham United Blues FC,6,0,,
SportsmartBoysEast13DMUBFMWCS20150524,Sportsmart Boys' East 13D,24/05/2015 12:10:00 AM,Round 6,Timber Ridge Reserve - Pitch 2,Manningham United Blues FC,Mount Waverley City SC,,,,
SportsmartBoysEast13DCUFMPF20150524,Sportsmart Boys' East 13D,24/05/2015 12:15:00 AM,Round 6,Jack Edwards Reserve,Chisholm United FC,Middle Park FC,,,,
SportsmartBoysEast13DWUSAG20150524,Sportsmart Boys' East 13D,24/05/2015 1:20:00 AM,Round 6,Terrara Park,Whitehorse United SC,Ashburton Grey,,,,
SportsmartBoysEast13DAYKUS20150524,Sportsmart Boys' East 13D,24/05/2015 1:20:00 AM,Round 6,Markham Reserve,Ashburton Yellow,Knox United SC,,,,
SportsmartBoysEast13DRCFBGWSUR20150524,Sportsmart Boys' East 13D,24/05/2015 1:20:00 AM,Round 6,Jubilee Park - Junior,Ringwood City FC Blue,Glen Waverley SC u13 RP,,,,
SportsmartBoysEast13DNCJFOBPS20150524,Sportsmart Boys' East 13D,24/05/2015 2:30:00 AM,Round 6,Caulfield Park - Pitch 3,North Caulfield Junior FC Orange,Brandon Park SC,,,,
SportsmartBoysEast13DNCJFOMUBF20150531,Sportsmart Boys' East 13D,31/05/2015 1:20:00 AM,Round 7,Caulfield Park - Pitch 5,North Caulfield Junior FC Orange,Manningham United Blues FC,,,,
SportsmartBoysEast13DGWSURAY20150531,Sportsmart Boys' East 13D,31/05/2015 1:20:00 AM,Round 7,Wheelers Hill Secondary College - Pitch 1,Glen Waverley SC u13 RP,Ashburton Yellow,,,,
SportsmartBoysEast13DMWCSWUS20150531,Sportsmart Boys' East 13D,31/05/2015 1:20:00 AM,Round 7,Gardiners Creek Reserve - Pitch 2,Mount Waverley City SC,Whitehorse United SC,,,,
SportsmartBoysEast13DMPFEKJF20150531,Sportsmart Boys' East 13D,31/05/2015 2:00:00 AM,Round 7,Albert Park Field 7/8 (S),Middle Park FC,East Kew Junior FC,,,,
SportsmartBoysEast13DKUSCUF20150531,Sportsmart Boys' East 13D,31/05/2015 2:30:00 AM,Round 7,Park Ridge Reserve - Junior ,Knox United SC,Chisholm United FC,,,,
SportsmartBoysEast13DAGRCFB20150531,Sportsmart Boys' East 13D,31/05/2015 2:30:00 AM,Round 7,Highfield Park - North East - Junior,Ashburton Grey,Ringwood City FC Blue,,,,
SportsmartBoysEast13DEKJFKUS20150607,Sportsmart Boys' East 13D,7/06/2015 12:10:00 AM,Round 8,Hislop Reserve - Junior 1,East Kew Junior FC,Knox United SC,,,,
