Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SportsmartBoysEast15CAPGWSU20150412,Sportsmart Boys' East 15C,12/04/2015 2:30:00 AM,Round 1,Highfield Park - North East - Junior,Ashburton Purple,Glen Waverley SC u15C,0,1,,
SportsmartBoysEast15CDRSRCF20150412,Sportsmart Boys' East 15C,12/04/2015 3:45:00 AM,Round 1,Anderson Park,Doncaster Rovers SC,Ringwood City FC,4,4,,
SportsmartBoysEast15CEKJMS20150412,Sportsmart Boys' East 15C,12/04/2015 3:45:00 AM,Round 1,Hislop Reserve - Junior 1,East Kew JFC,Mooroolbark SC,4,2,,
SportsmartBoysEast15CEKJRWPWU120150412,Sportsmart Boys' East 15C,12/04/2015 5:15:00 AM,Round 1,Hislop Reserve - Junior 1,East Kew JFC Red,Wonga Park Wizards Under 15C,4,0,,
SportsmartBoysEast15CMUBFCUF20150412,Sportsmart Boys' East 15C,12/04/2015 5:15:00 AM,Round 1,FORFEIT,Manningham United Blues FC,Chisholm United FC,3,0,,
SportsmartBoysEast15CMSEKJR20150419,Sportsmart Boys' East 15C,18/04/2015 11:30:00 PM,Round 2,Esther Park Reserve,Mooroolbark SC,East Kew JFC Red,2,4,,
SportsmartBoysEast15CWPWU1MUBF20150419,Sportsmart Boys' East 15C,19/04/2015 3:45:00 AM,Round 2,Wonga Park Reserve - Junior 1,Wonga Park Wizards Under 15C,Manningham United Blues FC,6,0,,
SportsmartBoysEast15CGWSUDRS20150419,Sportsmart Boys' East 15C,19/04/2015 3:45:00 AM,Round 2,Capital Reserve,Glen Waverley SC u15C,Doncaster Rovers SC,1,4,,
SportsmartBoysEast15CBEFCUFB20150419,Sportsmart Boys' East 15C,19/04/2015 4:15:00 AM,Round 2,Macleay Park - Pitch 1 South Junior,Boroondara Eagles FC,Chisholm United FC Blue,2,7,,
SportsmartBoysEast15CRCFEKJ20150419,Sportsmart Boys' East 15C,19/04/2015 5:00:00 AM,Round 2,Jubilee Park (S),Ringwood City FC,East Kew JFC,0,4,,
SportsmartBoysEast15CCUFBGWSU20150426,Sportsmart Boys' East 15C,26/04/2015 3:30:00 AM,Round 3,State Football Centre - Pitch 1 (S),Chisholm United FC Blue,Glen Waverley SC u15C,9,0,,
SportsmartBoysEast15CEKJRRCF20150426,Sportsmart Boys' East 15C,26/04/2015 3:45:00 AM,Round 3,Hislop Reserve - Junior 1,East Kew JFC Red,Ringwood City FC,2,1,,
SportsmartBoysEast15CBEFWPWU120150426,Sportsmart Boys' East 15C,26/04/2015 3:45:00 AM,Round 3,Macleay Park - Pitch 1 North,Boroondara Eagles FC,Wonga Park Wizards Under 15C,0,7,,
SportsmartBoysEast15CAPCUF20150426,Sportsmart Boys' East 15C,26/04/2015 4:15:00 AM,Round 3,Highfield Park - North East - Junior,Ashburton Purple,Chisholm United FC,0,1,,
SportsmartBoysEast15CMUBFMS20150426,Sportsmart Boys' East 15C,26/04/2015 5:15:00 AM,Round 3,Timber Ridge Reserve - Pitch 2,Manningham United Blues FC,Mooroolbark SC,1,7,,
SportsmartBoysEast15CEKJDRS20150426,Sportsmart Boys' East 15C,26/04/2015 5:15:00 AM,Round 3,Hislop Reserve - Junior 1,East Kew JFC,Doncaster Rovers SC,4,0,,
SportsmartBoysEast15CCUFBAP20150503,Sportsmart Boys' East 15C,3/05/2015 1:10:00 AM,Catch Up Round,Jack Edwards Reserve - (S),Chisholm United FC Blue,Ashburton Purple,5,0,,
SportsmartBoysEast15CCUFBEF20150503,Sportsmart Boys' East 15C,3/05/2015 2:30:00 AM,Catch Up Round,Jack Edwards Reserve - (S),Chisholm United FC,Boroondara Eagles FC,3,1,,
SportsmartBoysEast15CMSBEF20150510,Sportsmart Boys' East 15C,9/05/2015 11:30:00 PM,Round 4,Esther Park Reserve - Junior 1,Mooroolbark SC,Boroondara Eagles FC,4,6,,
SportsmartBoysEast15CGWSUEKJ20150510,Sportsmart Boys' East 15C,10/05/2015 1:30:00 AM,Round 4,Capital Reserve,Glen Waverley SC u15C,East Kew JFC,1,3,,
SportsmartBoysEast15CDRSEKJR20150510,Sportsmart Boys' East 15C,10/05/2015 3:45:00 AM,Round 4,Anderson Park,Doncaster Rovers SC,East Kew JFC Red,0,5,,
SportsmartBoysEast15CWPWU1AP20150510,Sportsmart Boys' East 15C,10/05/2015 3:45:00 AM,Round 4,Wonga Park Reserve - Junior 1,Wonga Park Wizards Under 15C,Ashburton Purple,2,0,,
SportsmartBoysEast15CCUFCUFB20150510,Sportsmart Boys' East 15C,10/05/2015 3:45:00 AM,Round 4,Jack Edwards Reserve - (S),Chisholm United FC,Chisholm United FC Blue,0,4,,
SportsmartBoysEast15CRCFMUBF20150510,Sportsmart Boys' East 15C,10/05/2015 5:00:00 AM,Round 4,Jubilee Park (S),Ringwood City FC,Manningham United Blues FC,2,1,,
