Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SportsmartBoysMetropolitan17BAGWHFU20150412,Sportsmart Boys' Metropolitan 17B,11/04/2015 11:00:00 PM,Round 1,Markham Reserve,Ashburton Green ,Watsonia Heights FC U17C,2,2,,
SportsmartBoysMetropolitan17BEKJDVUS20150412,Sportsmart Boys' Metropolitan 17B,12/04/2015 12:45:00 AM,Round 1,Hislop Reserve - Junior 1,East Kew JFC,Diamond Valley United SC,3,2,,
SportsmartBoysMetropolitan17BMUBFCUF20150412,Sportsmart Boys' Metropolitan 17B,12/04/2015 3:15:00 AM,Round 1,FORFEIT,Manningham United Blues FC,Chisholm United FC,0,3,,
SportsmartBoysMetropolitan17BSUJSPCF20150412,Sportsmart Boys' Metropolitan 17B,12/04/2015 3:30:00 AM,Round 1,Langama Park - Pitch 3,Sunbury United Junior SC,Point Cook FC ,0,3,,
SportsmartBoysMetropolitan17BWHFUMUBF20150419,Sportsmart Boys' Metropolitan 17B,19/04/2015 3:00:00 AM,Round 2,FORFEIT,Watsonia Heights FC U17C,Manningham United Blues FC,3,0,,
SportsmartBoysMetropolitan17BDVUSAG20150419,Sportsmart Boys' Metropolitan 17B,19/04/2015 5:00:00 AM,Round 2,Central Park Greensborough,Diamond Valley United SC,Ashburton Green ,12,2,,
SportsmartBoysMetropolitan17BPCFEKJ20150419,Sportsmart Boys' Metropolitan 17B,19/04/2015 5:15:00 AM,Round 2,Saltwater Reserve - Pitch 2,Point Cook FC ,East Kew JFC,2,1,,
SportsmartBoysMetropolitan17BAGPCF20150426,Sportsmart Boys' Metropolitan 17B,25/04/2015 11:00:00 PM,Round 3,Markham Reserve,Ashburton Green ,Point Cook FC ,1,9,,
SportsmartBoysMetropolitan17BEKJCUF20150426,Sportsmart Boys' Metropolitan 17B,26/04/2015 1:30:00 AM,Round 3,Hislop Reserve - Junior 1,East Kew JFC,Chisholm United FC,4,2,,
SportsmartBoysMetropolitan17BSUJSMUBF20150426,Sportsmart Boys' Metropolitan 17B,26/04/2015 3:45:00 AM,Round 3,FORFEIT,Sunbury United Junior SC,Manningham United Blues FC,3,0,,
SportsmartBoysMetropolitan17BDVUSWHFU20150426,Sportsmart Boys' Metropolitan 17B,26/04/2015 5:00:00 AM,Round 3,Central Park Greensborough,Diamond Valley United SC,Watsonia Heights FC U17C,8,2,,
SportsmartBoysMetropolitan17BMUBFEKJ20150510,Sportsmart Boys' Metropolitan 17B,10/05/2015 2:00:00 AM,Round 4,Timber Ridge Reserve - Pitch 1,Manningham United Blues FC,East Kew JFC,2,12,,
SportsmartBoysMetropolitan17BWHFUSUJS20150510,Sportsmart Boys' Metropolitan 17B,10/05/2015 5:15:00 AM,Round 4,Elder Street Reserve - Pitch 2,Watsonia Heights FC U17C,Sunbury United Junior SC,4,5,,
SportsmartBoysMetropolitan17BPCFDVUS20150510,Sportsmart Boys' Metropolitan 17B,10/05/2015 5:15:00 AM,Round 4,Saltwater Reserve - Pitch 2,Point Cook FC ,Diamond Valley United SC,2,1,,
SportsmartBoysMetropolitan17BCUFAG20150510,Sportsmart Boys' Metropolitan 17B,10/05/2015 7:15:00 AM,Round 4,Jack Edwards Reserve - (S),Chisholm United FC,Ashburton Green ,5,3,,
SportsmartBoysMetropolitan17BPCFWHFU20150517,Sportsmart Boys' Metropolitan 17B,16/05/2015 11:00:00 PM,Round 5,Saltwater Reserve - Pitch 2,Point Cook FC ,Watsonia Heights FC U17C,4,1,,
SportsmartBoysMetropolitan17BAGMUBF20150517,Sportsmart Boys' Metropolitan 17B,17/05/2015 12:30:00 AM,Round 5,Markham Reserve,Ashburton Green ,Manningham United Blues FC,2,1,,
SportsmartBoysMetropolitan17BEKJSUJS20150517,Sportsmart Boys' Metropolitan 17B,17/05/2015 1:30:00 AM,Round 5,Hislop Reserve - Junior 1,East Kew JFC,Sunbury United Junior SC,10,0,,
SportsmartBoysMetropolitan17BDVUSCUF20150517,Sportsmart Boys' Metropolitan 17B,17/05/2015 5:00:00 AM,Round 5,Central Park Greensborough,Diamond Valley United SC,Chisholm United FC,,,,
SportsmartBoysMetropolitan17BMUBFDVUS20150524,Sportsmart Boys' Metropolitan 17B,24/05/2015 1:20:00 AM,Round 6,Timber Ridge Reserve - Pitch 1,Manningham United Blues FC,Diamond Valley United SC,,,,
SportsmartBoysMetropolitan17BEKJWHFU20150524,Sportsmart Boys' Metropolitan 17B,24/05/2015 1:30:00 AM,Round 6,Hislop Reserve - Junior 1,East Kew JFC,Watsonia Heights FC U17C,,,,
SportsmartBoysMetropolitan17BSUJSAG20150524,Sportsmart Boys' Metropolitan 17B,24/05/2015 3:45:00 AM,Round 6,Langama Park - Pitch 3,Sunbury United Junior SC,Ashburton Green ,,,,
SportsmartBoysMetropolitan17BCUFPCF20150524,Sportsmart Boys' Metropolitan 17B,24/05/2015 6:30:00 AM,Round 6,Jack Edwards Reserve,Chisholm United FC,Point Cook FC ,,,,
SportsmartBoysMetropolitan17BWHFUCUF20150531,Sportsmart Boys' Metropolitan 17B,31/05/2015 3:00:00 AM,Round 7,Gabonia Avenue Reserve,Watsonia Heights FC U17C,Chisholm United FC,,,,
SportsmartBoysMetropolitan17BAGEKJ20150531,Sportsmart Boys' Metropolitan 17B,31/05/2015 4:00:00 AM,Round 7,Highfield Park - North East - Junior,Ashburton Green ,East Kew JFC,,,,
