Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SportsmartWomensPremierLeagueReservesHUSCCF20150308,Sportsmart Women's Premier League Reserves,7/03/2015 11:30:00 PM,1,Broadmeadows Valley Park - Pitch 2,Heidelberg United SC,Casey Comets FC,4,0,,
SportsmartWomensPremierLeagueReservesCUCSSS20150308,Sportsmart Women's Premier League Reserves,7/03/2015 11:30:00 PM,1,Broadmeadows Valley Park - Pitch 3 (S),Caulfield United Cobras SC,Sandringham SC,0,5,,
SportsmartWomensPremierLeagueReservesAUSBEF20150308,Sportsmart Women's Premier League Reserves,7/03/2015 11:30:00 PM,1,Broadmeadows Valley Park - Pitch 1,Ashburton United SC,Boroondara Eagles FC,3,4,,
SportsmartWomensPremierLeagueReservesFBLSYS20150308,Sportsmart Women's Premier League Reserves,8/03/2015 4:00:00 AM,1,Broadmeadows Valley Park - Pitch 2,FC Bulleen Lions ,South Yarra SC,3,0,,
SportsmartWomensPremierLeagueReservesSMWFJN20150308,Sportsmart Women's Premier League Reserves,8/03/2015 4:00:00 AM,1,Broadmeadows Valley Park - Pitch 3 (S),South Melbourne Womens FC,Junior NTC,3,5,,
SportsmartWomensPremierLeagueReservesBHUSBUF20150308,Sportsmart Women's Premier League Reserves,8/03/2015 4:00:00 AM,1,Broadmeadows Valley Park - Pitch 1,Box Hill United SC,Bundoora United FC,1,0,,
SportsmartWomensPremierLeagueReservesCCFSMWF20150313,Sportsmart Women's Premier League Reserves,13/03/2015 7:30:00 AM,2,Comets Stadium - Pitch 1,Casey Comets FC,South Melbourne Womens FC,1,7,,
SportsmartWomensPremierLeagueReservesBUFFBL20150314,Sportsmart Women's Premier League Reserves,14/03/2015 2:00:00 AM,2,Hillsview Recreation Reserve - Pitch 1 (S),Bundoora United FC,FC Bulleen Lions ,1,0,,
SportsmartWomensPremierLeagueReservesJNBHUS20150314,Sportsmart Women's Premier League Reserves,14/03/2015 6:30:00 AM,2,Knox Regional Football Centre - Pitch 1 (S),Junior NTC,Box Hill United SC,3,1,,
SportsmartWomensPremierLeagueReservesBEFCUCS20150315,Sportsmart Women's Premier League Reserves,15/03/2015 5:00:00 AM,2,Knox Regional Football Centre - Pitch 1 (S),Boroondara Eagles FC,Caulfield United Cobras SC,3,4,,
SportsmartWomensPremierLeagueReservesSYSAUS20150316,Sportsmart Women's Premier League Reserves,16/03/2015 7:30:00 AM,2,State Football Centre - Pitch 3 (S),South Yarra SC,Ashburton United SC,0,7,,
SportsmartWomensPremierLeagueReservesSSHUS20150316,Sportsmart Women's Premier League Reserves,16/03/2015 7:30:00 AM,2,Kingston Heath Soccer Complex - Pitch 2 (S),Sandringham SC,Heidelberg United SC,1,0,,
SportsmartWomensPremierLeagueReservesCCFJN20150320,Sportsmart Women's Premier League Reserves,20/03/2015 7:30:00 AM,3,Comets Stadium - Pitch 1,Casey Comets FC,Junior NTC,0,9,,
SportsmartWomensPremierLeagueReservesHUSBEF20150321,Sportsmart Women's Premier League Reserves,21/03/2015 2:00:00 AM,3,Olympic Village - Pitch 1,Heidelberg United SC,Boroondara Eagles FC,1,1,,
SportsmartWomensPremierLeagueReservesBUFAUS20150322,Sportsmart Women's Premier League Reserves,22/03/2015 12:00:00 AM,3,Hillsview Recreation Reserve - Pitch 1 (S),Bundoora United FC,Ashburton United SC,2,1,,
SportsmartWomensPremierLeagueReservesCUCSSYS20150322,Sportsmart Women's Premier League Reserves,22/03/2015 1:00:00 AM,3,Knox Regional Football Centre - Pitch 1 (S),Caulfield United Cobras SC,South Yarra SC,3,0,,
