Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
SportsmartWomensPremierLeagueCUCSSS20150308,Sportsmart Women's Premier League,8/03/2015 1:45:00 AM,1,Broadmeadows Valley Park - Pitch 3 (S),Caulfield United Cobras SC,Sandringham SC,1,7,,
SportsmartWomensPremierLeagueHUSCCFW20150308,Sportsmart Women's Premier League,8/03/2015 1:45:00 AM,1,Broadmeadows Valley Park - Pitch 2,Heidelberg United SC,Casey Comets FC WPL,3,0,,
SportsmartWomensPremierLeagueAUSBEF20150308,Sportsmart Women's Premier League,8/03/2015 1:45:00 AM,1,Broadmeadows Valley Park - Pitch 1,Ashburton United SC,Boroondara Eagles FC,1,1,,
SportsmartWomensPremierLeagueFBLSYS20150308,Sportsmart Women's Premier League,8/03/2015 6:15:00 AM,1,Broadmeadows Valley Park - Pitch 2,FC Bulleen Lions,South Yarra SC,2,0,,
SportsmartWomensPremierLeagueSMWFSN20150308,Sportsmart Women's Premier League,8/03/2015 6:15:00 AM,1,Broadmeadows Valley Park - Pitch 3 (S),South Melbourne Womens FC,Senior NTC,3,1,,
SportsmartWomensPremierLeagueBHUSBUF20150308,Sportsmart Women's Premier League,8/03/2015 6:15:00 AM,1,Broadmeadows Valley Park - Pitch 1,Box Hill United SC,Bundoora United FC,1,1,,
SportsmartWomensPremierLeagueCCFWSMWF20150313,Sportsmart Women's Premier League,13/03/2015 9:30:00 AM,2,Comets Stadium - Pitch 1,Casey Comets FC WPL,South Melbourne Womens FC,1,7,,
SportsmartWomensPremierLeagueBUFFBL20150314,Sportsmart Women's Premier League,14/03/2015 4:00:00 AM,2,Hillsview Recreation Reserve - Pitch 1 (S),Bundoora United FC,FC Bulleen Lions,4,3,,
SportsmartWomensPremierLeagueSNBHUS20150314,Sportsmart Women's Premier League,14/03/2015 8:30:00 AM,2,Knox Regional Football Centre - Pitch 1 (S),Senior NTC,Box Hill United SC,1,1,,
SportsmartWomensPremierLeagueBEFCUCS20150315,Sportsmart Women's Premier League,15/03/2015 7:00:00 AM,2,Knox Regional Football Centre - Pitch 1 (S),Boroondara Eagles FC,Caulfield United Cobras SC,5,0,,
SportsmartWomensPremierLeagueSSHUS20150316,Sportsmart Women's Premier League,16/03/2015 9:30:00 AM,2,Kingston Heath Soccer Complex - Pitch 2 (S),Sandringham SC,Heidelberg United SC,2,0,,
SportsmartWomensPremierLeagueSYSAUS20150316,Sportsmart Women's Premier League,16/03/2015 9:30:00 AM,2,State Football Centre - Pitch 3 (S),South Yarra SC,Ashburton United SC,0,10,,
SportsmartWomensPremierLeagueCCFWSN20150320,Sportsmart Women's Premier League,20/03/2015 9:30:00 AM,3,Comets Stadium - Pitch 1,Casey Comets FC WPL,Senior NTC,0,0,,
SportsmartWomensPremierLeagueHUSBEF20150321,Sportsmart Women's Premier League,21/03/2015 4:00:00 AM,3,Olympic Village - Pitch 1,Heidelberg United SC,Boroondara Eagles FC,3,2,,
SportsmartWomensPremierLeagueBUFAUS20150322,Sportsmart Women's Premier League,22/03/2015 2:00:00 AM,3,Hillsview Recreation Reserve - Pitch 1 (S),Bundoora United FC,Ashburton United SC,1,0,,
