Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
ZagamesMensStateLeague2North-WestReservesHSSBCS20150321,Zagame's Men's State League 2 North-West Reserves,21/03/2015 2:00:00 AM,Round 1,Cartledge Reserve - Pitch 1,Heidelberg Stars SC,Banyule City SC,1,0,,
ZagamesMensStateLeague2North-WestReservesMUSEUF20150321,Zagame's Men's State League 2 North-West Reserves,21/03/2015 2:00:00 AM,Round 1,Moomba Park,Moreland United SC,Essendon United FC,1,1,,
ZagamesMensStateLeague2North-WestReservesYFRWS20150321,Zagame's Men's State League 2 North-West Reserves,21/03/2015 2:00:00 AM,Round 1,McIvor Reserve - Pitch 1,Yarraville FC Reserves,Westvale SC,2,0,,
ZagamesMensStateLeague2North-WestReservesGSMUS20150321,Zagame's Men's State League 2 North-West Reserves,21/03/2015 2:00:00 AM,Round 1,Stead Park - Pitch 1,Geelong SC,Melbourne University SC,0,3,,
ZagamesMensStateLeague2North-WestReservesSWFHUF20150321,Zagame's Men's State League 2 North-West Reserves,21/03/2015 2:00:00 AM,Round 1,RGC Cook Reserve - Pitch 1,Sporting Whittlesea FC,Hume United FC,4,2,,
ZagamesMensStateLeague2North-WestReservesFCSERS20150321,Zagame's Men's State League 2 North-West Reserves,21/03/2015 7:00:00 AM,Round 1,State Football Centre - Pitch 2 (S),Fitzroy City SC,Essendon Royals SC,0,1,,
ZagamesMensStateLeague2North-WestReservesHUFGS20150328,Zagame's Men's State League 2 North-West Reserves,28/03/2015 2:00:00 AM,Round 2,Laura Douglas Reserve - Pitch 1,Hume United FC,Geelong SC,0,6,,
ZagamesMensStateLeague2North-WestReservesFCSEUF20150328,Zagame's Men's State League 2 North-West Reserves,28/03/2015 2:00:00 AM,Round 2,Fairfield Park - Senior,Fitzroy City SC,Essendon United FC,1,3,,
ZagamesMensStateLeague2North-WestReservesYFRERS20150328,Zagame's Men's State League 2 North-West Reserves,28/03/2015 2:00:00 AM,Round 2,McIvor Reserve - Pitch 1,Yarraville FC Reserves,Essendon Royals SC,2,3,,
ZagamesMensStateLeague2North-WestReservesMUSMUS20150328,Zagame's Men's State League 2 North-West Reserves,28/03/2015 2:00:00 AM,Round 2,Moomba Park,Moreland United SC,Melbourne University SC,4,1,,
ZagamesMensStateLeague2North-WestReservesWSHSS20150328,Zagame's Men's State League 2 North-West Reserves,28/03/2015 2:00:00 AM,Round 2,McKechnie Reserve - Pitch 1,Westvale SC,Heidelberg Stars SC,3,1,,
ZagamesMensStateLeague2North-WestReservesBCSSWF20150328,Zagame's Men's State League 2 North-West Reserves,28/03/2015 2:00:00 AM,Round 2,Yallambie Park Reserve,Banyule City SC,Sporting Whittlesea FC,1,1,,
ZagamesMensStateLeague2North-WestReservesHSSERS20150411,Zagame's Men's State League 2 North-West Reserves,11/04/2015 3:00:00 AM,Round 3,Cartledge Reserve - Pitch 1,Heidelberg Stars SC,Essendon Royals SC,1,4,,
ZagamesMensStateLeague2North-WestReservesYFRFCS20150411,Zagame's Men's State League 2 North-West Reserves,11/04/2015 3:00:00 AM,Round 3,McIvor Reserve - Pitch 1,Yarraville FC Reserves,Fitzroy City SC,1,3,,
ZagamesMensStateLeague2North-WestReservesMUSHUF20150411,Zagame's Men's State League 2 North-West Reserves,11/04/2015 3:00:00 AM,Round 3,Moomba Park,Moreland United SC,Hume United FC,5,4,,
ZagamesMensStateLeague2North-WestReservesSWFWS20150411,Zagame's Men's State League 2 North-West Reserves,11/04/2015 3:00:00 AM,Round 3,RGC Cook Reserve - Pitch 1,Sporting Whittlesea FC,Westvale SC,3,4,,
ZagamesMensStateLeague2North-WestReservesMUSEUF20150411,Zagame's Men's State League 2 North-West Reserves,11/04/2015 3:00:00 AM,Round 3,Princes Park Oval #1,Melbourne University SC,Essendon United FC,1,3,,
ZagamesMensStateLeague2North-WestReservesGSBCS20150411,Zagame's Men's State League 2 North-West Reserves,11/04/2015 3:00:00 AM,Round 3,Stead Park - Pitch 1,Geelong SC,Banyule City SC,3,4,,
ZagamesMensStateLeague2North-WestReservesERSSWF20150418,Zagame's Men's State League 2 North-West Reserves,18/04/2015 3:00:00 AM,Round 4,Clifton Park (S),Essendon Royals SC,Sporting Whittlesea FC,0,3,,
ZagamesMensStateLeague2North-WestReservesFCSHSS20150418,Zagame's Men's State League 2 North-West Reserves,18/04/2015 3:00:00 AM,Round 4,Fairfield Park - Senior,Fitzroy City SC,Heidelberg Stars SC,1,3,,
ZagamesMensStateLeague2North-WestReservesHUFMUS20150418,Zagame's Men's State League 2 North-West Reserves,18/04/2015 3:00:00 AM,Round 4,Laura Douglas Reserve - Pitch 1,Hume United FC,Melbourne University SC,2,6,,
ZagamesMensStateLeague2North-WestReservesEUFYFR20150418,Zagame's Men's State League 2 North-West Reserves,18/04/2015 3:00:00 AM,Round 4,JH Allan Reserve,Essendon United FC,Yarraville FC Reserves,1,1,,
ZagamesMensStateLeague2North-WestReservesWSGS20150418,Zagame's Men's State League 2 North-West Reserves,18/04/2015 3:00:00 AM,Round 4,McKechnie Reserve - Pitch 1,Westvale SC,Geelong SC,1,0,,
ZagamesMensStateLeague2North-WestReservesBCSMUS20150418,Zagame's Men's State League 2 North-West Reserves,18/04/2015 3:00:00 AM,Round 4,Yallambie Park Reserve,Banyule City SC,Moreland United SC,5,1,,
ZagamesMensStateLeague2North-WestReservesMUSWS20150425,Zagame's Men's State League 2 North-West Reserves,25/04/2015 3:00:00 AM,Round 5,Moomba Park,Moreland United SC,Westvale SC,3,1,,
ZagamesMensStateLeague2North-WestReservesMUSBCS20150425,Zagame's Men's State League 2 North-West Reserves,25/04/2015 3:00:00 AM,Round 5,Princes Park Oval #1,Melbourne University SC,Banyule City SC,1,1,,
ZagamesMensStateLeague2North-WestReservesGSERS20150425,Zagame's Men's State League 2 North-West Reserves,25/04/2015 3:00:00 AM,Round 5,Stead Park - Pitch 1,Geelong SC,Essendon Royals SC,0,2,,
ZagamesMensStateLeague2North-WestReservesHSSYFR20150425,Zagame's Men's State League 2 North-West Reserves,25/04/2015 3:00:00 AM,Round 5,Cartledge Reserve - Pitch 1,Heidelberg Stars SC,Yarraville FC Reserves,1,3,,
ZagamesMensStateLeague2North-WestReservesSWFFCS20150425,Zagame's Men's State League 2 North-West Reserves,25/04/2015 3:00:00 AM,Round 5,RGC Cook Reserve - Pitch 1,Sporting Whittlesea FC,Fitzroy City SC,0,0,,
ZagamesMensStateLeague2North-WestReservesHUFEUF20150425,Zagame's Men's State League 2 North-West Reserves,25/04/2015 3:00:00 AM,Round 5,Laura Douglas Reserve - Pitch 1,Hume United FC,Essendon United FC,1,4,,
ZagamesMensStateLeague2North-WestReservesWSMUS20150502,Zagame's Men's State League 2 North-West Reserves,2/05/2015 3:00:00 AM,Round 6,McKechnie Reserve - Pitch 1,Westvale SC,Melbourne University SC,1,3,,
ZagamesMensStateLeague2North-WestReservesEUFHSS20150502,Zagame's Men's State League 2 North-West Reserves,2/05/2015 3:00:00 AM,Round 6,JH Allan Reserve,Essendon United FC,Heidelberg Stars SC,5,0,,
ZagamesMensStateLeague2North-WestReservesYFRSWF20150502,Zagame's Men's State League 2 North-West Reserves,2/05/2015 3:00:00 AM,Round 6,McIvor Reserve - Pitch 1,Yarraville FC Reserves,Sporting Whittlesea FC,3,1,,
ZagamesMensStateLeague2North-WestReservesERSMUS20150502,Zagame's Men's State League 2 North-West Reserves,2/05/2015 3:00:00 AM,Round 6,Clifton Park (S),Essendon Royals SC,Moreland United SC,5,0,,
ZagamesMensStateLeague2North-WestReservesBCSHUF20150502,Zagame's Men's State League 2 North-West Reserves,2/05/2015 3:00:00 AM,Round 6,Yallambie Park Reserve,Banyule City SC,Hume United FC,6,3,,
ZagamesMensStateLeague2North-WestReservesGSFCS20150502,Zagame's Men's State League 2 North-West Reserves,2/05/2015 7:00:00 AM,Round 6,Stead Park - Pitch 1,Geelong SC,Fitzroy City SC,2,1,,
ZagamesMensStateLeague2North-WestReservesMUSFCS20150509,Zagame's Men's State League 2 North-West Reserves,9/05/2015 3:00:00 AM,Round 7,Moomba Park,Moreland United SC,Fitzroy City SC,1,0,,
ZagamesMensStateLeague2North-WestReservesHUFWS20150509,Zagame's Men's State League 2 North-West Reserves,9/05/2015 3:00:00 AM,Round 7,Laura Douglas Reserve - Pitch 1,Hume United FC,Westvale SC,2,2,,
