Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
ZagamesMensStateLeague2North-WestSWFHUF20150321,Zagame's Men's State League 2 North-West,21/03/2015 4:00:00 AM,Round 1,RGC Cook Reserve - Pitch 1,Sporting Whittlesea FC,Hume United FC,3,2,,
ZagamesMensStateLeague2North-WestHSSBCS20150321,Zagame's Men's State League 2 North-West,21/03/2015 4:00:00 AM,Round 1,Cartledge Reserve - Pitch 1,Heidelberg Stars SC,Banyule City SC,2,1,,
ZagamesMensStateLeague2North-WestMUSEUF20150321,Zagame's Men's State League 2 North-West,21/03/2015 4:00:00 AM,Round 1,Moomba Park,Moreland United SC,Essendon United FC,1,1,,
ZagamesMensStateLeague2North-WestYFSWS20150321,Zagame's Men's State League 2 North-West,21/03/2015 4:00:00 AM,Round 1,McIvor Reserve - Pitch 1,Yarraville FC Seniors,Westvale SC,3,0,,
ZagamesMensStateLeague2North-WestGSMUS20150321,Zagame's Men's State League 2 North-West,21/03/2015 4:00:00 AM,Round 1,Stead Park - Pitch 1,Geelong SC,Melbourne University SC,2,1,,
ZagamesMensStateLeague2North-WestFCSERS20150321,Zagame's Men's State League 2 North-West,21/03/2015 9:00:00 AM,Round 1,State Football Centre - Pitch 2 (S),Fitzroy City SC,Essendon Royals SC,1,0,,
ZagamesMensStateLeague2North-WestFCSEUF20150328,Zagame's Men's State League 2 North-West,28/03/2015 4:00:00 AM,Round 2,Fairfield Park - Senior,Fitzroy City SC,Essendon United FC,3,0,,
ZagamesMensStateLeague2North-WestHUFGS20150328,Zagame's Men's State League 2 North-West,28/03/2015 4:00:00 AM,Round 2,Laura Douglas Reserve - Pitch 1,Hume United FC,Geelong SC,0,3,,
ZagamesMensStateLeague2North-WestWSHSS20150328,Zagame's Men's State League 2 North-West,28/03/2015 4:00:00 AM,Round 2,McKechnie Reserve - Pitch 1,Westvale SC,Heidelberg Stars SC,2,2,,
ZagamesMensStateLeague2North-WestBCSSWF20150328,Zagame's Men's State League 2 North-West,28/03/2015 4:00:00 AM,Round 2,Yallambie Park Reserve,Banyule City SC,Sporting Whittlesea FC,1,4,,
ZagamesMensStateLeague2North-WestYFSERS20150328,Zagame's Men's State League 2 North-West,28/03/2015 4:00:00 AM,Round 2,McIvor Reserve - Pitch 1,Yarraville FC Seniors,Essendon Royals SC,4,1,,
ZagamesMensStateLeague2North-WestMUSMUS20150328,Zagame's Men's State League 2 North-West,28/03/2015 4:00:00 AM,Round 2,Moomba Park,Moreland United SC,Melbourne University SC,4,2,,
ZagamesMensStateLeague2North-WestHSSERS20150411,Zagame's Men's State League 2 North-West,11/04/2015 5:00:00 AM,Round 3,Cartledge Reserve - Pitch 1,Heidelberg Stars SC,Essendon Royals SC,0,1,,
ZagamesMensStateLeague2North-WestYFSFCS20150411,Zagame's Men's State League 2 North-West,11/04/2015 5:00:00 AM,Round 3,McIvor Reserve - Pitch 1,Yarraville FC Seniors,Fitzroy City SC,2,0,,
ZagamesMensStateLeague2North-WestMUSHUF20150411,Zagame's Men's State League 2 North-West,11/04/2015 5:00:00 AM,Round 3,Moomba Park,Moreland United SC,Hume United FC,3,2,,
