Address1,FullAddress,Address2,Address3,Suburb,State,Postcode,Latitude,Longitude,GooglePlacesId
"Jack Edwards Reserve, Edward Street, Oakleigh  VIC, Australia","Edward Street, Oakleigh VIC 3166, Australia",,,Oakleigh,VIC,3166,-37.9055058,145.1000456,ChIJ99DQp_Bq1moRwqaVXuReKEM
Frank Holohan Soccer Complex - Pitch 1,"Frank Holohan Soccer Complex, Endeavour Hills VIC 3802, Australia",,,Endeavour Hills,VIC,3802,-37.9597669,145.243871,ChIJ30hVR2EW1moR2J12aA007e8
Ronald Reserve,"Ronald Reserve, Morwell VIC 3840, Australia",,,Morwell,VIC,3840,-38.2312285,146.4236985,ChIJPbgqFYMRKWsRoKVCFKV5BQ8
Warner Reserve - Springvale Pitch 1,"Warner Reserve, Springvale VIC 3171, Australia",,,Springvale,VIC,3171,-37.9465082,145.1603491,ChIJ8cu6TN0U1moRkKQxBXZWBA8
Parkfield Reserve,"Parkfield Reserve, Noble Park VIC 3174, Australia",,,Noble Park,VIC,3174,-37.9623062,145.1820857,ChIJR9QxHmAU1moREKcxBXZWBA8
Partingtons Flat,"Partingtons Flat, Greensborough VIC 3088, Australia",,,Greensborough,VIC,3088,-37.6982573,145.103791,ChIJ5f4oJlJI1moRcJ4yBXZWBA8
Waratah Reserve - Pitch 2,"Waratah Reserve, Eumemmerring VIC 3177, Australia",,,Eumemmerring,VIC,3177,-37.9926339,145.24871,ChIJrcaW5LcW1moRwKsxBXZWBA8
The Grange Reserve,"The Grange Reserve, Clayton South VIC 3169, Australia",,,Clayton South,VIC,3169,-37.9462228,145.1318139,ChIJcUTyKEpr1moRoF0yBXZWBA8
Kooyong Park,"Sir Zelman Cowen Park, Kooyong VIC 3144, Australia",,,Kooyong,VIC,3144,-37.8396156,145.0376243,ChIJ4dCyIxdC1moRINoxBXZWBA8
Waratah Reserve - Pitch 1,"Waratah Reserve, Eumemmerring VIC 3177, Australia",,,Eumemmerring,VIC,3177,-37.9926339,145.24871,ChIJrcaW5LcW1moRwKsxBXZWBA8
Terrara Park,"Terrara Park, Vermont South VIC 3133, Australia",,,Vermont South,VIC,3133,-37.8544554,145.1931286,ChIJ2cUZbeg-1moRQI8xBXZWBA8
Fawkner Park South Pavilion - Junior 1,"Fawkner VIC, Australia",,,Fawkner,VIC,,-37.7149144,144.9624832,ChIJfQdMbzJF1moR8NGMIXVWBAU
Gardiners Creek Reserve - Pitch 1,"Gardiners Creek Reserve, Burwood VIC 3125, Australia",,,Burwood,VIC,3125,-37.8434694,145.1172374,ChIJK90HI4tA1moRsNwxBXZWBA8
Larpent Reserve,"Larpent Reserve, Glen Waverley VIC 3150, Australia",,,Glen Waverley,VIC,3150,-37.8709772,145.1710442,ChIJs9dOfq8_1moRgJQxBXZWBA8
Mahoneys Reserve,"Mahoneys Reserve, Forest Hill VIC 3131, Australia",,,Forest Hill,VIC,3131,-37.8434048,145.1620741,ChIJeewKexU_1moRENwxBXZWBA8
Glen Waverley North Reserve,"Glen Waverley North Reserve, Glen Waverley VIC 3150, Australia",,,Glen Waverley,VIC,3150,-37.8695916,145.1600042,ChIJPUOsqKI_1moR8JMxBXZWBA8
Warner Reserve - SSF 5 (U11) Ashburton,"Warner Reserve, Springvale VIC 3171, Australia",,,Springvale,VIC,3171,-37.9465082,145.1603491,ChIJ8cu6TN0U1moRkKQxBXZWBA8
